Individual{TOC=7451.407586711569, NV=26}
Individual{TOC=6736.184583433704, NV=27}
Individual{TOC=6624.885792121318, NV=28}
Individual{TOC=6620.506180932966, NV=29}
Individual{TOC=6393.744796427407, NV=32}
Individual{TOC=6230.236556482297, NV=33}
Individual{TOC=6129.038062225478, NV=34}
Individual{TOC=6013.051762561906, NV=41}
Individual{TOC=5996.21841043799, NV=45}
Individual{TOC=5985.120367141487, NV=46}
Individual{TOC=5948.611002927247, NV=47}
Individual{TOC=5795.608074726514, NV=49}
Individual{TOC=5770.626390899817, NV=53}
Individual{TOC=5727.741156034641, NV=62}
Individual{TOC=5670.191543937778, NV=66}
runTime = 126991.622477ms
