Individual{TOC=5295.032551634413, NV=22}
Individual{TOC=5430.00871260485, NV=18}
Individual{TOC=5256.792006978351, NV=26}
Individual{TOC=5854.485537013368, NV=14}
Individual{TOC=5226.903189016823, NV=27}
Individual{TOC=5528.377019323112, NV=16}
Individual{TOC=5317.46640931383, NV=21}
Individual{TOC=5419.8209240052165, NV=19}
Individual{TOC=5482.373652066981, NV=17}
Individual{TOC=5274.170901983311, NV=24}
Individual{TOC=5293.277614756395, NV=23}
Individual{TOC=5354.688696930022, NV=20}
Individual{TOC=5671.630308299125, NV=15}
Individual{TOC=5223.794171732039, NV=30}
runTime = 107657.677616ms
