Individual{TOC=23151.371647936427, NV=56}
Individual{TOC=20196.068135593017, NV=95}
Individual{TOC=22268.062582830924, NV=59}
Individual{TOC=20958.197382546186, NV=69}
Individual{TOC=20457.13644664673, NV=82}
Individual{TOC=20535.307791386418, NV=78}
Individual{TOC=20388.637481061174, NV=84}
Individual{TOC=22602.553500467733, NV=58}
Individual{TOC=20406.447072524585, NV=83}
Individual{TOC=20363.622924582607, NV=86}
Individual{TOC=20521.669732899314, NV=79}
Individual{TOC=20334.652486577055, NV=89}
Individual{TOC=20510.990943487246, NV=81}
Individual{TOC=20159.744700321997, NV=100}
Individual{TOC=21649.653010552778, NV=62}
Individual{TOC=21621.188430374772, NV=63}
Individual{TOC=22770.35341393887, NV=57}
Individual{TOC=21886.14087921778, NV=61}
Individual{TOC=20275.617210781424, NV=91}
Individual{TOC=22004.02003992411, NV=60}
Individual{TOC=21214.510847692192, NV=67}
Individual{TOC=20750.762301927916, NV=72}
Individual{TOC=20935.375145834358, NV=70}
Individual{TOC=21001.641223743027, NV=68}
Individual{TOC=21291.817899824775, NV=66}
Individual{TOC=20235.535640628113, NV=92}
Individual{TOC=23547.064331762776, NV=55}
Individual{TOC=20570.6793941876, NV=77}
Individual{TOC=20678.220449186134, NV=74}
Individual{TOC=20788.00172690752, NV=71}
Individual{TOC=20292.12159477407, NV=90}
Individual{TOC=20570.6793941876, NV=77}
Individual{TOC=20573.003195718036, NV=76}
Individual{TOC=21450.520351587806, NV=64}
Individual{TOC=20163.609963499923, NV=99}
Individual{TOC=20148.703104356762, NV=101}
runTime = 72160.092448ms
