Individual{TOC=3109.7204725463475, NV=18}
Individual{TOC=3985.7577467872798, NV=11}
Individual{TOC=3300.001739526268, NV=15}
Individual{TOC=3300.001739526268, NV=15}
Individual{TOC=3054.830494483553, NV=20}
Individual{TOC=4427.987386850988, NV=10}
Individual{TOC=3460.9293176579986, NV=14}
Individual{TOC=3119.71520583133, NV=17}
Individual{TOC=3919.2889588287435, NV=12}
Individual{TOC=3067.0405970028514, NV=19}
Individual{TOC=3719.1072177342194, NV=13}
Individual{TOC=3165.678203304301, NV=16}
runTime = 31355.38446ms
