Individual{TOC=4972.14611273258, NV=15}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5060.279518477492, NV=11}
Individual{TOC=4987.031246282107, NV=12}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
Individual{TOC=5175.074961220713, NV=9}
runTime = 722170.872735ms
