Individual{TOC=2330.3987254288927, NV=8}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2343.4245697207284, NV=6}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
Individual{TOC=2358.3452992258035, NV=5}
