Individual{TOC=2441.2350672398056, NV=7}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
Individual{TOC=2465.2624556184865, NV=6}
runTime = 244050.002924ms
