Individual{TOC=17904.056784869383, NV=39}
Individual{TOC=16437.83052987784, NV=50}
Individual{TOC=17046.238326386196, NV=43}
Individual{TOC=16332.357031680573, NV=52}
Individual{TOC=16269.113761407712, NV=55}
Individual{TOC=16722.49011975988, NV=45}
Individual{TOC=16895.15001782176, NV=44}
Individual{TOC=17270.68701437245, NV=42}
Individual{TOC=16419.85320830797, NV=51}
Individual{TOC=17558.86598765386, NV=40}
Individual{TOC=18301.41147440188, NV=36}
Individual{TOC=16229.63219914134, NV=57}
Individual{TOC=16491.816334485204, NV=49}
Individual{TOC=16536.22918750196, NV=48}
Individual{TOC=16623.966664881184, NV=47}
Individual{TOC=18092.25193762664, NV=38}
Individual{TOC=18271.594884465478, NV=37}
Individual{TOC=17409.108241285583, NV=41}
runTime = 1564884.14939ms
