Individual{TOC=20008.078847062796, NV=49}
Individual{TOC=21553.455697227335, NV=41}
Individual{TOC=20625.665039410065, NV=46}
Individual{TOC=20441.82890192615, NV=47}
Individual{TOC=17795.260408300623, NV=66}
Individual{TOC=17933.94054025601, NV=62}
Individual{TOC=19209.940731437746, NV=52}
Individual{TOC=19223.563319730234, NV=51}
Individual{TOC=21264.562180401448, NV=42}
Individual{TOC=22000.56893085196, NV=40}
Individual{TOC=22330.92303519181, NV=39}
Individual{TOC=20791.883868456272, NV=45}
Individual{TOC=20373.954502420554, NV=48}
Individual{TOC=17563.197282272133, NV=69}
Individual{TOC=18232.3051804636, NV=58}
Individual{TOC=18454.99500807959, NV=55}
Individual{TOC=18787.078582387145, NV=53}
Individual{TOC=19765.98303094305, NV=50}
Individual{TOC=22513.633616354662, NV=38}
runTime = 233755.878238ms
