Individual{TOC=27888.238120529513, NV=51}
Individual{TOC=25053.6433683978, NV=57}
Individual{TOC=28998.912980830264, NV=49}
Individual{TOC=22808.327027874337, NV=72}
Individual{TOC=28898.27407376171, NV=50}
Individual{TOC=21382.219014242975, NV=94}
Individual{TOC=43550.19614765726, NV=43}
Individual{TOC=21791.82700398474, NV=87}
Individual{TOC=26710.80477069853, NV=53}
Individual{TOC=23958.51270026849, NV=64}
Individual{TOC=25729.286683704595, NV=56}
Individual{TOC=26199.210861812884, NV=54}
Individual{TOC=22970.17389115156, NV=66}
Individual{TOC=32593.407374837352, NV=44}
Individual{TOC=21006.21039044856, NV=104}
Individual{TOC=22405.446663005438, NV=76}
runTime = 3000726.353876ms
