Individual{TOC=17026.028534798017, NV=44}
Individual{TOC=18900.311857017685, NV=38}
Individual{TOC=16310.809671766841, NV=54}
Individual{TOC=16384.14293605029, NV=52}
Individual{TOC=16656.52505582691, NV=51}
Individual{TOC=16756.78816021752, NV=47}
Individual{TOC=17725.92837256061, NV=43}
Individual{TOC=17747.391897875237, NV=42}
Individual{TOC=18329.02645283044, NV=40}
Individual{TOC=16836.546190286183, NV=45}
Individual{TOC=18617.044967841324, NV=39}
Individual{TOC=19308.112407885616, NV=35}
Individual{TOC=17969.005343834666, NV=41}
Individual{TOC=19850.08611995561, NV=34}
runTime = 1456518.536899ms
