Individual{TOC=21122.74163810808, NV=90}
Individual{TOC=26985.039167959203, NV=48}
Individual{TOC=23669.057963808522, NV=56}
Individual{TOC=30054.806527957524, NV=44}
Individual{TOC=22385.097525451587, NV=68}
Individual{TOC=20900.498744649336, NV=93}
Individual{TOC=22339.67178515959, NV=69}
Individual{TOC=21285.495834269455, NV=85}
Individual{TOC=25047.978161558403, NV=50}
Individual{TOC=22715.92721127767, NV=62}
Individual{TOC=32566.33693249669, NV=43}
Individual{TOC=34309.58238911823, NV=41}
Individual{TOC=20558.045370462056, NV=106}
Individual{TOC=21402.009584235366, NV=75}
Individual{TOC=23449.20409985437, NV=59}
Individual{TOC=37099.88148157808, NV=40}
Individual{TOC=21665.58200916946, NV=73}
runTime = 2987441.331584ms
