Individual{TOC=20524.02300336507, NV=87}
Individual{TOC=21957.33606375061, NV=58}
Individual{TOC=20791.175945368155, NV=80}
Individual{TOC=20393.874803518735, NV=88}
Individual{TOC=21925.70448247433, NV=59}
Individual{TOC=22408.1131125757, NV=57}
Individual{TOC=21010.226279744104, NV=78}
Individual{TOC=21518.033865853788, NV=63}
Individual{TOC=20869.008455095263, NV=79}
Individual{TOC=22763.128159605134, NV=54}
Individual{TOC=22704.47385732128, NV=55}
Individual{TOC=22441.096176173156, NV=56}
Individual{TOC=21393.54819150753, NV=68}
Individual{TOC=21106.10515668862, NV=69}
Individual{TOC=21623.063623777005, NV=61}
runTime = 205290.86777ms
