Individual{TOC=2446.4955658615127, NV=12}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
Individual{TOC=2487.5932539445353, NV=6}
runTime = 173041.702212ms
