Individual{TOC=9901.382828755919, NV=17}
Individual{TOC=8168.385149875181, NV=20}
Individual{TOC=10203.267208227831, NV=16}
Individual{TOC=6572.701043861264, NV=23}
Individual{TOC=6802.224290873682, NV=22}
Individual{TOC=9583.643073461099, NV=18}
Individual{TOC=8506.531395195901, NV=19}
Individual{TOC=5516.667824816705, NV=59}
Individual{TOC=5529.575719363682, NV=42}
Individual{TOC=5917.552413714534, NV=25}
Individual{TOC=7315.879552669775, NV=21}
Individual{TOC=5548.077842333861, NV=29}
runTime = 14686.517224ms
