Individual{TOC=10729.405703112998, NV=18}
Individual{TOC=9612.720321262594, NV=19}
Individual{TOC=7587.90844081156, NV=24}
Individual{TOC=6060.5582199219425, NV=32}
Individual{TOC=7732.713761223214, NV=21}
Individual{TOC=6164.1038107879385, NV=30}
Individual{TOC=6449.103553117313, NV=28}
Individual{TOC=5765.590842597525, NV=38}
Individual{TOC=5990.98950484368, NV=37}
Individual{TOC=5271.920262454438, NV=41}
Individual{TOC=8125.2469059000905, NV=20}
Individual{TOC=6491.47946165413, NV=26}
Individual{TOC=6210.455723456501, NV=29}
Individual{TOC=6029.303881872191, NV=35}
runTime = 10852.497211ms
