Individual{TOC=7708.963800717101, NV=19}
Individual{TOC=7635.294972494213, NV=20}
Individual{TOC=6572.948154984141, NV=29}
Individual{TOC=5782.312627463194, NV=42}
Individual{TOC=5645.217096849955, NV=43}
Individual{TOC=5504.207758503688, NV=50}
Individual{TOC=5384.829831349641, NV=54}
Individual{TOC=7845.362725708297, NV=18}
Individual{TOC=8094.226358494252, NV=16}
Individual{TOC=6851.341406579072, NV=27}
Individual{TOC=6385.129829807518, NV=32}
Individual{TOC=6397.187352451582, NV=31}
Individual{TOC=6275.899828416388, NV=33}
Individual{TOC=5897.5138356518855, NV=36}
Individual{TOC=5461.875350990696, NV=52}
runTime = 9605.310457ms
