Individual{TOC=8692.76747038306, NV=19}
Individual{TOC=7660.553025717318, NV=25}
Individual{TOC=7338.600278155874, NV=31}
Individual{TOC=6012.439613456167, NV=50}
Individual{TOC=9403.166851632013, NV=18}
Individual{TOC=8572.794411931076, NV=21}
Individual{TOC=5954.608457571747, NV=51}
Individual{TOC=5846.006767102616, NV=53}
Individual{TOC=7783.188252529911, NV=22}
Individual{TOC=9499.167985429938, NV=17}
Individual{TOC=6143.095688806075, NV=42}
Individual{TOC=5855.43715258015, NV=52}
Individual{TOC=5698.78591608688, NV=54}
Individual{TOC=7345.202467163551, NV=29}
Individual{TOC=6440.572414806733, NV=32}
Individual{TOC=6270.456216937217, NV=37}
runTime = 11202.382822ms
