Individual{TOC=5400.492052510611, NV=14}
Individual{TOC=5420.842177118169, NV=13}
Individual{TOC=5530.9604694228665, NV=12}
Individual{TOC=5397.470174135541, NV=15}
Individual{TOC=5234.647084983122, NV=18}
Individual{TOC=5265.9101819091475, NV=17}
Individual{TOC=5208.261987904107, NV=20}
Individual{TOC=5218.350730529328, NV=19}
Individual{TOC=5139.748261571508, NV=23}
Individual{TOC=5687.679160067793, NV=11}
Individual{TOC=5103.35413676907, NV=27}
Individual{TOC=5084.443783218076, NV=29}
runTime = 3789604.808492ms
