Individual{TOC=4339.421662511363, NV=28}
Individual{TOC=5220.755162251617, NV=12}
Individual{TOC=4452.736966391045, NV=23}
Individual{TOC=4381.26155456977, NV=25}
Individual{TOC=5031.4752064426675, NV=13}
Individual{TOC=4745.715558780699, NV=16}
Individual{TOC=4580.861178734691, NV=21}
Individual{TOC=4615.2871447273565, NV=19}
Individual{TOC=5924.445167293257, NV=11}
Individual{TOC=4333.697582987621, NV=29}
Individual{TOC=4557.692838897153, NV=22}
Individual{TOC=4705.587034973868, NV=17}
Individual{TOC=5005.309028153248, NV=14}
runTime = 2040546.365439ms
