Individual{TOC=5645.2497529230595, NV=30}
Individual{TOC=5774.314909601254, NV=23}
Individual{TOC=5721.686837287854, NV=27}
Individual{TOC=5742.738429091842, NV=25}
Individual{TOC=5851.717077377785, NV=16}
Individual{TOC=5626.240377004374, NV=31}
Individual{TOC=5660.523881726355, NV=28}
Individual{TOC=5753.142898233741, NV=24}
Individual{TOC=6010.308744505674, NV=14}
Individual{TOC=5819.95400472687, NV=17}
Individual{TOC=5796.985115512002, NV=19}
Individual{TOC=6640.024983196848, NV=13}
runTime = 1671282.340021ms
