Individual{TOC=5287.588722286965, NV=19}
Individual{TOC=5225.532159216657, NV=22}
Individual{TOC=5363.33373252992, NV=18}
Individual{TOC=5387.069607566303, NV=17}
Individual{TOC=5263.726447716352, NV=20}
Individual{TOC=5224.728607144274, NV=23}
Individual{TOC=5207.514434605992, NV=24}
Individual{TOC=5261.915584644137, NV=21}
Individual{TOC=5174.163230422612, NV=29}
Individual{TOC=5815.100563804944, NV=15}
Individual{TOC=5600.285332101987, NV=16}
Individual{TOC=5195.514364391162, NV=26}
Individual{TOC=6605.727367621489, NV=13}
Individual{TOC=5188.779619975995, NV=27}
Individual{TOC=5990.314049163076, NV=14}
runTime = 959115.478424ms
