Individual{TOC=6905.0081294331485, NV=16}
Individual{TOC=5923.170167565868, NV=31}
Individual{TOC=6043.781957531974, NV=27}
Individual{TOC=6300.191352788899, NV=18}
Individual{TOC=8101.3573506430785, NV=15}
Individual{TOC=6264.61483464959, NV=19}
Individual{TOC=6351.175900554915, NV=17}
Individual{TOC=5926.2542475482205, NV=30}
Individual{TOC=6194.7868842721045, NV=22}
Individual{TOC=5939.152737431468, NV=28}
Individual{TOC=6222.633735375577, NV=21}
Individual{TOC=6132.302589040465, NV=24}
runTime = 1232377.294832ms
