Individual{TOC=6068.8530175531605, NV=47}
Individual{TOC=7088.777693999162, NV=24}
Individual{TOC=6866.662051215089, NV=26}
Individual{TOC=5736.322473626571, NV=66}
Individual{TOC=8255.028044438664, NV=19}
Individual{TOC=6315.932399418882, NV=41}
Individual{TOC=6701.8061169263865, NV=34}
Individual{TOC=6477.557288015002, NV=36}
Individual{TOC=5881.131968888007, NV=56}
Individual{TOC=5671.141809063989, NV=75}
Individual{TOC=7538.9730731590535, NV=22}
Individual{TOC=6972.935263515558, NV=25}
Individual{TOC=6427.591496023741, NV=39}
Individual{TOC=6189.105356513618, NV=45}
Individual{TOC=6034.163549613269, NV=52}
Individual{TOC=5806.654393794966, NV=63}
Individual{TOC=9396.608468520559, NV=16}
Individual{TOC=6759.864495546315, NV=28}
Individual{TOC=7675.170682758588, NV=21}
Individual{TOC=8890.36695623045, NV=18}
Individual{TOC=7847.727583608309, NV=20}
Individual{TOC=7235.484178290581, NV=23}
Individual{TOC=6263.636918549243, NV=44}
Individual{TOC=5944.475081666953, NV=55}
runTime = 15198.454125ms
