Individual{TOC=14705.47808699283, NV=35}
Individual{TOC=15763.91705056478, NV=33}
Individual{TOC=15446.257966381056, NV=34}
Individual{TOC=13181.80485776534, NV=44}
Individual{TOC=13246.964703292499, NV=43}
Individual{TOC=13299.108492427293, NV=41}
Individual{TOC=13976.980111521774, NV=37}
Individual{TOC=13038.461845247044, NV=49}
Individual{TOC=13636.779521044664, NV=40}
Individual{TOC=13643.707100086636, NV=38}
Individual{TOC=14153.017964464416, NV=36}
Individual{TOC=13159.156546520499, NV=46}
Individual{TOC=13134.118101575279, NV=48}
runTime = 2227233.584061ms
