Individual{TOC=13921.583987161997, NV=47}
Individual{TOC=14610.011917455351, NV=44}
Individual{TOC=13949.540728897138, NV=46}
Individual{TOC=17512.45879102366, NV=35}
Individual{TOC=14459.12657572331, NV=45}
Individual{TOC=15085.901312464426, NV=43}
Individual{TOC=16290.895111618147, NV=36}
Individual{TOC=13914.10056229059, NV=48}
Individual{TOC=13681.02375253603, NV=60}
Individual{TOC=15295.22459656673, NV=42}
Individual{TOC=15397.417332631501, NV=41}
Individual{TOC=15892.46062971472, NV=39}
runTime = 1271617.468813ms
