Iteration,NV,TOC
1,8,1873.930848
1,9,1760.772643
1,11,1675.750908
2,8,1873.930848
2,9,1760.772643
2,11,1675.750908
3,8,1873.930848
3,9,1760.772643
3,11,1675.750908
4,8,1873.930848
4,9,1760.772643
4,11,1675.750908
5,8,1873.930848
5,9,1760.772643
5,11,1675.750908
6,8,1873.930848
6,9,1760.772643
6,11,1675.750908
7,8,1873.930848
7,9,1760.772643
7,11,1675.750908
8,8,1873.930848
8,9,1760.772643
8,11,1675.750908
9,8,1873.930848
9,9,1760.772643
9,11,1675.750908
10,8,1873.930848
10,9,1760.772643
10,11,1675.750908
11,8,1873.930848
11,9,1760.772643
11,11,1675.750908
12,8,1873.930848
12,9,1760.772643
12,11,1675.750908
13,8,1873.930848
13,9,1760.772643
13,11,1675.750908
14,8,1873.930848
14,9,1760.772643
14,11,1675.750908
15,8,1873.930848
15,9,1760.772643
15,11,1675.750908
16,8,1873.930848
16,9,1760.772643
16,11,1675.750908
17,8,1873.930848
17,9,1760.772643
17,11,1675.750908
18,8,1873.930848
18,9,1760.772643
18,11,1675.750908
19,8,1873.930848
19,9,1760.772643
19,11,1675.750908
20,8,1873.930848
20,9,1760.772643
20,11,1675.750908
21,8,1873.930848
21,9,1760.772643
21,11,1675.750908
22,8,1873.930848
22,9,1760.772643
22,11,1675.750908
23,8,1873.930848
23,9,1760.772643
23,11,1675.750908
24,8,1873.930848
24,9,1760.772643
24,11,1675.750908
25,8,1873.930848
25,9,1760.772643
25,11,1675.750908
26,8,1873.930848
26,9,1760.772643
26,11,1675.750908
27,8,1873.930848
27,9,1760.772643
27,11,1675.750908
28,8,1873.930848
28,9,1760.772643
28,11,1675.750908
29,8,1873.930848
29,9,1760.772643
29,11,1675.750908
30,8,1873.930848
30,9,1760.772643
30,11,1675.750908
31,8,1873.930848
31,9,1760.772643
31,11,1675.750908
32,8,1873.930848
32,9,1760.772643
32,11,1675.750908
33,8,1873.930848
33,9,1760.772643
33,11,1675.750908
34,8,1873.930848
34,9,1760.772643
34,11,1675.750908
35,8,1873.930848
35,9,1760.772643
35,11,1675.750908
36,8,1873.930848
36,9,1760.772643
36,11,1675.750908
37,8,1873.930848
37,9,1760.772643
37,11,1675.750908
38,8,1873.930848
38,9,1760.772643
38,11,1675.750908
39,8,1873.930848
39,9,1760.772643
39,11,1675.750908
40,8,1873.930848
40,9,1760.772643
40,11,1675.750908
41,8,1873.930848
41,9,1760.772643
41,11,1675.750908
42,8,1873.930848
42,9,1760.772643
42,11,1675.750908
43,8,1873.930848
43,9,1760.772643
43,11,1675.750908
44,8,1873.930848
44,9,1760.772643
44,11,1675.750908
45,8,1873.930848
45,9,1760.772643
45,11,1675.750908
46,8,1873.930848
46,9,1760.772643
46,11,1675.750908
47,8,1873.930848
47,9,1760.772643
47,11,1675.750908
48,8,1873.930848
48,9,1760.772643
48,11,1675.750908
49,8,1873.930848
49,9,1760.772643
49,11,1675.750908
50,8,1873.930848
50,9,1760.772643
50,11,1675.750908
51,8,1873.930848
51,8,1873.930848
51,9,1760.772643
51,10,1696.936647
51,11,1675.750908
52,8,1873.930848
52,8,1873.930848
52,9,1760.772643
52,10,1696.936647
52,11,1675.750908
53,8,1873.930848
53,8,1873.930848
53,9,1760.772643
53,10,1696.936647
53,11,1675.750908
54,8,1873.930848
54,8,1873.930848
54,9,1760.772643
54,10,1696.936647
54,11,1675.750908
55,8,1873.930848
55,8,1873.930848
55,9,1760.772643
55,10,1696.936647
55,11,1675.750908
56,8,1873.930848
56,8,1873.930848
56,9,1760.772643
56,10,1696.936647
56,11,1675.750908
57,8,1873.930848
57,8,1873.930848
57,9,1760.772643
57,10,1696.936647
57,11,1675.750908
58,8,1873.930848
58,8,1873.930848
58,9,1760.772643
58,10,1696.936647
58,11,1675.750908
59,8,1873.930848
59,8,1873.930848
59,9,1760.772643
59,10,1696.936647
59,11,1675.750908
60,8,1873.930848
60,8,1873.930848
60,9,1760.772643
60,10,1696.936647
60,11,1675.750908
61,8,1873.930848
61,8,1873.930848
61,9,1760.772643
61,10,1696.936647
61,11,1675.750908
62,8,1873.930848
62,8,1873.930848
62,9,1760.772643
62,10,1696.936647
62,11,1675.750908
63,8,1873.930848
63,8,1873.930848
63,9,1760.772643
63,10,1696.936647
63,11,1675.750908
64,8,1873.930848
64,8,1873.930848
64,9,1760.772643
64,10,1696.936647
64,11,1675.750908
65,8,1873.930848
65,8,1873.930848
65,9,1760.772643
65,10,1696.936647
65,11,1675.750908
66,8,1873.930848
66,8,1873.930848
66,9,1760.772643
66,10,1696.936647
66,11,1675.750908
67,8,1873.930848
67,8,1873.930848
67,9,1760.772643
67,10,1696.936647
67,11,1675.750908
68,8,1873.930848
68,8,1873.930848
68,9,1760.772643
68,10,1696.936647
68,11,1675.750908
69,8,1873.930848
69,8,1873.930848
69,9,1760.772643
69,10,1696.936647
69,11,1675.750908
70,8,1873.930848
70,8,1873.930848
70,9,1760.772643
70,10,1696.936647
70,11,1675.750908
71,8,1873.930848
71,8,1873.930848
71,9,1760.772643
71,10,1696.936647
71,11,1675.750908
72,8,1873.930848
72,8,1873.930848
72,9,1760.772643
72,10,1696.936647
72,11,1675.750908
73,8,1873.930848
73,8,1873.930848
73,9,1760.772643
73,10,1696.936647
73,11,1675.750908
74,8,1873.930848
74,8,1873.930848
74,9,1760.772643
74,10,1696.936647
74,11,1675.750908
75,8,1873.930848
75,8,1873.930848
75,9,1760.772643
75,10,1696.936647
75,11,1675.750908
76,8,1873.930848
76,8,1873.930848
76,9,1760.772643
76,10,1696.936647
76,11,1675.750908
77,8,1873.930848
77,8,1873.930848
77,9,1760.772643
77,10,1696.936647
77,11,1675.750908
78,8,1873.930848
78,8,1873.930848
78,9,1760.772643
78,10,1696.936647
78,11,1675.750908
79,8,1873.930848
79,8,1873.930848
79,9,1760.772643
79,10,1696.936647
79,11,1675.750908
80,8,1873.930848
80,8,1873.930848
80,9,1760.772643
80,10,1696.936647
80,11,1675.750908
81,8,1873.930848
81,8,1873.930848
81,9,1760.772643
81,10,1696.936647
81,11,1675.750908
82,8,1873.930848
82,8,1873.930848
82,9,1760.772643
82,10,1696.936647
82,11,1675.750908
83,8,1873.930848
83,8,1873.930848
83,9,1760.772643
83,10,1696.936647
83,11,1675.750908
84,8,1873.930848
84,8,1873.930848
84,9,1760.772643
84,10,1696.936647
84,11,1675.750908
85,8,1873.930848
85,8,1873.930848
85,9,1760.772643
85,10,1696.936647
85,11,1675.750908
86,8,1873.930848
86,8,1873.930848
86,9,1760.772643
86,10,1696.936647
86,11,1675.750908
87,8,1873.930848
87,8,1873.930848
87,9,1760.772643
87,10,1696.936647
87,11,1675.750908
88,8,1873.930848
88,8,1873.930848
88,9,1760.772643
88,10,1696.936647
88,11,1675.750908
89,8,1873.930848
89,8,1873.930848
89,9,1760.772643
89,10,1696.936647
89,11,1675.750908
90,8,1873.930848
90,8,1873.930848
90,9,1760.772643
90,10,1696.936647
90,11,1675.750908
91,8,1873.930848
91,8,1873.930848
91,9,1760.772643
91,10,1696.936647
91,11,1675.750908
92,8,1873.930848
92,8,1873.930848
92,9,1760.772643
92,10,1696.936647
92,11,1675.750908
93,8,1873.930848
93,8,1873.930848
93,9,1760.772643
93,10,1696.936647
93,11,1675.750908
94,8,1873.930848
94,8,1873.930848
94,9,1760.772643
94,10,1696.936647
94,11,1675.750908
95,8,1873.930848
95,8,1873.930848
95,9,1760.772643
95,10,1696.936647
95,11,1675.750908
96,8,1873.930848
96,8,1873.930848
96,9,1760.772643
96,10,1696.936647
96,11,1675.750908
97,8,1873.930848
97,8,1873.930848
97,9,1760.772643
97,10,1696.936647
97,11,1675.750908
98,8,1873.930848
98,8,1873.930848
