Iteration,NV,TOC
1,11,2449.625771
1,11,2449.625771
1,12,2212.265992
1,12,2212.265992
1,13,2118.384572
1,13,2118.384572
1,13,2118.384572
1,13,2118.384572
1,13,2118.384572
2,11,2449.625771
2,11,2449.625771
2,12,2212.265992
2,12,2212.265992
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
3,11,2449.625771
3,11,2449.625771
3,12,2212.265992
3,12,2212.265992
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
4,11,2449.625771
4,11,2449.625771
4,12,2212.265992
4,12,2212.265992
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
5,11,2449.625771
5,11,2449.625771
5,12,2212.265992
5,12,2212.265992
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
6,11,2449.625771
6,11,2449.625771
6,12,2212.265992
6,12,2212.265992
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
7,11,2449.625771
7,11,2449.625771
7,12,2212.265992
7,12,2212.265992
7,13,2118.384572
7,13,2118.384572
7,13,2118.384572
7,13,2118.384572
7,13,2118.384572
8,11,2449.625771
8,11,2449.625771
8,12,2212.265992
8,12,2212.265992
8,13,2118.384572
8,13,2118.384572
8,13,2118.384572
8,13,2118.384572
8,13,2118.384572
9,11,2449.625771
9,11,2449.625771
9,12,2212.265992
9,12,2212.265992
9,13,2118.384572
9,13,2118.384572
9,13,2118.384572
9,13,2118.384572
9,13,2118.384572
10,11,2449.625771
10,11,2449.625771
10,12,2212.265992
10,12,2212.265992
10,13,2118.384572
10,13,2118.384572
10,13,2118.384572
10,13,2118.384572
10,13,2118.384572
11,11,2449.625771
11,11,2449.625771
11,12,2212.265992
11,12,2212.265992
11,13,2118.384572
11,13,2118.384572
11,13,2118.384572
11,13,2118.384572
11,13,2118.384572
12,11,2449.625771
12,11,2449.625771
12,12,2212.265992
12,12,2212.265992
12,13,2118.384572
12,13,2118.384572
12,13,2118.384572
12,13,2118.384572
12,13,2118.384572
13,11,2449.625771
13,11,2449.625771
13,12,2212.265992
13,12,2212.265992
13,13,2118.384572
13,13,2118.384572
13,13,2118.384572
13,13,2118.384572
13,13,2118.384572
14,11,2449.625771
14,11,2449.625771
14,12,2212.265992
14,12,2212.265992
14,13,2118.384572
14,13,2118.384572
14,13,2118.384572
14,13,2118.384572
14,13,2118.384572
15,11,2449.625771
15,11,2449.625771
15,12,2212.265992
15,12,2212.265992
15,13,2118.384572
15,13,2118.384572
15,13,2118.384572
15,13,2118.384572
15,13,2118.384572
16,11,2449.625771
16,11,2449.625771
16,12,2212.265992
16,12,2212.265992
16,13,2118.384572
16,13,2118.384572
16,13,2118.384572
16,13,2118.384572
16,13,2118.384572
17,11,2449.625771
17,11,2449.625771
17,12,2212.265992
17,12,2212.265992
17,13,2118.384572
17,13,2118.384572
17,13,2118.384572
17,13,2118.384572
17,13,2118.384572
18,11,2449.625771
18,11,2449.625771
18,12,2212.265992
18,12,2212.265992
18,13,2118.384572
18,13,2118.384572
18,13,2118.384572
18,13,2118.384572
18,13,2118.384572
19,11,2449.625771
19,11,2449.625771
19,12,2212.265992
19,12,2212.265992
19,13,2118.384572
19,13,2118.384572
19,13,2118.384572
19,13,2118.384572
19,13,2118.384572
20,11,2449.625771
20,11,2449.625771
20,12,2212.265992
20,12,2212.265992
20,13,2118.384572
20,13,2118.384572
20,13,2118.384572
20,13,2118.384572
20,13,2118.384572
21,11,2449.625771
21,11,2449.625771
21,12,2212.265992
21,12,2212.265992
21,13,2118.384572
21,13,2118.384572
21,13,2118.384572
21,13,2118.384572
21,13,2118.384572
22,11,2449.625771
22,11,2449.625771
22,12,2212.265992
22,12,2212.265992
22,13,2118.384572
22,13,2118.384572
22,13,2118.384572
22,13,2118.384572
22,13,2118.384572
23,11,2449.625771
23,11,2449.625771
23,12,2212.265992
23,12,2212.265992
23,13,2118.384572
23,13,2118.384572
23,13,2118.384572
23,13,2118.384572
23,13,2118.384572
24,11,2449.625771
24,11,2449.625771
24,12,2212.265992
24,12,2212.265992
24,13,2118.384572
24,13,2118.384572
24,13,2118.384572
24,13,2118.384572
24,13,2118.384572
25,11,2449.625771
25,11,2449.625771
25,12,2212.265992
25,12,2212.265992
25,13,2118.384572
25,13,2118.384572
25,13,2118.384572
25,13,2118.384572
25,13,2118.384572
26,11,2449.625771
26,11,2449.625771
26,12,2212.265992
26,12,2212.265992
26,13,2118.384572
26,13,2118.384572
26,13,2118.384572
26,13,2118.384572
26,13,2118.384572
27,11,2449.625771
27,11,2449.625771
27,12,2212.265992
27,12,2212.265992
27,13,2118.384572
27,13,2118.384572
27,13,2118.384572
27,13,2118.384572
27,13,2118.384572
28,11,2449.625771
28,11,2449.625771
28,12,2212.265992
28,12,2212.265992
28,13,2118.384572
28,13,2118.384572
28,13,2118.384572
28,13,2118.384572
28,13,2118.384572
29,11,2449.625771
29,11,2449.625771
29,12,2212.265992
29,12,2212.265992
29,13,2118.384572
29,13,2118.384572
29,13,2118.384572
29,13,2118.384572
29,13,2118.384572
30,11,2449.625771
30,11,2449.625771
30,12,2212.265992
30,12,2212.265992
30,13,2118.384572
30,13,2118.384572
30,13,2118.384572
30,13,2118.384572
30,13,2118.384572
31,11,2449.625771
31,11,2449.625771
31,12,2212.265992
31,12,2212.265992
31,13,2118.384572
31,13,2118.384572
31,13,2118.384572
31,13,2118.384572
31,13,2118.384572
32,11,2449.625771
32,11,2449.625771
32,12,2212.265992
32,12,2212.265992
32,13,2118.384572
32,13,2118.384572
32,13,2118.384572
32,13,2118.384572
32,13,2118.384572
33,11,2449.625771
33,11,2449.625771
33,12,2212.265992
33,12,2212.265992
33,13,2118.384572
33,13,2118.384572
33,13,2118.384572
33,13,2118.384572
33,13,2118.384572
34,11,2449.625771
34,11,2449.625771
34,12,2212.265992
34,12,2212.265992
34,13,2118.384572
34,13,2118.384572
34,13,2118.384572
34,13,2118.384572
34,13,2118.384572
35,11,2449.625771
35,11,2449.625771
35,12,2212.265992
35,12,2212.265992
35,13,2118.384572
35,13,2118.384572
35,13,2118.384572
35,13,2118.384572
35,13,2118.384572
36,11,2449.625771
36,11,2449.625771
36,12,2212.265992
