Iteration,NV,TOC
1,21,5010.873012
1,23,4806.459562
1,25,4730.370927
1,26,4597.916532
1,27,4570.587205
1,29,4531.041625
1,31,4461.885524
1,32,4447.231899
1,35,4309.838509
1,40,4228.492424
2,21,5010.873012
2,23,4806.459562
2,25,4730.370927
2,26,4597.916532
2,27,4570.587205
2,29,4531.041625
2,31,4461.885524
2,32,4447.231899
2,35,4309.838509
2,40,4228.492424
3,21,5010.873012
3,23,4806.459562
3,25,4730.370927
3,26,4597.916532
3,27,4570.587205
3,29,4531.041625
3,31,4461.885524
3,32,4447.231899
3,35,4309.838509
3,40,4228.492424
4,21,5010.873012
4,23,4806.459562
4,25,4730.370927
4,26,4597.916532
4,27,4570.587205
4,29,4531.041625
4,31,4461.885524
4,32,4447.231899
4,35,4309.838509
4,40,4228.492424
5,21,5010.873012
5,23,4806.459562
5,25,4730.370927
5,26,4597.916532
5,27,4570.587205
5,29,4531.041625
5,31,4461.885524
5,32,4447.231899
5,35,4309.838509
5,40,4228.492424
6,21,5010.873012
6,23,4806.459562
6,25,4730.370927
6,26,4597.916532
6,27,4570.587205
6,29,4531.041625
6,31,4461.885524
6,32,4447.231899
6,35,4309.838509
6,40,4228.492424
7,21,5010.873012
7,23,4806.459562
7,25,4730.370927
7,26,4597.916532
7,27,4570.587205
7,29,4531.041625
7,31,4461.885524
7,32,4447.231899
7,35,4309.838509
7,40,4228.492424
8,21,5010.873012
8,23,4806.459562
8,25,4730.370927
8,26,4597.916532
8,27,4570.587205
8,29,4531.041625
8,31,4461.885524
8,32,4447.231899
8,35,4309.838509
8,40,4228.492424
9,21,5010.873012
9,23,4806.459562
9,25,4730.370927
9,26,4597.916532
9,27,4570.587205
9,29,4531.041625
9,31,4461.885524
9,32,4447.231899
9,35,4309.838509
9,40,4228.492424
10,21,5010.873012
10,23,4806.459562
10,25,4730.370927
10,26,4597.916532
10,27,4570.587205
10,29,4531.041625
10,31,4461.885524
10,32,4447.231899
10,35,4309.838509
10,40,4228.492424
11,21,5010.873012
11,23,4806.459562
11,25,4730.370927
11,26,4597.916532
11,27,4570.587205
11,29,4531.041625
11,31,4461.885524
11,32,4447.231899
11,35,4309.838509
11,40,4228.492424
12,21,5010.873012
12,23,4806.459562
12,25,4730.370927
12,26,4597.916532
12,27,4570.587205
12,29,4531.041625
12,31,4461.885524
12,32,4447.231899
12,35,4309.838509
12,40,4228.492424
13,21,5010.873012
13,23,4806.459562
13,25,4730.370927
13,26,4597.916532
13,27,4570.587205
13,29,4531.041625
13,31,4461.885524
13,32,4447.231899
13,35,4309.838509
13,40,4228.492424
14,21,5010.873012
14,23,4806.459562
14,25,4730.370927
14,26,4597.916532
14,27,4570.587205
14,29,4531.041625
14,31,4461.885524
14,32,4447.231899
14,35,4309.838509
14,40,4228.492424
15,21,5010.873012
15,23,4806.459562
15,25,4730.370927
15,26,4597.916532
15,27,4570.587205
15,29,4531.041625
15,31,4461.885524
15,32,4447.231899
15,35,4309.838509
15,40,4228.492424
16,21,5010.873012
16,23,4806.459562
16,25,4730.370927
16,26,4597.916532
16,27,4570.587205
16,29,4531.041625
16,31,4461.885524
16,32,4447.231899
16,35,4309.838509
16,40,4228.492424
17,21,5010.873012
17,23,4806.459562
17,25,4730.370927
17,26,4597.916532
17,27,4570.587205
17,29,4531.041625
17,31,4461.885524
17,32,4447.231899
17,35,4309.838509
17,40,4228.492424
18,21,5010.873012
18,23,4806.459562
18,25,4730.370927
18,26,4597.916532
18,27,4570.587205
18,29,4531.041625
18,31,4461.885524
18,32,4447.231899
18,35,4309.838509
18,40,4228.492424
19,21,5010.873012
19,23,4806.459562
19,25,4730.370927
19,26,4597.916532
19,27,4570.587205
19,29,4531.041625
19,31,4461.885524
19,32,4447.231899
19,35,4309.838509
19,40,4228.492424
20,21,5010.873012
20,23,4806.459562
20,25,4730.370927
20,26,4597.916532
20,27,4570.587205
20,29,4531.041625
20,31,4461.885524
20,32,4447.231899
20,35,4309.838509
20,40,4228.492424
21,21,5010.873012
21,23,4806.459562
21,25,4730.370927
21,26,4597.916532
21,27,4570.587205
21,29,4531.041625
21,31,4461.885524
21,32,4447.231899
21,35,4309.838509
21,40,4228.492424
22,21,5010.873012
22,23,4806.459562
22,25,4730.370927
22,26,4597.916532
22,27,4570.587205
22,29,4531.041625
22,31,4461.885524
22,32,4447.231899
22,35,4309.838509
22,40,4228.492424
23,21,5010.873012
23,23,4806.459562
23,25,4730.370927
23,26,4597.916532
23,27,4570.587205
23,29,4531.041625
23,31,4461.885524
23,32,4447.231899
23,35,4309.838509
23,40,4228.492424
24,21,5010.873012
24,23,4806.459562
24,25,4730.370927
24,26,4597.916532
24,27,4570.587205
24,29,4531.041625
24,31,4461.885524
24,32,4447.231899
24,35,4309.838509
