Iteration,NV,TOC
1,24,5592.710749
1,41,5554.530680
1,52,5536.805067
1,75,5524.807407
2,24,5592.710749
2,41,5554.530680
2,52,5536.805067
2,75,5524.807407
3,24,5592.710749
3,41,5554.530680
3,52,5536.805067
3,75,5524.807407
4,24,5592.710749
4,41,5554.530680
4,52,5536.805067
4,75,5524.807407
5,24,5592.710749
5,41,5554.530680
5,52,5536.805067
5,75,5524.807407
6,24,5592.710749
6,41,5554.530680
6,52,5536.805067
6,75,5524.807407
7,24,5592.710749
7,41,5554.530680
7,52,5536.805067
7,75,5524.807407
8,24,5592.710749
8,41,5554.530680
8,52,5536.805067
8,75,5524.807407
9,24,5592.710749
9,41,5554.530680
9,52,5536.805067
9,75,5524.807407
10,24,5592.710749
10,41,5554.530680
10,52,5536.805067
10,75,5524.807407
11,24,5592.710749
11,41,5554.530680
11,52,5536.805067
11,75,5524.807407
12,24,5592.710749
12,41,5554.530680
12,52,5536.805067
12,75,5524.807407
13,24,5592.710749
13,41,5554.530680
13,52,5536.805067
13,75,5524.807407
14,24,5592.710749
14,41,5554.530680
14,52,5536.805067
14,75,5524.807407
15,24,5592.710749
15,41,5554.530680
15,52,5536.805067
15,75,5524.807407
16,24,5592.710749
16,41,5554.530680
16,52,5536.805067
16,75,5524.807407
17,24,5592.710749
17,41,5554.530680
17,52,5536.805067
17,75,5524.807407
18,24,5592.710749
18,41,5554.530680
18,52,5536.805067
18,75,5524.807407
19,24,5592.710749
19,41,5554.530680
19,52,5536.805067
19,75,5524.807407
20,24,5592.710749
20,41,5554.530680
20,52,5536.805067
20,75,5524.807407
21,24,5592.710749
21,41,5554.530680
21,52,5536.805067
21,75,5524.807407
22,24,5592.710749
22,41,5554.530680
22,52,5536.805067
22,75,5524.807407
23,24,5592.710749
23,41,5554.530680
23,52,5536.805067
23,75,5524.807407
24,24,5592.710749
24,41,5554.530680
24,52,5536.805067
24,75,5524.807407
25,24,5592.710749
25,41,5554.530680
25,52,5536.805067
25,75,5524.807407
26,24,5592.710749
26,41,5554.530680
26,52,5536.805067
26,75,5524.807407
27,24,5592.710749
27,41,5554.530680
27,52,5536.805067
27,75,5524.807407
28,24,5592.710749
28,41,5554.530680
28,52,5536.805067
28,75,5524.807407
29,24,5592.710749
29,41,5554.530680
29,52,5536.805067
29,75,5524.807407
30,24,5592.710749
30,41,5554.530680
30,52,5536.805067
30,75,5524.807407
31,24,5592.710749
31,41,5554.530680
31,52,5536.805067
31,75,5524.807407
32,24,5592.710749
32,41,5554.530680
32,52,5536.805067
32,75,5524.807407
33,24,5592.710749
33,41,5554.530680
33,52,5536.805067
33,75,5524.807407
34,24,5592.710749
34,41,5554.530680
34,52,5536.805067
34,75,5524.807407
35,24,5592.710749
35,41,5554.530680
