Iteration,NV,TOC
1,75,25361.074945
1,82,24808.488631
1,83,24746.549598
1,119,23550.586676
2,75,25361.074945
2,82,24808.488631
2,83,24746.549598
2,119,23550.586676
3,75,25361.074945
3,82,24808.488631
3,83,24746.549598
3,119,23550.586676
4,75,25361.074945
4,82,24808.488631
4,83,24746.549598
4,119,23550.586676
5,75,25361.074945
5,82,24808.488631
5,83,24746.549598
5,119,23550.586676
6,75,25361.074945
6,82,24808.488631
6,83,24746.549598
6,119,23550.586676
7,75,25361.074945
7,82,24808.488631
7,83,24746.549598
7,119,23550.586676
8,75,25361.074945
8,82,24808.488631
8,83,24746.549598
8,119,23550.586676
9,75,25361.074945
9,82,24808.488631
9,83,24746.549598
9,119,23550.586676
10,75,25361.074945
10,82,24808.488631
10,83,24746.549598
10,119,23550.586676
11,75,25361.074945
11,82,24808.488631
11,83,24746.549598
11,119,23550.586676
12,75,25361.074945
12,82,24808.488631
12,83,24746.549598
12,119,23550.586676
13,75,25361.074945
13,82,24808.488631
13,83,24746.549598
13,119,23550.586676
14,75,25361.074945
14,82,24808.488631
14,83,24746.549598
14,119,23550.586676
15,75,25361.074945
15,82,24808.488631
15,83,24746.549598
15,119,23550.586676
16,75,25361.074945
16,82,24808.488631
16,83,24746.549598
16,119,23550.586676
17,75,25361.074945
17,82,24808.488631
17,83,24746.549598
17,119,23550.586676
18,75,25361.074945
18,82,24808.488631
18,83,24746.549598
18,119,23550.586676
19,75,25361.074945
19,82,24808.488631
19,83,24746.549598
19,119,23550.586676
20,75,25361.074945
20,82,24808.488631
20,83,24746.549598
20,119,23550.586676
21,75,25361.074945
21,82,24808.488631
21,83,24746.549598
21,119,23550.586676
22,75,25361.074945
22,82,24808.488631
22,83,24746.549598
22,119,23550.586676
23,75,25361.074945
23,82,24808.488631
23,83,24746.549598
23,119,23550.586676
24,75,25361.074945
24,82,24808.488631
24,83,24746.549598
24,119,23550.586676
25,75,25361.074945
25,82,24808.488631
25,83,24746.549598
25,119,23550.586676
26,75,25361.074945
26,82,24808.488631
26,83,24746.549598
26,119,23550.586676
27,75,25361.074945
27,82,24808.488631
27,83,24746.549598
27,119,23550.586676
28,75,25361.074945
28,82,24808.488631
28,83,24746.549598
28,119,23550.586676
29,75,25361.074945
29,82,24808.488631
29,83,24746.549598
29,119,23550.586676
30,75,25361.074945
30,82,24808.488631
30,83,24746.549598
30,119,23550.586676
31,75,25361.074945
31,82,24808.488631
31,83,24746.549598
31,119,23550.586676
32,75,25361.074945
32,82,24808.488631
32,83,24746.549598
32,119,23550.586676
33,75,25361.074945
33,82,24808.488631
33,83,24746.549598
33,119,23550.586676
34,75,25361.074945
34,82,24808.488631
34,83,24746.549598
34,119,23550.586676
35,75,25361.074945
35,82,24808.488631
35,83,24746.549598
35,119,23550.586676
36,75,25361.074945
36,82,24808.488631
36,83,24746.549598
36,119,23550.586676
37,75,25361.074945
37,82,24808.488631
37,83,24746.549598
37,119,23550.586676
38,75,25361.074945
38,82,24808.488631
38,83,24746.549598
38,119,23550.586676
39,75,25361.074945
39,82,24808.488631
39,83,24746.549598
39,119,23550.586676
40,75,25361.074945
40,82,24808.488631
40,83,24746.549598
40,119,23550.586676
41,75,25361.074945
41,82,24808.488631
41,83,24746.549598
41,119,23550.586676
42,75,25361.074945
42,82,24808.488631
42,83,24746.549598
42,119,23550.586676
43,75,25361.074945
43,82,24808.488631
43,83,24746.549598
43,119,23550.586676
44,75,25361.074945
44,82,24808.488631
44,83,24746.549598
44,119,23550.586676
45,75,25361.074945
45,82,24808.488631
45,83,24746.549598
45,119,23550.586676
46,75,25361.074945
46,82,24808.488631
46,83,24746.549598
46,119,23550.586676
47,75,25361.074945
47,82,24808.488631
47,83,24746.549598
47,119,23550.586676
48,75,25361.074945
48,82,24808.488631
48,83,24746.549598
48,119,23550.586676
49,75,25361.074945
49,82,24808.488631
49,83,24746.549598
49,119,23550.586676
50,75,25361.074945
50,82,24808.488631
50,83,24746.549598
50,119,23550.586676
51,73,25629.415135
51,75,25294.007057
51,76,25259.750382
51,78,25091.635288
51,82,24808.488631
51,83,24679.481711
51,94,24253.327264
51,106,23859.539422
51,119,23550.586676
51,127,23515.742893
51,128,23439.367418
52,73,25629.415135
52,75,25294.007057
52,76,25259.750382
52,78,25091.635288
52,82,24808.488631
52,83,24679.481711
52,94,24253.327264
52,106,23859.539422
52,119,23550.586676
52,127,23515.742893
52,128,23439.367418
53,73,25629.415135
53,75,25294.007057
53,76,25259.750382
53,78,25091.635288
53,82,24808.488631
53,83,24679.481711
53,94,24253.327264
53,106,23859.539422
53,119,23550.586676
53,127,23515.742893
53,128,23439.367418
54,73,25629.415135
54,75,25294.007057
54,76,25259.750382
54,78,25091.635288
54,82,24808.488631
54,83,24679.481711
54,94,24253.327264
54,106,23859.539422
54,119,23550.586676
54,127,23515.742893
54,128,23439.367418
55,73,25629.415135
55,75,25294.007057
55,76,25259.750382
55,78,25091.635288
55,82,24808.488631
55,83,24679.481711
55,94,24253.327264
55,106,23859.539422
55,119,23550.586676
55,127,23515.742893
55,128,23439.367418
56,73,25629.415135
56,75,25294.007057
56,76,25259.750382
56,78,25091.635288
56,82,24808.488631
56,83,24679.481711
56,94,24253.327264
56,106,23859.539422
56,119,23550.586676
56,127,23515.742893
56,128,23439.367418
57,73,25629.415135
57,75,25294.007057
57,76,25259.750382
57,78,25091.635288
57,82,24808.488631
57,83,24679.481711
57,94,24253.327264
57,106,23859.539422
57,119,23550.586676
57,127,23515.742893
57,128,23439.367418
58,73,25629.415135
58,75,25294.007057
58,76,25259.750382
58,78,25091.635288
58,82,24808.488631
58,83,24679.481711
58,94,24253.327264
58,106,23859.539422
58,119,23550.586676
58,127,23515.742893
58,128,23439.367418
59,73,25629.415135
59,75,25294.007057
59,76,25259.750382
59,78,25091.635288
59,82,24808.488631
59,83,24679.481711
59,94,24253.327264
59,106,23859.539422
59,119,23550.586676
59,127,23515.742893
59,128,23439.367418
60,73,25629.415135
60,75,25294.007057
60,76,25259.750382
60,78,25091.635288
60,82,24808.488631
60,83,24679.481711
60,94,24253.327264
60,106,23859.539422
60,119,23550.586676
60,127,23515.742893
60,128,23439.367418
61,73,25629.415135
61,75,25294.007057
61,76,25259.750382
61,78,25091.635288
61,82,24808.488631
61,83,24679.481711
61,94,24253.327264
61,106,23859.539422
61,119,23550.586676
61,127,23515.742893
61,128,23439.367418
62,73,25629.415135
62,75,25294.007057
62,76,25259.750382
62,78,25091.635288
62,82,24808.488631
62,83,24679.481711
62,94,24253.327264
62,106,23859.539422
62,119,23550.586676
62,127,23515.742893
62,128,23439.367418
63,73,25629.415135
63,75,25294.007057
63,76,25259.750382
63,78,25091.635288
63,82,24808.488631
63,83,24679.481711
63,94,24253.327264
63,106,23859.539422
63,119,23550.586676
63,127,23515.742893
63,128,23439.367418
64,73,25629.415135
64,75,25294.007057
64,76,25259.750382
64,78,25091.635288
64,82,24808.488631
64,83,24679.481711
64,94,24253.327264
64,106,23859.539422
64,119,23550.586676
64,127,23515.742893
64,128,23439.367418
65,73,25629.415135
65,75,25294.007057
65,76,25259.750382
65,78,25091.635288
65,82,24808.488631
65,83,24679.481711
65,94,24253.327264
65,106,23859.539422
65,119,23550.586676
65,127,23515.742893
65,128,23439.367418
66,73,25629.415135
66,75,25294.007057
66,76,25259.750382
66,78,25091.635288
66,82,24808.488631
66,83,24679.481711
66,94,24253.327264
66,106,23859.539422
66,119,23550.586676
66,127,23515.742893
66,128,23439.367418
67,73,25629.415135
67,75,25294.007057
67,76,25259.750382
67,78,25091.635288
67,82,24808.488631
67,83,24679.481711
67,94,24253.327264
67,106,23859.539422
67,119,23550.586676
67,127,23515.742893
67,128,23439.367418
68,73,25629.415135
68,75,25294.007057
68,76,25259.750382
68,78,25091.635288
68,82,24808.488631
68,83,24679.481711
68,94,24253.327264
68,106,23859.539422
68,119,23550.586676
68,127,23515.742893
68,128,23439.367418
69,73,25629.415135
69,75,25294.007057
69,76,25259.750382
69,78,25091.635288
69,82,24808.488631
69,83,24679.481711
69,94,24253.327264
69,106,23859.539422
69,119,23550.586676
69,127,23515.742893
69,128,23439.367418
70,73,25629.415135
70,75,25294.007057
70,76,25259.750382
70,78,25091.635288
70,82,24808.488631
70,83,24679.481711
70,94,24253.327264
70,106,23859.539422
70,119,23550.586676
70,127,23515.742893
70,128,23439.367418
71,73,25629.415135
71,75,25294.007057
71,76,25259.750382
71,78,25091.635288
71,82,24808.488631
71,83,24679.481711
71,94,24253.327264
71,106,23859.539422
71,119,23550.586676
71,127,23515.742893
71,128,23439.367418
72,73,25629.415135
72,75,25294.007057
72,76,25259.750382
72,78,25091.635288
72,82,24808.488631
72,83,24679.481711
72,94,24253.327264
72,106,23859.539422
72,119,23550.586676
72,127,23515.742893
72,128,23439.367418
73,73,25629.415135
73,75,25294.007057
73,76,25259.750382
73,78,25091.635288
73,82,24808.488631
73,83,24679.481711
73,94,24253.327264
73,106,23859.539422
73,119,23550.586676
73,127,23515.742893
73,128,23439.367418
74,73,25629.415135
74,75,25294.007057
74,76,25259.750382
74,78,25091.635288
74,82,24808.488631
74,83,24679.481711
74,94,24253.327264
74,106,23859.539422
74,119,23550.586676
74,127,23515.742893
74,128,23439.367418
75,73,25629.415135
75,75,25294.007057
75,76,25259.750382
75,78,25091.635288
75,82,24808.488631
75,83,24679.481711
75,94,24253.327264
75,106,23859.539422
75,119,23550.586676
75,127,23515.742893
75,128,23439.367418
76,73,25629.415135
