Iteration,NV,TOC
1,9,4409.785162
1,10,3956.320057
1,11,3785.899124
1,12,3360.130716
1,14,3283.879728
1,15,3053.246302
1,16,2988.328814
1,20,2652.351156
1,29,2592.359810
1,36,2509.236495
1,42,2459.078799
2,9,4409.785162
2,10,3956.320057
2,11,3785.899124
2,12,3360.130716
2,14,3283.879728
2,15,3053.246302
2,16,2988.328814
2,20,2652.351156
2,29,2592.359810
2,36,2509.236495
2,42,2459.078799
3,9,4409.785162
3,10,3956.320057
3,11,3785.899124
3,12,3360.130716
3,14,3283.879728
3,15,3053.246302
3,16,2988.328814
3,20,2652.351156
3,29,2592.359810
3,36,2509.236495
3,42,2459.078799
4,9,4409.785162
4,10,3956.320057
4,11,3785.899124
4,12,3360.130716
4,14,3283.879728
4,15,3053.246302
4,16,2988.328814
4,20,2652.351156
4,29,2592.359810
4,36,2509.236495
4,42,2459.078799
5,9,4409.785162
5,10,3956.320057
5,11,3785.899124
5,12,3360.130716
5,14,3283.879728
5,15,3053.246302
5,16,2988.328814
5,20,2652.351156
5,29,2592.359810
5,36,2509.236495
5,42,2459.078799
6,9,4409.785162
6,10,3956.320057
6,11,3785.899124
6,12,3360.130716
6,14,3283.879728
6,15,3053.246302
6,16,2988.328814
6,20,2652.351156
6,29,2592.359810
6,36,2509.236495
6,42,2459.078799
7,9,4409.785162
7,10,3956.320057
7,11,3785.899124
7,12,3360.130716
7,14,3283.879728
7,15,3053.246302
7,16,2988.328814
7,20,2652.351156
7,29,2592.359810
7,36,2509.236495
7,42,2459.078799
8,9,4409.785162
8,10,3956.320057
8,11,3785.899124
8,12,3360.130716
8,14,3283.879728
8,15,3053.246302
8,16,2988.328814
8,20,2652.351156
8,29,2592.359810
8,36,2509.236495
8,42,2459.078799
9,9,4409.785162
9,10,3956.320057
9,11,3785.899124
9,12,3360.130716
9,14,3283.879728
9,15,3053.246302
9,16,2988.328814
9,20,2652.351156
9,29,2592.359810
9,36,2509.236495
9,42,2459.078799
10,9,4409.785162
10,10,3956.320057
10,11,3785.899124
10,12,3360.130716
10,14,3283.879728
10,15,3053.246302
10,16,2988.328814
10,20,2652.351156
10,29,2592.359810
10,36,2509.236495
10,42,2459.078799
11,9,4409.785162
11,10,3956.320057
11,11,3785.899124
11,12,3360.130716
11,14,3283.879728
11,15,3053.246302
11,16,2988.328814
11,20,2652.351156
11,29,2592.359810
11,36,2509.236495
11,42,2459.078799
12,9,4409.785162
12,10,3956.320057
12,11,3785.899124
