Iteration,NV,TOC
1,14,4722.803967
1,22,4613.931879
1,24,4456.533378
1,44,4103.750454
2,14,4722.803967
2,22,4613.931879
2,24,4456.533378
2,34,4389.764235
2,44,4103.750454
3,14,4722.803967
3,22,4613.931879
3,24,4456.533378
3,34,4389.764235
3,44,4103.750454
4,14,4722.803967
4,22,4613.931879
4,24,4110.941912
4,44,4103.750454
5,14,4722.803967
5,22,4613.931879
5,24,4110.941912
5,44,4103.750454
6,14,4722.803967
6,22,4613.931879
6,24,4110.941912
6,44,4103.750454
7,14,4722.803967
7,21,4432.182177
7,24,4110.941912
7,44,4103.750454
8,14,4722.803967
8,21,4432.182177
8,24,4110.941912
8,44,4103.750454
9,14,4722.803967
9,21,4432.182177
9,24,4110.941912
9,43,4092.802897
10,14,4722.803967
10,21,4432.182177
10,24,4110.941912
10,33,3685.824909
11,14,4722.803967
11,21,4432.182177
11,24,4110.941912
11,33,3685.824909
12,14,4722.803967
12,21,4432.182177
12,24,4110.941912
12,33,3685.824909
13,14,4722.803967
13,21,4432.182177
13,24,4110.941912
13,33,3685.824909
14,14,4722.803967
14,21,4432.182177
14,24,4110.941912
14,33,3685.824909
15,14,4722.803967
15,21,4432.182177
15,24,4110.941912
15,33,3685.824909
16,14,4722.803967
16,21,4432.182177
16,24,4110.941912
16,33,3685.824909
17,14,4722.803967
17,21,4432.182177
17,24,4110.941912
17,29,4070.252551
17,33,3685.824909
18,14,4722.803967
18,21,4432.182177
18,24,4110.941912
18,29,4070.252551
18,33,3685.824909
19,14,4722.803967
19,21,4432.182177
19,24,4110.941912
19,29,4070.252551
19,33,3685.824909
20,14,4722.803967
20,21,4432.182177
20,24,4110.941912
20,29,4070.252551
20,33,3685.824909
21,14,4722.803967
21,21,4432.182177
21,24,4110.941912
21,29,4070.252551
21,33,3685.824909
22,14,4722.803967
22,21,4432.182177
22,24,4110.941912
22,29,4070.252551
22,33,3685.824909
23,14,4722.803967
23,21,4432.182177
23,24,4110.941912
23,29,4070.252551
23,33,3685.824909
24,14,4722.803967
24,21,4432.182177
24,24,4110.941912
24,29,4070.252551
24,33,3685.824909
25,14,4722.803967
25,21,4432.182177
25,24,4110.941912
25,29,4070.252551
25,33,3685.824909
26,14,4722.803967
26,20,4336.866916
26,24,4110.941912
26,29,4070.252551
26,33,3685.824909
27,14,4722.803967
27,20,4336.866916
27,24,4110.941912
27,29,4070.252551
27,33,3685.824909
28,14,4722.803967
28,20,4336.866916
28,24,4110.941912
28,29,4070.252551
28,33,3685.824909
29,14,4722.803967
29,20,4336.866916
29,24,4110.941912
29,29,4070.252551
29,33,3685.824909
30,14,4722.803967
30,20,4336.866916
30,24,4110.941912
30,29,4070.252551
30,33,3685.824909
31,14,4722.803967
31,20,4336.866916
31,24,4110.941912
31,29,4070.252551
31,33,3685.824909
32,14,4722.803967
32,20,4336.866916
32,24,4110.941912
32,29,4070.252551
32,33,3685.824909
33,14,4722.803967
33,20,4336.866916
33,24,4110.941912
33,29,4070.252551
33,33,3685.824909
34,14,4722.803967
34,20,4336.866916
34,24,4110.941912
34,29,4070.252551
34,33,3685.824909
35,14,4722.803967
35,20,4336.866916
35,24,4110.941912
35,29,4070.252551
35,33,3685.824909
36,14,4722.803967
36,20,4336.866916
36,24,4110.941912
36,29,4070.252551
36,33,3685.824909
37,14,4722.803967
37,20,4336.866916
37,24,4110.941912
37,29,4070.252551
37,33,3685.824909
38,14,4722.803967
38,20,4336.866916
38,24,4110.941912
38,29,4070.252551
38,33,3685.824909
39,14,4722.803967
39,20,4336.866916
39,24,4110.941912
39,29,4070.252551
39,33,3685.824909
40,14,4722.803967
40,20,4336.866916
40,24,4110.941912
40,29,4070.252551
40,33,3685.824909
41,14,4722.803967
41,20,4336.866916
41,24,4110.941912
41,29,4070.252551
41,33,3685.824909
42,14,4722.803967
42,20,4336.866916
42,24,4110.941912
42,29,4070.252551
42,33,3685.824909
43,14,4722.803967
43,20,4336.866916
43,24,4110.941912
43,29,4070.252551
43,33,3685.824909
44,14,4722.803967
44,20,4336.866916
44,24,4110.941912
44,29,4070.252551
44,33,3685.824909
45,14,4722.803967
45,20,4336.866916
45,24,4110.941912
45,29,4070.252551
45,33,3685.824909
46,14,4722.803967
46,20,4336.866916
46,24,4110.941912
46,29,4070.252551
46,33,3685.824909
47,14,4722.803967
47,20,4336.866916
47,24,4110.941912
47,29,4070.252551
47,33,3685.824909
48,14,4722.803967
48,20,4336.866916
48,24,4110.941912
48,29,4070.252551
48,33,3685.824909
49,14,4722.803967
49,20,4336.866916
49,24,4110.941912
49,29,4070.252551
49,33,3685.824909
50,14,4722.803967
50,20,4336.866916
50,24,4110.941912
50,29,4070.252551
50,33,3685.824909
51,14,4722.803967
51,20,4336.866916
51,24,4110.941912
51,29,4070.252551
51,33,3685.824909
52,14,4722.803967
52,20,4336.866916
52,24,4110.941912
52,29,4070.252551
52,33,3685.824909
53,14,4722.803967
53,20,4336.866916
53,24,4110.941912
53,29,4070.252551
53,33,3685.824909
54,14,4722.803967
54,20,4336.866916
54,24,4110.941912
54,29,4070.252551
54,33,3685.824909
55,14,4722.803967
55,20,4336.866916
55,24,4110.941912
55,29,4070.252551
55,33,3685.824909
56,14,4722.803967
56,20,4336.866916
56,24,4110.941912
56,29,4070.252551
56,33,3685.824909
57,14,4722.803967
57,20,4336.866916
57,24,4110.941912
57,29,4070.252551
57,33,3685.824909
58,14,4722.803967
58,20,4336.866916
58,24,4110.941912
58,29,4070.252551
58,33,3685.824909
59,14,4722.803967
59,20,4336.866916
59,24,4110.941912
59,29,4070.252551
59,33,3685.824909
60,14,4722.803967
60,20,4336.866916
60,24,4110.941912
60,29,4070.252551
60,33,3685.824909
61,14,4722.803967
61,20,4336.866916
61,24,4110.941912
61,29,4070.252551
61,33,3685.824909
62,14,4722.803967
62,20,4336.866916
62,24,4110.941912
62,29,4070.252551
62,33,3685.824909
63,14,4722.803967
63,20,4336.866916
63,24,4110.941912
63,29,4070.252551
63,33,3685.824909
64,14,4722.803967
64,20,4336.866916
64,24,4110.941912
64,29,4070.252551
64,33,3685.824909
65,14,4722.803967
65,20,4336.866916
65,24,4110.941912
65,29,4070.252551
65,33,3685.824909
66,14,4722.803967
66,20,4336.866916
66,24,4110.941912
66,29,4070.252551
66,33,3685.824909
67,14,4722.803967
67,20,4336.866916
67,24,4110.941912
67,29,4070.252551
67,33,3685.824909
68,14,4722.803967
68,20,4336.866916
68,24,4110.941912
68,29,4070.252551
68,33,3685.824909
69,14,4722.803967
69,20,4336.866916
69,24,4110.941912
69,29,4070.252551
69,33,3685.824909
70,14,4722.803967
70,20,4336.866916
70,24,4110.941912
70,29,4070.252551
70,33,3685.824909
71,14,4722.803967
71,20,4336.866916
71,24,4110.941912
71,29,4070.252551
71,33,3685.824909
72,14,4722.803967
72,20,4336.866916
72,24,4110.941912
72,29,4070.252551
72,33,3685.824909
73,14,4722.803967
73,20,4336.866916
73,24,4110.941912
73,29,4070.252551
73,33,3685.824909
74,14,4722.803967
74,20,4336.866916
74,24,4110.941912
74,29,4070.252551
74,33,3685.824909
75,14,4722.803967
75,20,4336.866916
75,24,4110.941912
75,29,4070.252551
75,33,3685.824909
76,14,4722.803967
76,20,4336.866916
76,24,4110.941912
76,29,4070.252551
76,33,3685.824909
77,14,4722.803967
77,20,4336.866916
77,24,4110.941912
77,29,4070.252551
77,33,3685.824909
78,14,4722.803967
78,20,4336.866916
78,24,4110.941912
78,29,4070.252551
78,33,3685.824909
79,14,4722.803967
79,20,4336.866916
79,24,4110.941912
79,29,4070.252551
79,33,3685.824909
80,14,4722.803967
80,20,4336.866916
80,24,4110.941912
80,29,4070.252551
80,33,3685.824909
81,14,4722.803967
81,20,4336.866916
81,24,4110.941912
81,29,4070.252551
81,33,3685.824909
82,14,4722.803967
82,20,4336.866916
82,24,4110.941912
82,29,4070.252551
82,33,3685.824909
83,14,4722.803967
83,20,4336.866916
83,24,4110.941912
83,29,4070.252551
83,33,3685.824909
84,14,4722.803967
84,20,4336.866916
84,24,4110.941912
84,29,4070.252551
84,33,3685.824909
85,14,4722.803967
85,20,4336.866916
85,24,4110.941912
85,29,4070.252551
85,33,3685.824909
86,14,4722.803967
86,20,4336.866916
86,24,4110.941912
86,29,4070.252551
86,33,3685.824909
87,14,4722.803967
87,20,4336.866916
87,24,4110.941912
87,29,4070.252551
87,33,3685.824909
88,14,4722.803967
88,20,4336.866916
88,24,4110.941912
88,29,4070.252551
88,33,3685.824909
89,14,4722.803967
89,20,4336.866916
89,24,4110.941912
89,29,4070.252551
89,33,3685.824909
90,14,4722.803967
90,17,4559.565423
90,20,4336.866916
90,24,4110.941912
90,29,4070.252551
90,33,3685.824909
91,14,4722.803967
91,17,4559.565423
91,20,4336.866916
91,24,4110.941912
91,29,4070.252551
91,33,3685.824909
92,14,4722.803967
92,17,4559.565423
92,20,4336.866916
92,24,4110.941912
92,29,4070.252551
92,33,3685.824909
93,14,4722.803967
93,17,4559.565423
93,20,4336.866916
93,24,4110.941912
93,29,4070.252551
93,33,3685.824909
94,14,4722.803967
94,17,4559.565423
94,20,4336.866916
94,24,4110.941912
94,29,4070.252551
94,33,3685.824909
95,14,4722.803967
95,17,4559.565423
95,20,4336.866916
95,24,4110.941912
95,29,4070.252551
95,33,3685.824909
96,14,4722.803967
96,17,4559.565423
96,20,4336.866916
96,24,4110.941912
96,29,4070.252551
96,33,3685.824909
97,14,4722.803967
97,17,4559.565423
97,20,4336.866916
97,24,4110.941912
97,29,4070.252551
97,33,3685.824909
98,14,4722.803967
98,17,4559.565423
98,20,4336.866916
98,24,4110.941912
98,29,4070.252551
98,33,3685.824909
99,14,4722.803967
99,17,4559.565423
99,20,4336.866916
99,24,4110.941912
99,29,4070.252551
99,33,3685.824909
100,14,4722.803967
100,17,4559.565423
100,20,4336.866916
100,24,4110.941912
100,29,4070.252551
100,33,3685.824909
101,14,4722.803967
101,17,4559.565423
101,20,4336.866916
101,24,4110.941912
101,29,4070.252551
101,33,3685.824909
102,14,4722.803967
102,17,4559.565423
102,20,4336.866916
102,24,4110.941912
102,29,4070.252551
102,33,3685.824909
103,14,4722.803967
103,17,4559.565423
103,20,4336.866916
103,24,4110.941912
103,29,4070.252551
103,33,3685.824909
104,14,4722.803967
104,16,4423.284101
104,20,4336.866916
104,24,4110.941912
104,29,4070.252551
104,33,3685.824909
105,14,4722.803967
105,16,4423.284101
105,20,4336.866916
105,24,4110.941912
105,29,4070.252551
105,33,3685.824909
106,14,4722.803967
106,16,4423.284101
106,20,4336.866916
106,24,4110.941912
106,29,4070.252551
106,33,3685.824909
107,14,4722.803967
107,16,4423.284101
107,20,4336.866916
107,24,4110.941912
107,29,4070.252551
107,33,3685.824909
108,14,4722.803967
108,16,4423.284101
108,20,4336.866916
108,24,4110.941912
108,29,4070.252551
108,33,3685.824909
109,14,4722.803967
109,16,4423.284101
109,20,4336.866916
109,24,4110.941912
109,29,4070.252551
109,33,3685.824909
110,14,4722.803967
110,16,4423.284101
110,20,4336.866916
110,24,4110.941912
110,29,4070.252551
110,33,3685.824909
111,14,4722.803967
111,16,4423.284101
111,20,4336.866916
111,24,4110.941912
111,29,4070.252551
111,33,3685.824909
112,14,4722.803967
112,16,4423.284101
112,20,4336.866916
112,24,4110.941912
112,29,4070.252551
112,33,3685.824909
113,14,4722.803967
113,16,4423.284101
113,20,4336.866916
113,24,4110.941912
113,29,4070.252551
113,33,3685.824909
114,14,4722.803967
114,16,4423.284101
114,20,4336.866916
114,24,4110.941912
114,29,4070.252551
114,33,3685.824909
115,14,4722.803967
115,16,4423.284101
115,20,4336.866916
115,24,4110.941912
115,29,4070.252551
115,33,3685.824909
116,14,4722.803967
116,16,4423.284101
116,20,4336.866916
116,24,4110.941912
116,29,4070.252551
116,33,3685.824909
117,14,4722.803967
117,16,4423.284101
117,20,4336.866916
117,24,4110.941912
117,29,4070.252551
117,33,3685.824909
118,14,4722.803967
118,16,4423.284101
118,20,4336.866916
118,24,4110.941912
118,29,4070.252551
118,33,3685.824909
119,14,4722.803967
119,16,4423.284101
119,20,4336.866916
119,24,4110.941912
119,29,4070.252551
119,33,3685.824909
120,14,4722.803967
120,16,4423.284101
120,20,4336.866916
120,24,4110.941912
120,29,4070.252551
120,33,3685.824909
121,14,4722.803967
121,16,4423.284101
121,20,4336.866916
121,24,4110.941912
121,29,4070.252551
121,33,3685.824909
122,14,4722.803967
122,16,4423.284101
122,20,4336.866916
122,24,4110.941912
122,29,4070.252551
122,33,3685.824909
123,14,4722.803967
123,16,4423.284101
123,20,4336.866916
123,24,4110.941912
123,29,4070.252551
123,33,3685.824909
124,14,4722.803967
124,16,4423.284101
124,20,4336.866916
124,24,4110.941912
124,29,4070.252551
124,33,3685.824909
125,14,4722.803967
125,16,4423.284101
125,20,4336.866916
125,24,4110.941912
125,29,4070.252551
125,33,3685.824909
126,14,4722.803967
126,16,4423.284101
126,20,4336.866916
126,24,4110.941912
126,29,4070.252551
126,33,3685.824909
127,14,4722.803967
127,16,4423.284101
127,20,4336.866916
127,24,4110.941912
127,29,4070.252551
127,33,3685.824909
128,14,4722.803967
128,16,4423.284101
128,20,4336.866916
128,24,4110.941912
128,29,4070.252551
128,33,3685.824909
129,14,4722.803967
129,16,4423.284101
129,20,4336.866916
129,24,4110.941912
129,29,4070.252551
129,33,3685.824909
130,14,4722.803967
130,16,4423.284101
130,20,4336.866916
130,24,4110.941912
130,29,4070.252551
130,33,3685.824909
131,14,4722.803967
131,16,4423.284101
131,20,4336.866916
131,24,4110.941912
131,29,4070.252551
131,33,3685.824909
132,14,4722.803967
132,16,4423.284101
132,20,4336.866916
132,24,4110.941912
132,29,4070.252551
132,33,3685.824909
133,14,4722.803967
133,16,4423.284101
133,20,4336.866916
133,24,4110.941912
133,29,4070.252551
133,33,3685.824909
134,14,4722.803967
134,16,4423.284101
134,20,4336.866916
134,24,4110.941912
134,29,4070.252551
134,33,3685.824909
135,14,4722.803967
135,16,4423.284101
135,20,4336.866916
135,24,4110.941912
135,29,4070.252551
135,33,3685.824909
136,14,4722.803967
136,16,4423.284101
136,20,4336.866916
136,24,4110.941912
136,29,4070.252551
136,33,3685.824909
137,14,4722.803967
137,16,4423.284101
137,20,4336.866916
137,24,4110.941912
137,29,4070.252551
137,33,3685.824909
138,14,4722.803967
138,16,4423.284101
138,20,4336.866916
138,24,4110.941912
138,29,4070.252551
138,33,3685.824909
139,14,4722.803967
139,16,4423.284101
139,20,4336.866916
139,24,4110.941912
139,29,4070.252551
139,33,3685.824909
140,14,4722.803967
140,16,4423.284101
140,20,4336.866916
140,24,4110.941912
140,29,4070.252551
140,33,3685.824909
141,14,4722.803967
141,16,4423.284101
141,20,4336.866916
141,24,4110.941912
141,29,4070.252551
141,33,3685.824909
142,14,4722.803967
142,16,4423.284101
142,20,4336.866916
142,24,4110.941912
142,29,4070.252551
142,33,3685.824909
143,14,4722.803967
143,16,4423.284101
143,20,4336.866916
143,24,4110.941912
143,29,4070.252551
143,33,3685.824909
144,14,4722.803967
144,16,4423.284101
144,20,4336.866916
144,24,4110.941912
144,29,4070.252551
144,33,3685.824909
145,14,4722.803967
145,16,4423.284101
145,20,4336.866916
145,24,4110.941912
145,29,4070.252551
145,33,3685.824909
146,14,4722.803967
146,16,4423.284101
146,20,4336.866916
146,24,4110.941912
146,29,4070.252551
146,33,3685.824909
147,14,4722.803967
147,16,4423.284101
147,20,4336.866916
147,24,4110.941912
147,29,4070.252551
147,33,3685.824909
148,14,4722.803967
148,16,4423.284101
148,20,4336.866916
148,24,4110.941912
148,29,4070.252551
148,33,3685.824909
149,14,4722.803967
149,16,4423.284101
149,20,4336.866916
149,24,4110.941912
149,29,4070.252551
149,33,3685.824909
150,14,4722.803967
150,16,4423.284101
150,20,4336.866916
150,24,4110.941912
