Iteration,NV,TOC
1,12,1968.213332
1,15,1917.901678
1,16,1756.260521
2,12,1968.213332
2,15,1917.901678
2,16,1756.260521
3,12,1968.213332
3,15,1917.901678
3,16,1756.260521
4,12,1968.213332
4,15,1917.901678
4,16,1756.260521
5,12,1968.213332
5,15,1917.901678
5,16,1756.260521
6,12,1968.213332
6,15,1917.901678
6,16,1756.260521
7,12,1968.213332
7,15,1917.901678
7,16,1756.260521
8,12,1968.213332
8,15,1917.901678
8,16,1756.260521
9,12,1968.213332
9,15,1917.901678
9,16,1756.260521
10,12,1968.213332
10,15,1917.901678
10,16,1756.260521
11,12,1968.213332
11,15,1917.901678
11,16,1756.260521
12,12,1968.213332
12,15,1917.901678
12,16,1756.260521
13,12,1968.213332
13,15,1917.901678
13,16,1756.260521
14,12,1968.213332
14,15,1917.901678
14,16,1756.260521
15,12,1968.213332
15,15,1917.901678
15,16,1756.260521
16,12,1968.213332
16,15,1917.901678
16,16,1756.260521
17,12,1968.213332
17,15,1917.901678
17,16,1756.260521
18,12,1968.213332
18,15,1917.901678
18,16,1756.260521
19,12,1968.213332
19,15,1917.901678
19,16,1756.260521
20,12,1968.213332
20,15,1917.901678
20,16,1756.260521
21,12,1968.213332
21,15,1917.901678
21,16,1756.260521
22,12,1968.213332
22,15,1917.901678
22,16,1756.260521
23,12,1968.213332
23,15,1917.901678
23,16,1756.260521
24,12,1968.213332
24,15,1917.901678
24,16,1756.260521
25,12,1968.213332
25,15,1917.901678
25,16,1756.260521
26,12,1968.213332
26,15,1917.901678
26,16,1756.260521
27,12,1968.213332
27,15,1917.901678
27,16,1756.260521
28,12,1968.213332
28,15,1917.901678
28,16,1756.260521
29,12,1968.213332
29,15,1917.901678
29,16,1756.260521
30,12,1968.213332
30,15,1917.901678
30,16,1756.260521
31,12,1968.213332
31,15,1917.901678
31,16,1756.260521
32,12,1968.213332
32,15,1917.901678
32,16,1756.260521
33,12,1968.213332
33,15,1917.901678
33,16,1756.260521
34,12,1968.213332
34,15,1917.901678
34,16,1756.260521
