Iteration,NV,TOC
1,7,1578.240240
1,8,1483.957531
1,9,1416.973967
1,10,1396.073293
1,12,1385.917349
1,13,1375.751047
1,14,1341.906306
2,7,1578.240240
2,7,1578.240240
2,8,1483.957531
2,8,1483.957531
2,9,1416.973967
2,9,1416.973967
2,10,1396.073293
2,10,1396.073293
2,12,1384.652091
2,13,1375.751047
2,13,1375.751047
2,14,1341.906306
2,14,1341.906306
3,7,1578.240240
3,7,1578.240240
3,7,1578.240240
3,8,1483.957531
3,8,1483.957531
3,8,1483.957531
3,9,1397.292872
3,10,1396.073293
3,10,1396.073293
3,10,1396.073293
3,11,1355.011810
3,14,1341.906306
3,14,1341.906306
3,14,1341.906306
4,7,1570.352588
4,8,1483.957531
4,8,1483.957531
4,8,1483.957531
4,8,1483.957531
4,9,1397.292872
4,9,1397.292872
4,10,1396.073293
4,10,1396.073293
4,10,1396.073293
4,10,1396.073293
4,11,1355.011810
4,11,1355.011810
4,14,1341.906306
4,14,1341.906306
4,14,1341.906306
4,14,1341.906306
5,7,1570.352588
5,7,1570.352588
5,8,1448.738073
5,9,1397.292872
5,9,1397.292872
5,9,1397.292872
5,10,1396.073293
5,10,1396.073293
5,10,1396.073293
5,10,1396.073293
5,10,1396.073293
5,11,1355.011810
5,11,1355.011810
5,11,1355.011810
5,14,1341.906306
5,14,1341.906306
5,14,1341.906306
5,14,1341.906306
5,14,1341.906306
