Iteration,NV,TOC
1,21,6317.157510
1,23,5946.815128
1,24,5693.725851
1,25,5615.704478
1,26,5584.475511
1,27,5411.620657
1,28,5258.813969
2,21,6317.157510
2,21,6317.157510
2,23,5924.148805
2,24,5693.725851
2,24,5693.725851
2,25,5583.744324
2,26,5559.003517
2,27,5411.620657
2,27,5411.620657
2,28,5258.813969
2,28,5258.813969
3,21,6317.157510
3,21,6317.157510
3,21,6317.157510
3,23,5924.148805
3,23,5924.148805
3,24,5693.725851
3,24,5693.725851
3,24,5693.725851
3,25,5583.744324
3,25,5583.744324
3,26,5559.003517
3,26,5559.003517
3,27,5411.620657
3,27,5411.620657
3,27,5411.620657
3,28,5258.813969
3,28,5258.813969
3,28,5258.813969
4,20,6574.664516
4,21,6317.157510
4,21,6317.157510
4,21,6317.157510
4,21,6317.157510
4,23,5924.148805
4,23,5924.148805
4,23,5924.148805
4,24,5693.725851
4,24,5693.725851
4,24,5693.725851
4,24,5693.725851
4,25,5583.744324
4,25,5583.744324
4,25,5583.744324
4,26,5559.003517
4,26,5559.003517
4,26,5559.003517
4,27,5400.309509
4,28,5258.813969
4,28,5258.813969
4,28,5258.813969
4,28,5258.813969
5,20,6574.664516
5,20,6574.664516
5,21,6317.157510
5,21,6317.157510
5,21,6317.157510
5,21,6317.157510
5,21,6317.157510
5,23,5924.148805
5,23,5924.148805
5,23,5924.148805
5,23,5924.148805
5,24,5693.725851
5,24,5693.725851
5,24,5693.725851
5,24,5693.725851
5,24,5693.725851
5,25,5583.744324
5,25,5583.744324
5,25,5583.744324
5,25,5583.744324
5,26,5559.003517
5,26,5559.003517
5,26,5559.003517
5,26,5559.003517
5,27,5400.309509
5,27,5400.309509
5,28,5258.813969
5,28,5258.813969
5,28,5258.813969
5,28,5258.813969
5,28,5258.813969
6,20,6574.664516
6,20,6574.664516
6,20,6574.664516
6,21,6317.157510
6,21,6317.157510
6,21,6317.157510
6,21,6317.157510
6,21,6317.157510
6,21,6317.157510
6,23,5678.749318
6,25,5583.744324
6,25,5583.744324
6,25,5583.744324
6,25,5583.744324
6,25,5583.744324
6,26,5559.003517
6,26,5559.003517
6,26,5559.003517
6,26,5559.003517
6,26,5559.003517
6,27,5400.309509
6,27,5400.309509
6,27,5400.309509
6,28,5258.813969
6,28,5258.813969
6,28,5258.813969
6,28,5258.813969
6,28,5258.813969
6,28,5258.813969
7,20,6574.664516
7,20,6574.664516
7,20,6574.664516
7,20,6574.664516
7,21,6317.157510
7,21,6317.157510
7,21,6317.157510
7,21,6317.157510
7,21,6317.157510
7,21,6317.157510
7,21,6317.157510
7,22,6097.786797
7,23,5678.749318
7,23,5678.749318
7,24,5573.438388
7,26,5509.852535
7,27,5400.309509
7,27,5400.309509
7,27,5400.309509
7,27,5400.309509
7,28,5258.813969
7,28,5258.813969
7,28,5258.813969
7,28,5258.813969
7,28,5258.813969
7,28,5258.813969
7,28,5258.813969
8,20,6574.664516
8,20,6574.664516
8,20,6574.664516
8,20,6574.664516
8,20,6574.664516
8,21,6281.445968
8,22,6097.786797
8,22,6097.786797
8,23,5678.749318
8,23,5678.749318
8,23,5678.749318
8,24,5573.438388
8,24,5573.438388
8,26,5509.852535
8,26,5509.852535
8,27,5400.309509
8,27,5400.309509
8,27,5400.309509
8,27,5400.309509
8,27,5400.309509
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
8,28,5258.813969
9,20,6574.664516
9,20,6574.664516
9,20,6574.664516
9,20,6574.664516
9,20,6574.664516
9,20,6574.664516
9,21,5905.247311
9,23,5678.749318
9,23,5678.749318
9,23,5678.749318
9,23,5678.749318
9,24,5535.866071
9,26,5480.373766
9,27,5393.337965
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
9,28,5258.813969
10,20,6574.664516
10,20,6574.664516
10,20,6574.664516
10,20,6574.664516
10,20,6574.664516
10,20,6574.664516
10,20,6574.664516
10,21,5905.247311
10,21,5905.247311
10,22,5869.290096
10,23,5678.749318
10,23,5678.749318
10,23,5678.749318
