Iteration,NV,TOC
1,73,25629.415135
1,74,25488.844419
1,75,25294.007057
1,78,25091.635288
1,94,24253.327264
1,107,23834.840499
1,119,23617.654564
2,73,25629.415135
2,73,25629.415135
2,74,25488.844419
2,74,25488.844419
2,75,25294.007057
2,75,25294.007057
2,78,25091.635288
2,78,25091.635288
2,86,24837.782328
2,93,24445.336409
2,94,24253.327264
2,94,24253.327264
2,107,23834.840499
2,107,23834.840499
2,119,23617.654564
2,119,23617.654564
3,73,25629.415135
3,73,25629.415135
3,73,25629.415135
3,74,25488.844419
3,74,25488.844419
3,74,25488.844419
3,75,25294.007057
3,75,25294.007057
3,75,25294.007057
3,78,25091.635288
3,78,25091.635288
3,78,25091.635288
3,85,25033.183741
3,86,24837.782328
3,86,24837.782328
3,90,24391.341590
3,94,24253.327264
3,94,24253.327264
3,94,24253.327264
3,107,23834.840499
3,107,23834.840499
3,107,23834.840499
3,119,23617.654564
3,119,23617.654564
3,119,23617.654564
4,73,25629.415135
4,73,25629.415135
4,73,25629.415135
4,73,25629.415135
4,74,25488.844419
4,74,25488.844419
4,74,25488.844419
4,74,25488.844419
4,75,25294.007057
4,75,25294.007057
4,75,25294.007057
4,75,25294.007057
4,78,25091.635288
4,78,25091.635288
4,78,25091.635288
4,78,25091.635288
4,85,25033.183741
4,85,25033.183741
4,86,24837.782328
4,86,24837.782328
4,86,24837.782328
4,90,24391.341590
4,90,24391.341590
4,94,24253.327264
4,94,24253.327264
4,94,24253.327264
4,94,24253.327264
4,107,23834.840499
4,107,23834.840499
4,107,23834.840499
4,107,23834.840499
4,119,23617.654564
4,119,23617.654564
4,119,23617.654564
4,119,23617.654564
5,73,25629.415135
5,73,25629.415135
5,73,25629.415135
5,73,25629.415135
5,73,25629.415135
5,74,25488.844419
5,74,25488.844419
5,74,25488.844419
5,74,25488.844419
5,74,25488.844419
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,78,25091.635288
5,78,25091.635288
5,78,25091.635288
5,78,25091.635288
5,78,25091.635288
5,83,24971.454669
5,86,24837.782328
5,86,24837.782328
5,86,24837.782328
5,86,24837.782328
5,90,24391.341590
5,90,24391.341590
5,90,24391.341590
5,94,24253.327264
5,94,24253.327264
5,94,24253.327264
5,94,24253.327264
5,94,24253.327264
5,107,23834.840499
5,107,23834.840499
5,107,23834.840499
5,107,23834.840499
5,107,23834.840499
5,119,23617.654564
5,119,23617.654564
5,119,23617.654564
5,119,23617.654564
5,119,23617.654564
5,131,23563.186333
6,73,25629.415135
6,73,25629.415135
6,73,25629.415135
6,73,25629.415135
6,73,25629.415135
6,73,25629.415135
6,74,25488.844419
6,74,25488.844419
6,74,25488.844419
6,74,25488.844419
6,74,25488.844419
6,74,25488.844419
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,77,25250.764110
6,78,25091.635288
6,78,25091.635288
6,78,25091.635288
6,78,25091.635288
6,78,25091.635288
6,78,25091.635288
6,83,24692.123138
6,90,24391.341590
6,90,24391.341590
6,90,24391.341590
6,90,24391.341590
6,94,24253.327264
6,94,24253.327264
6,94,24253.327264
6,94,24253.327264
6,94,24253.327264
6,94,24253.327264
6,102,24030.406969
6,107,23834.840499
6,107,23834.840499
6,107,23834.840499
6,107,23834.840499
6,107,23834.840499
6,107,23834.840499
6,109,23749.423658
6,119,23617.654564
6,119,23617.654564
6,119,23617.654564
6,119,23617.654564
6,119,23617.654564
6,119,23617.654564
6,129,23584.249952
6,131,23563.186333
6,131,23563.186333
7,71,25640.640904
7,73,25629.415135
7,73,25629.415135
7,73,25629.415135
7,73,25629.415135
7,73,25629.415135
7,73,25629.415135
7,73,25629.415135
7,74,25488.844419
7,74,25488.844419
7,74,25488.844419
7,74,25488.844419
7,74,25488.844419
7,74,25488.844419
7,74,25488.844419
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,77,25250.764110
7,77,25250.764110
7,78,25091.635288
7,78,25091.635288
7,78,25091.635288
7,78,25091.635288
7,78,25091.635288
7,78,25091.635288
7,78,25091.635288
7,81,24968.567534
7,83,24692.123138
7,83,24692.123138
7,88,24676.770253
7,90,24391.341590
7,90,24391.341590
7,90,24391.341590
7,90,24391.341590
7,90,24391.341590
7,93,24156.573629
7,98,24004.722830
7,107,23834.840499
7,107,23834.840499
7,107,23834.840499
7,107,23834.840499
7,107,23834.840499
7,107,23834.840499
7,107,23834.840499
7,109,23749.423658
7,109,23749.423658
7,119,23617.654564
7,119,23617.654564
7,119,23617.654564
7,119,23617.654564
7,119,23617.654564
7,119,23617.654564
7,119,23617.654564
7,128,23583.958066
7,131,23563.186333
7,131,23563.186333
7,131,23563.186333
8,71,25640.640904
8,71,25640.640904
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,73,25629.415135
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,74,25488.844419
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,75,25294.007057
8,77,25250.764110
8,77,25250.764110
8,77,25250.764110
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,78,25091.635288
8,79,25064.982948
8,81,24968.567534
8,81,24968.567534
8,83,24692.123138
8,83,24692.123138
8,83,24692.123138
8,88,24676.770253
8,88,24676.770253
8,90,24391.341590
8,90,24391.341590
8,90,24391.341590
8,90,24391.341590
8,90,24391.341590
8,90,24391.341590
8,93,24153.569699
8,96,24046.714911
8,98,24004.722830
8,98,24004.722830
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,107,23834.840499
8,109,23749.423658
8,109,23749.423658
8,109,23749.423658
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,119,23617.654564
8,127,23521.800998
9,71,25640.640904
9,71,25640.640904
9,71,25640.640904
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,73,25629.415135
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,74,25488.844419
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,75,25294.007057
9,77,25250.764110
9,77,25250.764110
9,77,25250.764110
9,77,25250.764110
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,78,25091.635288
9,79,25064.982948
9,79,25064.982948
9,81,24968.567534
9,81,24968.567534
9,81,24968.567534
9,83,24692.123138
9,83,24692.123138
9,83,24692.123138
9,83,24692.123138
9,85,24531.405296
9,90,24391.341590
9,90,24391.341590
9,90,24391.341590
9,90,24391.341590
9,90,24391.341590
9,90,24391.341590
9,90,24391.341590
9,93,24153.569699
