Iteration,NV,TOC
1,8,2593.769167
1,9,2387.883986
1,10,2258.421374
1,11,2236.501708
1,12,2235.243540
1,14,2154.126277
1,18,2137.360433
2,8,2593.769167
2,8,2593.769167
2,9,2387.883986
2,9,2387.883986
2,10,2258.421374
2,10,2258.421374
2,11,2236.501708
2,11,2236.501708
2,12,2235.243540
2,12,2235.243540
2,14,2154.126277
2,14,2154.126277
2,18,2137.360433
2,18,2137.360433
3,8,2593.769167
3,8,2593.769167
3,8,2593.769167
3,9,2387.883986
3,9,2387.883986
3,9,2387.883986
3,10,2258.421374
3,10,2258.421374
3,10,2258.421374
3,11,2236.501708
3,11,2236.501708
3,11,2236.501708
3,12,2235.243540
3,12,2235.243540
3,12,2235.243540
3,14,2154.126277
3,14,2154.126277
3,14,2154.126277
3,16,2144.501981
3,18,2137.360433
3,18,2137.360433
3,18,2137.360433
4,8,2569.472215
4,9,2387.883986
4,9,2387.883986
4,9,2387.883986
4,9,2387.883986
4,10,2258.421374
4,10,2258.421374
4,10,2258.421374
4,10,2258.421374
4,11,2236.501708
4,11,2236.501708
4,11,2236.501708
4,11,2236.501708
4,12,2235.243540
4,12,2235.243540
4,12,2235.243540
4,12,2235.243540
4,14,2154.126277
4,14,2154.126277
4,14,2154.126277
4,14,2154.126277
4,16,2144.501981
4,16,2144.501981
4,18,2137.360433
4,18,2137.360433
4,18,2137.360433
4,18,2137.360433
5,8,2569.472215
5,8,2569.472215
5,9,2387.883986
5,9,2387.883986
5,9,2387.883986
5,9,2387.883986
5,9,2387.883986
5,10,2258.421374
5,10,2258.421374
5,10,2258.421374
5,10,2258.421374
5,10,2258.421374
5,11,2236.501708
5,11,2236.501708
5,11,2236.501708
5,11,2236.501708
5,11,2236.501708
5,12,2235.243540
5,12,2235.243540
5,12,2235.243540
5,12,2235.243540
5,12,2235.243540
5,14,2154.126277
5,14,2154.126277
5,14,2154.126277
5,14,2154.126277
5,14,2154.126277
5,16,2120.228756
6,8,2569.472215
6,8,2569.472215
6,8,2569.472215
6,9,2387.883986
6,9,2387.883986
6,9,2387.883986
6,9,2387.883986
6,9,2387.883986
6,9,2387.883986
6,10,2258.421374
6,10,2258.421374
6,10,2258.421374
6,10,2258.421374
6,10,2258.421374
6,10,2258.421374
6,11,2236.501708
6,11,2236.501708
6,11,2236.501708
6,11,2236.501708
6,11,2236.501708
6,11,2236.501708
6,12,2235.243540
6,12,2235.243540
6,12,2235.243540
6,12,2235.243540
6,12,2235.243540
6,12,2235.243540
6,14,2154.126277
6,14,2154.126277
6,14,2154.126277
6,14,2154.126277
6,14,2154.126277
6,14,2154.126277
6,15,2154.125524
6,16,2120.228756
6,16,2120.228756
7,8,2569.472215
7,8,2569.472215
7,8,2569.472215
7,8,2569.472215
7,9,2387.883986
7,9,2387.883986
7,9,2387.883986
7,9,2387.883986
7,9,2387.883986
7,9,2387.883986
7,9,2387.883986
7,10,2258.421374
7,10,2258.421374
7,10,2258.421374
7,10,2258.421374
7,10,2258.421374
7,10,2258.421374
7,10,2258.421374
7,11,2236.501708
7,11,2236.501708
7,11,2236.501708
7,11,2236.501708
7,11,2236.501708
7,11,2236.501708
7,11,2236.501708
7,12,2222.809119
7,14,2154.126277
7,14,2154.126277
7,14,2154.126277
7,14,2154.126277
7,14,2154.126277
7,14,2154.126277
7,14,2154.126277
7,15,2154.125524
7,15,2154.125524
7,16,2120.228756
7,16,2120.228756
7,16,2120.228756
8,8,2569.472215
8,8,2569.472215
8,8,2569.472215
8,8,2569.472215
8,8,2569.472215
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,9,2387.883986
8,10,2244.069181
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,11,2236.501708
8,12,2222.809119
8,12,2222.809119
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,14,2154.126277
8,15,2137.053352
8,16,2120.228756
8,16,2120.228756
8,16,2120.228756
8,16,2120.228756
9,8,2569.472215
9,8,2569.472215
9,8,2569.472215
9,8,2569.472215
9,8,2569.472215
9,8,2569.472215
9,9,2348.744304
9,10,2244.069181
9,10,2244.069181
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,11,2236.501708
9,12,2222.809119
9,12,2222.809119
9,12,2222.809119
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,14,2154.126277
9,15,2137.053352
9,15,2137.053352
9,16,2120.228756
9,16,2120.228756
9,16,2120.228756
9,16,2120.228756
9,16,2120.228756
9,17,2103.664211
10,8,2569.472215
10,8,2569.472215
10,8,2569.472215
10,8,2569.472215
10,8,2569.472215
10,8,2569.472215
10,8,2569.472215
10,9,2348.744304
10,9,2348.744304
10,10,2244.069181
10,10,2244.069181
10,10,2244.069181
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,11,2236.501708
10,12,2222.809119
10,12,2222.809119
10,12,2222.809119
10,12,2222.809119
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,14,2154.126277
10,15,2137.053352
10,15,2137.053352
10,15,2137.053352
10,16,2120.228756
10,16,2120.228756
10,16,2120.228756
10,16,2120.228756
10,16,2120.228756
10,16,2120.228756
10,17,2103.664211
10,17,2103.664211
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,8,2569.472215
11,9,2348.744304
11,9,2348.744304
11,9,2348.744304
11,10,2244.069181
11,10,2244.069181
11,10,2244.069181
11,10,2244.069181
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,11,2236.501708
11,12,2222.809119
11,12,2222.809119
11,12,2222.809119
11,12,2222.809119
11,12,2222.809119
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,14,2154.126277
11,15,2137.053352
11,15,2137.053352
11,15,2137.053352
11,15,2137.053352
11,16,2120.228756
11,16,2120.228756
11,16,2120.228756
11,16,2120.228756
11,16,2120.228756
11,16,2120.228756
11,16,2120.228756
11,17,2103.664211
11,17,2103.664211
11,17,2103.664211
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,8,2569.472215
12,9,2300.312294
12,10,2244.069181
12,10,2244.069181
12,10,2244.069181
12,10,2244.069181
12,10,2244.069181
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,11,2236.501708
12,12,2222.809119
12,12,2222.809119
12,12,2222.809119
12,12,2222.809119
12,12,2222.809119
12,12,2222.809119
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,14,2154.126277
12,15,2137.053352
12,15,2137.053352
12,15,2137.053352
12,15,2137.053352
12,15,2137.053352
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,16,2120.228756
12,17,2103.664211
12,17,2103.664211
12,17,2103.664211
12,17,2103.664211
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,8,2569.472215
13,9,2300.312294
13,9,2300.312294
13,10,2244.069181
13,10,2244.069181
13,10,2244.069181
13,10,2244.069181
13,10,2244.069181
13,10,2244.069181
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,11,2236.501708
13,12,2222.809119
13,12,2222.809119
13,12,2222.809119
13,12,2222.809119
13,12,2222.809119
13,12,2222.809119
13,12,2222.809119
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,14,2154.126277
13,15,2125.345321
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,16,2120.228756
13,17,2103.664211
13,17,2103.664211
13,17,2103.664211
13,17,2103.664211
13,17,2103.664211
14,8,2569.472215
14,8,2569.472215
