Iteration,NV,TOC
1,10,3202.400823
1,11,3116.266487
1,12,3034.097978
1,13,2858.190876
1,14,2738.185641
1,15,2539.558737
1,16,2495.609623
1,19,2471.153157
1,20,2450.343866
1,22,2399.780207
1,25,2372.328860
1,29,2294.969736
2,9,3278.941696
2,10,3202.400823
2,10,3202.400823
2,11,3116.266487
2,11,3116.266487
2,12,2968.679493
2,13,2824.004465
2,14,2738.185641
2,14,2738.185641
2,15,2539.558737
2,15,2539.558737
2,16,2495.609623
2,16,2495.609623
2,19,2471.153157
2,19,2471.153157
2,20,2450.343866
2,20,2450.343866
2,22,2399.780207
2,22,2399.780207
2,25,2372.328860
2,25,2372.328860
2,29,2294.969736
2,29,2294.969736
3,9,3278.941696
3,9,3278.941696
3,10,2963.213330
3,12,2919.817625
3,13,2812.108794
3,14,2738.185641
3,14,2738.185641
3,14,2738.185641
3,15,2539.558737
3,15,2539.558737
3,15,2539.558737
3,16,2495.609623
3,16,2495.609623
3,16,2495.609623
3,19,2471.153157
3,19,2471.153157
3,19,2471.153157
3,20,2436.911269
3,21,2421.802406
3,22,2394.166846
3,25,2372.328860
3,25,2372.328860
3,25,2372.328860
3,29,2294.969736
3,29,2294.969736
3,29,2294.969736
4,9,3278.941696
4,9,3278.941696
4,9,3278.941696
4,10,2963.213330
4,10,2963.213330
4,11,2901.561600
4,13,2812.108794
4,13,2812.108794
4,14,2617.767271
4,15,2539.558737
4,15,2539.558737
4,15,2539.558737
4,15,2539.558737
4,16,2495.609623
4,16,2495.609623
4,16,2495.609623
4,16,2495.609623
4,19,2471.153157
4,19,2471.153157
4,19,2471.153157
4,19,2471.153157
4,20,2436.911269
4,20,2436.911269
4,21,2421.802406
4,21,2421.802406
4,22,2394.166846
4,22,2394.166846
4,25,2367.216721
4,27,2329.587658
4,29,2294.969736
4,29,2294.969736
4,29,2294.969736
4,29,2294.969736
5,9,3278.941696
5,9,3278.941696
5,9,3278.941696
5,9,3278.941696
5,10,2963.213330
5,10,2963.213330
5,10,2963.213330
5,11,2901.561600
5,11,2901.561600
5,13,2787.601825
5,14,2617.767271
5,14,2617.767271
5,15,2539.558737
5,15,2539.558737
5,15,2539.558737
5,15,2539.558737
5,15,2539.558737
5,16,2495.609623
5,16,2495.609623
5,16,2495.609623
5,16,2495.609623
5,16,2495.609623
5,19,2469.451607
5,20,2436.911269
5,20,2436.911269
5,20,2436.911269
5,21,2393.934681
5,25,2367.216721
5,25,2367.216721
5,27,2325.736510
5,29,2294.969736
5,29,2294.969736
5,29,2294.969736
5,29,2294.969736
5,29,2294.969736
6,9,3278.941696
6,9,3278.941696
6,9,3278.941696
6,9,3278.941696
6,9,3278.941696
6,10,2963.213330
6,10,2963.213330
6,10,2963.213330
6,10,2963.213330
6,11,2901.561600
6,11,2901.561600
6,11,2901.561600
6,13,2783.381318
6,14,2617.767271
6,14,2617.767271
6,14,2617.767271
6,15,2539.558737
6,15,2539.558737
6,15,2539.558737
6,15,2539.558737
6,15,2539.558737
6,15,2539.558737
6,16,2495.609623
6,16,2495.609623
6,16,2495.609623
6,16,2495.609623
6,16,2495.609623
6,16,2495.609623
6,17,2480.607984
6,19,2445.034185
6,20,2436.911269
6,20,2436.911269
6,20,2436.911269
6,20,2436.911269
6,21,2393.934681
6,21,2393.934681
6,22,2389.977391
6,25,2367.216721
6,25,2367.216721
6,25,2367.216721
6,27,2325.736510
6,27,2325.736510
6,29,2294.969736
6,29,2294.969736
6,29,2294.969736
6,29,2294.969736
6,29,2294.969736
6,29,2294.969736
7,9,3278.941696
7,9,3278.941696
7,9,3278.941696
7,9,3278.941696
7,9,3278.941696
7,9,3278.941696
7,10,2935.155053
7,11,2901.561600
7,11,2901.561600
7,11,2901.561600
7,11,2901.561600
7,13,2783.381318
7,13,2783.381318
7,14,2615.819278
7,15,2536.463436
7,16,2495.609623
7,16,2495.609623
7,16,2495.609623
7,16,2495.609623
7,16,2495.609623
7,16,2495.609623
7,16,2495.609623
7,17,2480.607984
7,17,2480.607984
7,18,2450.046953
7,19,2431.333859
7,20,2407.279487
7,21,2393.934681
7,21,2393.934681
7,21,2393.934681
7,22,2387.719781
7,23,2356.435395
7,27,2325.736510
7,27,2325.736510
7,27,2325.736510
7,29,2294.969736
7,29,2294.969736
7,29,2294.969736
7,29,2294.969736
7,29,2294.969736
7,29,2294.969736
7,29,2294.969736
8,9,3278.941696
8,9,3278.941696
8,9,3278.941696
8,9,3278.941696
8,9,3278.941696
8,9,3278.941696
8,9,3278.941696
8,10,2935.155053
8,10,2935.155053
8,11,2901.561600
8,11,2901.561600
8,11,2901.561600
8,11,2901.561600
8,11,2901.561600
8,13,2783.381318
8,13,2783.381318
8,13,2783.381318
8,14,2615.819278
8,14,2615.819278
8,15,2536.463436
8,15,2536.463436
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,16,2495.609623
8,17,2480.607984
8,17,2480.607984
