Iteration,NV,TOC
1,10,2461.369086
1,11,2381.748575
1,12,2212.265992
1,13,2118.384572
1,13,2118.384572
1,13,2118.384572
1,13,2118.384572
1,15,2100.212250
1,15,2100.212250
1,17,2043.312395
1,19,2037.946244
2,10,2461.369086
2,10,2461.369086
2,11,2381.748575
2,11,2381.748575
2,12,2212.265992
2,12,2212.265992
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,13,2118.384572
2,14,2101.102964
2,15,2100.212250
2,15,2100.212250
2,15,2100.212250
2,15,2100.212250
2,17,2032.187176
3,10,2461.369086
3,10,2461.369086
3,10,2461.369086
3,11,2381.748575
3,11,2381.748575
3,11,2381.748575
3,12,2212.265992
3,12,2212.265992
3,12,2212.265992
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,13,2118.384572
3,14,2101.102964
3,14,2101.102964
3,15,2100.212250
3,15,2100.212250
3,15,2100.212250
3,15,2100.212250
3,15,2100.212250
3,15,2100.212250
3,17,2032.187176
3,17,2032.187176
4,10,2461.369086
4,10,2461.369086
4,10,2461.369086
4,10,2461.369086
4,11,2381.748575
4,11,2381.748575
4,11,2381.748575
4,11,2381.748575
4,12,2212.265992
4,12,2212.265992
4,12,2212.265992
4,12,2212.265992
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,13,2118.384572
4,14,2101.102964
4,14,2101.102964
4,14,2101.102964
4,15,2044.083920
4,17,2032.187176
4,17,2032.187176
4,17,2032.187176
5,9,2614.060022
5,10,2461.369086
5,10,2461.369086
5,10,2461.369086
5,10,2461.369086
5,10,2461.369086
5,11,2263.029246
5,12,2212.265992
5,12,2212.265992
5,12,2212.265992
5,12,2212.265992
5,12,2212.265992
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,13,2118.384572
5,14,2101.102964
5,14,2101.102964
5,14,2101.102964
5,14,2101.102964
5,15,2044.083920
5,15,2044.083920
5,17,2031.254779
6,9,2614.060022
6,9,2614.060022
6,10,2461.369086
6,10,2461.369086
6,10,2461.369086
6,10,2461.369086
6,10,2461.369086
6,10,2461.369086
6,11,2263.029246
6,11,2263.029246
6,12,2212.265992
6,12,2212.265992
6,12,2212.265992
6,12,2212.265992
6,12,2212.265992
6,12,2212.265992
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
6,13,2118.384572
