Iteration,NV,TOC
1,75,25294.007057
1,76,25259.750382
1,77,25240.754238
1,85,24616.089220
1,94,24186.259377
1,99,24001.414901
1,109,23799.216597
2,75,25294.007057
2,75,25294.007057
2,76,25259.750382
2,76,25259.750382
2,77,25240.754238
2,77,25240.754238
2,85,24616.089220
2,85,24616.089220
2,94,24186.259377
2,94,24186.259377
2,99,24001.414901
2,99,24001.414901
2,107,23889.865315
2,109,23799.216597
2,109,23799.216597
3,73,26127.866782
3,75,25294.007057
3,75,25294.007057
3,75,25294.007057
3,76,25259.750382
3,76,25259.750382
3,76,25259.750382
3,77,25240.754238
3,77,25240.754238
3,77,25240.754238
3,81,25051.946410
3,85,24616.089220
3,85,24616.089220
3,85,24616.089220
3,94,24186.259377
3,94,24186.259377
3,94,24186.259377
3,99,24001.414901
3,99,24001.414901
3,99,24001.414901
3,107,23889.865315
3,107,23889.865315
3,109,23799.216597
3,109,23799.216597
3,109,23799.216597
3,140,23580.349835
4,72,26298.945916
4,73,26127.866782
4,73,26127.866782
4,74,26110.630850
4,75,25294.007057
4,75,25294.007057
4,75,25294.007057
4,75,25294.007057
4,76,25259.750382
4,76,25259.750382
4,76,25259.750382
4,76,25259.750382
4,77,25240.754238
4,77,25240.754238
4,77,25240.754238
4,77,25240.754238
4,81,25051.946410
4,81,25051.946410
4,85,24616.089220
4,85,24616.089220
4,85,24616.089220
4,85,24616.089220
4,91,24387.720850
4,94,24186.259377
4,94,24186.259377
4,94,24186.259377
4,94,24186.259377
4,99,24001.414901
4,99,24001.414901
4,99,24001.414901
4,99,24001.414901
4,107,23889.865315
4,107,23889.865315
4,107,23889.865315
4,108,23817.912382
4,109,23799.216597
4,109,23799.216597
4,109,23799.216597
4,109,23799.216597
4,134,23773.934226
4,140,23580.349835
4,140,23580.349835
5,72,26298.945916
5,72,26298.945916
5,73,26127.866782
5,73,26127.866782
5,73,26127.866782
5,74,25648.003191
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,75,25294.007057
5,76,25259.750382
5,76,25259.750382
5,76,25259.750382
5,76,25259.750382
5,76,25259.750382
5,77,25240.754238
5,77,25240.754238
5,77,25240.754238
5,77,25240.754238
5,77,25240.754238
5,78,25237.381858
5,81,25051.946410
5,81,25051.946410
5,81,25051.946410
5,85,24616.089220
5,85,24616.089220
5,85,24616.089220
5,85,24616.089220
5,85,24616.089220
5,91,24387.720850
5,91,24387.720850
5,94,24186.259377
5,94,24186.259377
5,94,24186.259377
5,94,24186.259377
5,94,24186.259377
5,99,24001.414901
5,99,24001.414901
5,99,24001.414901
5,99,24001.414901
5,99,24001.414901
5,107,23889.865315
5,107,23889.865315
5,107,23889.865315
5,107,23889.865315
5,108,23817.912382
5,108,23817.912382
5,109,23799.216597
5,109,23799.216597
5,109,23799.216597
5,109,23799.216597
5,109,23799.216597
5,134,23526.797133
6,72,26298.945916
6,72,26298.945916
6,72,26298.945916
6,73,26127.866782
6,73,26127.866782
6,73,26127.866782
6,73,26127.866782
6,74,25601.464259
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,75,25294.007057
6,76,25259.750382
6,76,25259.750382
6,76,25259.750382
6,76,25259.750382
6,76,25259.750382
6,76,25259.750382
6,77,25240.754238
6,77,25240.754238
6,77,25240.754238
6,77,25240.754238
6,77,25240.754238
6,77,25240.754238
6,78,25237.381858
6,78,25237.381858
6,81,25051.946410
6,81,25051.946410
6,81,25051.946410
6,81,25051.946410
6,83,24716.693623
6,85,24547.584957
6,91,24387.720850
6,91,24387.720850
6,91,24387.720850
6,94,24186.259377
6,94,24186.259377
6,94,24186.259377
6,94,24186.259377
6,94,24186.259377
6,94,24186.259377
6,98,24179.053567
6,99,24001.414901
6,99,24001.414901
6,99,24001.414901
6,99,24001.414901
6,99,24001.414901
6,99,24001.414901
6,107,23889.865315
6,107,23889.865315
6,107,23889.865315
6,107,23889.865315
6,107,23889.865315
6,108,23817.912382
6,108,23817.912382
6,108,23817.912382
6,109,23799.216597
6,109,23799.216597
6,109,23799.216597
6,109,23799.216597
6,109,23799.216597
6,109,23799.216597
6,115,23775.038014
6,117,23568.742042
6,129,23560.408028
6,134,23526.797133
6,134,23526.797133
7,72,26298.945916
7,72,26298.945916
7,72,26298.945916
7,72,26298.945916
7,73,26127.866782
7,73,26127.866782
7,73,26127.866782
7,73,26127.866782
7,73,26127.866782
7,74,25601.464259
7,74,25601.464259
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,75,25294.007057
7,76,25259.750382
7,76,25259.750382
7,76,25259.750382
7,76,25259.750382
7,76,25259.750382
7,76,25259.750382
7,76,25259.750382
7,77,25240.754238
7,77,25240.754238
7,77,25240.754238
7,77,25240.754238
7,77,25240.754238
7,77,25240.754238
7,77,25240.754238
7,78,25237.381858
7,78,25237.381858
7,78,25237.381858
7,81,24667.180135
7,85,24547.584957
7,85,24547.584957
7,87,24539.621795
7,91,24387.720850
7,91,24387.720850
7,91,24387.720850
7,91,24387.720850
7,94,24186.259377
7,94,24186.259377
7,94,24186.259377
7,94,24186.259377
7,94,24186.259377
7,94,24186.259377
