Individual{TOC=4862.820215668129, NV=7}
Individual{TOC=3272.6095725774535, NV=16}
Individual{TOC=3607.6807937183135, NV=11}
Individual{TOC=3376.2872188934384, NV=14}
Individual{TOC=3256.9657681882863, NV=17}
Individual{TOC=4585.022107455514, NV=8}
Individual{TOC=3196.777588166452, NV=22}
Individual{TOC=3207.691315057064, NV=21}
Individual{TOC=3587.261881185505, NV=12}
Individual{TOC=3457.6990075476638, NV=13}
Individual{TOC=4371.889620340732, NV=9}
Individual{TOC=3212.5801201064364, NV=20}
Individual{TOC=3313.1307147864472, NV=15}
Individual{TOC=3934.8550052304463, NV=10}
runTime = 41712.695124ms
