Individual{TOC=5972.400170841125, NV=32}
Individual{TOC=5938.794123939933, NV=34}
Individual{TOC=9240.24242344135, NV=18}
Individual{TOC=6572.97937467981, NV=25}
Individual{TOC=7843.290105181285, NV=21}
Individual{TOC=9352.915902545648, NV=17}
Individual{TOC=8302.839300897653, NV=19}
Individual{TOC=6490.055328631289, NV=26}
Individual{TOC=6013.761742183586, NV=30}
Individual{TOC=5839.725331141493, NV=43}
Individual{TOC=10407.144781519357, NV=16}
Individual{TOC=6248.08451100912, NV=28}
Individual{TOC=5621.423221768535, NV=49}
Individual{TOC=5865.4518002799305, NV=37}
runTime = 8786.089476ms
