Individual{TOC=25236.526298883247, NV=87}
Individual{TOC=25025.920455233525, NV=93}
Individual{TOC=28078.50118867775, NV=66}
Individual{TOC=23642.761849378978, NV=133}
Individual{TOC=25730.0236484126, NV=71}
Individual{TOC=24893.16114085835, NV=96}
Individual{TOC=30511.329263019332, NV=61}
Individual{TOC=25478.148757599938, NV=81}
Individual{TOC=25141.29248894743, NV=89}
Individual{TOC=24496.209335860596, NV=100}
Individual{TOC=24326.45911078013, NV=103}
Individual{TOC=23677.060534680502, NV=107}
runTime = 4698.657914ms
