Iteration,NV,TOC
1,29,4445.427801
1,30,4440.180347
2,29,4327.534750
3,29,4327.534750
4,28,4426.323375
4,29,4327.534750
5,28,4426.323375
5,29,4327.534750
6,28,4426.323375
6,29,4327.534750
7,28,4404.594776
7,29,4327.534750
8,28,4404.594776
8,29,4327.534750
9,27,4457.056497
9,28,4404.594776
9,29,4327.534750
10,27,4441.090818
10,28,4404.594776
10,29,4327.534750
11,27,4430.379136
11,28,4404.594776
11,29,4327.534750
12,27,4402.268219
12,28,4396.385876
12,29,4327.534750
13,27,4402.268219
13,28,4396.385876
13,29,4327.534750
14,26,4343.010747
14,29,4327.534750
15,26,4334.725671
15,29,4327.534750
16,26,4322.729156
16,28,4318.372037
17,26,4322.729156
17,28,4318.372037
18,26,4322.729156
18,26,4322.729156
18,28,4318.372037
19,26,4322.729156
19,26,4322.729156
19,28,4318.372037
20,26,4322.729156
20,26,4322.729156
20,26,4322.729156
20,28,4318.372037
21,26,4322.729156
21,26,4322.729156
21,26,4322.729156
21,28,4318.372037
22,26,4322.729156
22,26,4322.729156
22,26,4322.729156
22,28,4318.372037
23,26,4322.729156
23,26,4322.729156
23,26,4322.729156
23,28,4318.372037
24,26,4322.729156
24,26,4322.729156
24,26,4322.729156
24,26,4322.729156
24,28,4318.372037
25,26,4321.457195
25,28,4318.372037
26,26,4321.457195
26,28,4318.372037
27,26,4321.457195
27,28,4318.372037
28,26,4321.179978
28,28,4318.372037
29,26,4321.179978
29,28,4318.372037
30,26,4321.179978
30,28,4318.372037
31,26,4321.179978
31,28,4318.372037
32,26,4319.545256
32,28,4318.372037
33,26,4319.545256
33,28,4318.372037
34,26,4319.545256
34,28,4318.372037
35,26,4319.545256
35,28,4318.372037
36,26,4319.545256
36,28,4318.372037
37,26,4319.545256
37,28,4318.372037
38,26,4319.545256
38,28,4318.372037
39,26,4319.545256
39,28,4318.372037
40,26,4319.545256
40,28,4318.372037
41,26,4319.545256
41,28,4318.372037
42,26,4319.545256
42,28,4318.372037
43,26,4319.545256
43,28,4318.372037
44,26,4319.545256
44,28,4318.372037
45,26,4319.545256
45,28,4318.372037
46,26,4319.545256
46,28,4318.372037
47,26,4319.545256
47,28,4318.372037
48,26,4319.545256
48,28,4318.372037
49,26,4319.545256
49,28,4318.372037
50,26,4319.545256
50,28,4318.372037
51,26,4319.545256
51,28,4318.372037
52,26,4319.545256
52,28,4318.372037
53,26,4319.367800
53,28,4318.372037
54,26,4319.367800
54,28,4318.372037
55,26,4319.367800
55,28,4318.372037
56,26,4319.367800
56,28,4318.372037
57,26,4319.367800
57,28,4318.372037
58,26,4319.367800
58,28,4318.372037
59,26,4319.367800
59,28,4318.372037
