Iteration,NV,TOC
1,189,25567.068295
1,190,25173.479363
1,194,25139.300911
2,189,24981.874823
3,189,24981.874823
4,187,24960.338620
5,187,24960.338620
6,187,24885.498068
7,185,24589.660200
8,184,24709.621848
8,185,24589.660200
9,184,24709.621848
9,185,24589.660200
9,188,24549.444998
10,183,24667.117337
10,185,24535.727181
10,187,24475.797012
11,183,24666.942383
11,185,24535.727181
11,187,24475.797012
12,182,24564.421480
12,185,24535.727181
12,187,24475.797012
13,180,24467.847697
14,180,24467.847697
15,180,24462.760356
16,180,24462.760356
16,183,24446.791755
17,180,24462.760356
17,183,24446.791755
18,180,24462.760356
18,182,24445.471191
18,183,24431.212672
19,180,24462.760356
19,182,24442.495173
19,183,24431.212672
20,180,24462.760356
20,182,24442.495173
20,183,24431.212672
21,180,24462.760356
21,182,24442.495173
21,183,24365.938255
22,180,24462.760356
22,182,24442.495173
22,183,24365.938255
23,180,24462.760356
23,182,24442.495173
23,183,24365.938255
24,180,24462.760356
24,182,24442.495173
24,183,24365.938255
25,180,24462.760356
25,182,24442.495173
25,183,24365.938255
26,180,24462.760356
26,182,24356.346186
27,180,24462.760356
27,182,24356.346186
28,180,24462.760356
28,182,24356.346186
29,180,24462.760356
29,182,24353.602017
30,180,24462.760356
30,182,24353.602017
31,180,24462.760356
31,182,24353.602017
32,180,24462.760356
32,182,24353.602017
33,180,24462.760356
33,182,24353.602017
34,180,24462.760356
34,182,24353.602017
35,180,24462.760356
35,182,24353.602017
36,180,24462.760356
36,182,24353.602017
37,180,24462.760356
37,181,24379.385348
37,182,24353.602017
38,180,24462.760356
38,181,24293.559311
39,180,24462.760356
39,181,24293.559311
40,180,24462.760356
40,181,24293.559311
41,180,24462.760356
41,181,24293.559311
42,180,24462.760356
42,181,24293.559311
43,180,24462.760356
43,181,24293.559311
44,180,24462.760356
44,181,24293.559311
45,180,24462.760356
45,181,24293.559311
46,180,24462.760356
46,181,24293.559311
47,180,24462.760356
47,181,24293.559311
48,180,24462.760356
48,181,24293.559311
49,180,24462.760356
49,181,24293.559311
50,180,24462.760356
50,181,24293.559311
51,180,24462.760356
51,181,24293.559311
52,180,24462.760356
52,181,24293.559311
53,180,24462.760356
53,181,24293.559311
54,180,24462.760356
54,181,24293.559311
55,180,24462.760356
55,181,24293.559311
56,180,24462.760356
56,181,24293.559311
57,180,24462.760356
57,181,24293.559311
58,180,24462.760356
58,181,24293.559311
59,180,24462.760356
59,181,24293.559311
60,180,24462.760356
60,181,24293.559311
61,180,24462.760356
61,181,24293.559311
62,180,24462.760356
62,181,24293.559311
63,180,24462.760356
63,181,24293.559311
64,180,24462.760356
64,181,24293.559311
65,180,24462.760356
65,181,24293.559311
66,180,24462.760356
66,181,24293.559311
67,180,24462.760356
67,181,24293.559311
68,180,24462.760356
68,181,24293.559311
69,180,24462.760356
69,181,24293.559311
70,180,24462.760356
70,181,24293.559311
71,180,24462.760356
71,181,24293.559311
72,180,24462.760356
72,181,24293.559311
73,180,24462.760356
73,181,24293.559311
74,180,24462.760356
74,181,24293.559311
75,180,24462.760356
75,181,24293.559311
76,180,24462.760356
76,181,24293.559311
77,180,24462.760356
77,181,24293.559311
78,180,24462.760356
78,181,24293.559311
79,180,24462.760356
79,181,24293.559311
80,180,24462.760356
80,181,24293.559311
81,180,24462.760356
81,181,24293.559311
82,180,24462.760356
82,181,24293.559311
83,180,24462.760356
83,181,24293.559311
84,180,24462.760356
84,181,24293.559311
85,180,24462.760356
85,181,24293.559311
86,180,24462.760356
86,181,24293.559311
87,180,24462.760356
87,181,24293.559311
88,180,24462.760356
88,181,24293.559311
89,180,24462.760356
89,181,24293.559311
90,180,24462.760356
90,181,24293.559311
91,180,24462.760356
91,181,24293.559311
92,180,24462.760356
92,181,24293.559311
93,180,24462.760356
93,181,24293.559311
94,180,24462.760356
94,181,24293.559311
95,180,24462.760356
95,181,24293.559311
96,180,24462.760356
96,181,24293.559311
97,180,24462.760356
97,181,24293.559311
98,180,24462.760356
98,181,24293.559311
99,180,24462.760356
99,181,24293.559311
100,180,24462.760356
100,181,24293.559311
101,180,24462.760356
101,181,24293.559311
102,180,24462.760356
102,181,24293.559311
103,180,24462.760356
103,181,24293.559311
104,180,24462.760356
104,181,24293.559311
105,180,24462.760356
105,181,24293.559311
106,180,24462.760356
106,181,24293.559311
107,180,24462.760356
107,181,24293.559311
108,180,24462.760356
108,181,24293.559311
109,180,24462.760356
109,181,24293.559311
110,180,24462.760356
110,181,24293.559311
111,180,24462.760356
111,181,24293.559311
112,180,24462.760356
112,181,24293.559311
113,180,24462.760356
113,181,24293.559311
114,180,24462.760356
114,181,24293.559311
115,180,24462.760356
115,181,24293.559311
116,180,24462.760356
116,181,24293.559311
117,180,24462.760356
117,181,24293.559311
118,180,24462.760356
118,181,24293.559311
119,180,24462.760356
119,181,24293.559311
120,180,24462.760356
120,181,24293.559311
121,180,24462.760356
121,181,24293.559311
122,180,24462.760356
122,181,24293.559311
123,180,24462.760356
123,181,24293.559311
124,180,24462.760356
124,181,24293.559311
125,180,24462.760356
125,181,24293.559311
126,180,24462.760356
126,181,24293.559311
127,180,24462.760356
127,181,24293.559311
128,180,24462.760356
128,181,24293.559311
129,180,24462.760356
129,181,24293.559311
130,180,24462.760356
130,181,24293.559311
131,180,24462.760356
131,181,24293.559311
132,180,24462.760356
132,181,24293.559311
133,180,24462.760356
133,181,24293.559311
134,180,24462.760356
134,181,24293.559311
135,180,24462.760356
135,181,24293.559311
136,180,24462.760356
136,181,24293.559311
137,180,24462.760356
137,181,24293.559311
138,180,24462.760356
138,181,24293.559311
139,180,24462.760356
139,181,24293.559311
140,180,24462.760356
140,181,24293.559311
141,180,24462.760356
141,181,24293.559311
142,180,24462.760356
142,181,24293.559311
143,180,24462.760356
143,181,24293.559311
144,180,24462.760356
144,181,24293.559311
145,180,24462.760356
145,181,24293.559311
146,180,24462.760356
146,181,24293.559311
147,180,24462.760356
147,181,24293.559311
148,180,24462.760356
148,181,24293.559311
149,180,24462.760356
149,181,24293.559311
150,180,24462.760356
150,181,24293.559311
151,180,24462.760356
151,181,24293.559311
152,180,24462.760356
152,181,24293.559311
153,180,24462.760356
153,181,24293.559311
154,180,24462.760356
154,181,24293.559311
155,180,24462.760356
155,181,24293.559311
156,180,24462.760356
156,181,24293.559311
157,180,24462.760356
157,181,24293.559311
158,180,24462.760356
158,181,24293.559311
159,180,24462.760356
159,181,24293.559311
160,180,24462.760356
160,181,24293.559311
161,180,24462.760356
161,181,24293.559311
162,180,24462.760356
162,181,24293.559311
163,180,24462.760356
163,181,24293.559311
164,180,24462.760356
164,181,24293.559311
165,180,24462.760356
165,181,24293.559311
166,180,24462.760356
166,181,24293.559311
167,180,24462.760356
167,181,24293.559311
168,180,24462.760356
168,181,24293.559311
169,180,24462.760356
169,181,24293.559311
170,180,24462.760356
170,181,24293.559311
171,180,24462.760356
171,181,24293.559311
172,180,24462.760356
172,181,24293.559311
173,180,24462.760356
173,181,24293.559311
174,180,24462.760356
174,181,24293.559311
175,180,24462.760356
175,181,24293.559311
176,180,24462.760356
176,181,24293.559311
177,180,24462.760356
177,181,24293.559311
178,180,24462.760356
178,181,24293.559311
179,180,24462.760356
179,181,24293.559311
180,180,24462.760356
180,181,24293.559311
181,180,24462.760356
181,181,24293.559311
182,180,24462.760356
182,181,24293.559311
183,180,24462.760356
183,181,24293.559311
184,180,24462.760356
184,181,24293.559311
185,180,24462.760356
185,181,24293.559311
186,180,24462.760356
186,181,24293.559311
187,180,24462.760356
187,181,24293.559311
188,180,24462.760356
188,181,24293.559311
189,180,24462.760356
189,181,24293.559311
190,180,24462.760356
190,181,24293.559311
191,180,24462.760356
191,181,24293.559311
192,180,24462.760356
192,181,24293.559311
193,180,24462.760356
193,181,24293.559311
194,180,24462.760356
194,181,24293.559311
195,180,24462.760356
195,181,24293.559311
196,180,24462.760356
196,181,24293.559311
197,180,24462.760356
197,181,24293.559311
198,180,24462.760356
198,181,24293.559311
199,180,24462.760356
199,181,24293.559311
200,180,24462.760356
200,181,24293.559311
201,180,24462.760356
201,181,24293.559311
202,180,24462.760356
202,181,24293.559311
203,180,24462.760356
203,181,24293.559311
204,180,24462.760356
204,181,24293.559311
205,180,24462.760356
205,181,24293.559311
206,180,24462.760356
206,181,24293.559311
207,180,24462.760356
207,181,24293.559311
208,180,24462.760356
208,181,24293.559311
209,180,24462.760356
209,181,24293.559311
210,180,24462.760356
210,181,24293.559311
211,180,24462.760356
211,181,24293.559311
212,180,24462.760356
212,181,24293.559311
213,180,24462.760356
213,181,24293.559311
214,180,24462.760356
214,181,24293.559311
215,180,24462.760356
215,181,24293.559311
216,180,24462.760356
216,181,24293.559311
217,180,24462.760356
217,181,24293.559311
218,180,24462.760356
218,181,24293.559311
219,180,24462.760356
219,181,24293.559311
220,180,24462.760356
220,181,24293.559311
221,180,24462.760356
221,181,24293.559311
222,180,24462.760356
222,181,24293.559311
223,180,24462.760356
223,181,24293.559311
224,180,24462.760356
224,181,24293.559311
225,180,24462.760356
225,181,24293.559311
226,180,24462.760356
226,181,24293.559311
227,180,24462.760356
227,181,24293.559311
228,180,24462.760356
228,181,24293.559311
229,180,24462.760356
229,181,24293.559311
230,180,24462.760356
230,181,24293.559311
231,180,24462.760356
231,181,24293.559311
232,180,24462.760356
232,181,24293.559311
233,180,24462.760356
233,181,24293.559311
234,180,24462.760356
234,181,24293.559311
235,180,24462.760356
235,181,24293.559311
236,180,24462.760356
236,181,24293.559311
237,180,24462.760356
237,181,24293.559311
238,180,24462.760356
238,181,24293.559311
239,180,24462.760356
239,181,24293.559311
240,180,24462.760356
240,181,24293.559311
241,180,24462.760356
241,181,24293.559311
242,180,24462.760356
242,181,24293.559311
243,180,24462.760356
243,181,24293.559311
244,180,24462.760356
244,181,24293.559311
245,180,24462.760356
245,181,24293.559311
246,180,24462.760356
246,181,24293.559311
247,180,24462.760356
247,181,24293.559311
248,180,24462.760356
248,181,24293.559311
249,180,24462.760356
249,181,24293.559311
250,180,24462.760356
250,181,24293.559311
251,180,24462.760356
251,181,24293.559311
252,180,24462.760356
252,181,24293.559311
253,180,24462.760356
253,181,24293.559311
254,180,24462.760356
254,181,24293.559311
255,180,24462.760356
255,181,24293.559311
256,180,24462.760356
256,181,24293.559311
257,180,24462.760356
257,181,24293.559311
258,180,24462.760356
258,181,24293.559311
259,180,24462.760356
259,181,24293.559311
260,180,24462.760356
260,181,24293.559311
261,180,24462.760356
261,181,24293.559311
262,180,24462.760356
262,181,24293.559311
263,180,24462.760356
263,181,24293.559311
264,180,24462.760356
264,181,24293.559311
265,180,24462.760356
265,181,24293.559311
266,180,24462.760356
266,181,24293.559311
267,180,24462.760356
267,181,24293.559311
268,180,24462.760356
268,181,24293.559311
269,180,24462.760356
269,181,24293.559311
270,180,24462.760356
270,181,24293.559311
271,180,24462.760356
271,181,24293.559311
272,180,24462.760356
272,181,24293.559311
273,180,24462.760356
273,181,24293.559311
274,180,24462.760356
274,181,24293.559311
275,180,24462.760356
275,181,24293.559311
276,180,24462.760356
276,181,24293.559311
277,180,24462.760356
277,181,24293.559311
278,180,24462.760356
278,181,24293.559311
279,180,24462.760356
279,181,24293.559311
280,180,24462.760356
280,181,24293.559311
281,180,24462.760356
281,181,24293.559311
282,180,24462.760356
282,181,24293.559311
283,180,24462.760356
283,181,24293.559311
284,180,24462.760356
284,181,24293.559311
285,180,24462.760356
285,181,24293.559311
286,180,24462.760356
286,181,24293.559311
287,180,24462.760356
287,181,24293.559311
288,180,24462.760356
288,181,24293.559311
289,180,24462.760356
289,181,24293.559311
290,180,24462.760356
290,181,24293.559311
291,180,24462.760356
291,181,24293.559311
292,180,24462.760356
292,181,24293.559311
293,180,24462.760356
293,181,24293.559311
294,180,24462.760356
294,181,24293.559311
295,180,24462.760356
295,181,24293.559311
296,180,24462.760356
296,181,24293.559311
297,180,24462.760356
297,181,24293.559311
298,180,24462.760356
298,181,24293.559311
299,180,24462.760356
299,181,24293.559311
300,180,24462.760356
300,181,24293.559311
301,180,24462.760356
301,181,24293.559311
302,180,24462.760356
302,181,24293.559311
303,180,24462.760356
303,181,24293.559311
304,180,24462.760356
304,181,24293.559311
305,180,24462.760356
305,181,24293.559311
306,180,24462.760356
306,181,24293.559311
307,180,24462.760356
307,181,24293.559311
308,180,24462.760356
308,181,24293.559311
309,180,24462.760356
309,181,24293.559311
310,180,24462.760356
310,181,24293.559311
311,180,24462.760356
311,181,24293.559311
312,180,24462.760356
312,181,24293.559311
313,180,24462.760356
313,181,24293.559311
314,180,24462.760356
314,181,24293.559311
315,180,24462.760356
315,181,24293.559311
316,180,24462.760356
316,181,24293.559311
317,180,24462.760356
317,181,24293.559311
318,180,24462.760356
318,181,24293.559311
319,180,24462.760356
319,181,24293.559311
320,180,24462.760356
320,181,24293.559311
321,180,24462.760356
321,181,24293.559311
322,180,24462.760356
322,181,24293.559311
323,180,24462.760356
323,181,24293.559311
324,180,24462.760356
324,181,24293.559311
325,180,24462.760356
325,181,24293.559311
326,180,24462.760356
326,181,24293.559311
327,180,24462.760356
327,181,24293.559311
328,180,24462.760356
328,181,24293.559311
329,180,24462.760356
329,181,24293.559311
330,180,24462.760356
330,181,24293.559311
331,180,24462.760356
331,181,24293.559311
332,180,24462.760356
332,181,24293.559311
333,180,24462.760356
333,181,24293.559311
334,180,24462.760356
334,181,24293.559311
335,180,24462.760356
335,181,24293.559311
336,180,24462.760356
336,181,24293.559311
337,180,24462.760356
337,181,24293.559311
338,180,24462.760356
338,181,24293.559311
339,180,24462.760356
339,181,24293.559311
340,180,24462.760356
340,181,24293.559311
341,180,24462.760356
341,181,24293.559311
342,180,24462.760356
342,181,24293.559311
343,180,24462.760356
343,181,24293.559311
344,180,24462.760356
344,181,24293.559311
345,180,24462.760356
345,181,24293.559311
346,180,24462.760356
346,181,24293.559311
347,180,24462.760356
347,181,24293.559311
348,180,24462.760356
348,181,24293.559311
349,180,24462.760356
349,181,24293.559311
350,180,24462.760356
350,181,24293.559311
351,180,24462.760356
351,181,24293.559311
352,180,24462.760356
352,181,24293.559311
353,180,24462.760356
353,181,24293.559311
354,180,24462.760356
354,181,24293.559311
355,180,24462.760356
355,181,24293.559311
356,180,24462.760356
356,181,24293.559311
357,180,24462.760356
357,181,24293.559311
358,180,24462.760356
358,181,24293.559311
359,180,24462.760356
359,181,24293.559311
360,180,24462.760356
360,181,24293.559311
361,180,24462.760356
361,181,24293.559311
362,180,24462.760356
362,181,24293.559311
363,180,24462.760356
363,181,24293.559311
364,180,24462.760356
364,181,24293.559311
365,180,24462.760356
365,181,24293.559311
366,180,24462.760356
366,181,24293.559311
367,180,24462.760356
367,181,24293.559311
368,180,24462.760356
368,181,24293.559311
369,180,24462.760356
369,181,24293.559311
370,180,24462.760356
370,181,24293.559311
371,180,24462.760356
371,181,24293.559311
372,180,24462.760356
372,181,24293.559311
373,180,24462.760356
373,181,24293.559311
374,180,24462.760356
374,181,24293.559311
375,180,24462.760356
375,181,24293.559311
376,180,24462.760356
376,181,24293.559311
377,180,24462.760356
377,181,24293.559311
378,180,24462.760356
378,181,24293.559311
379,180,24462.760356
379,181,24293.559311
380,180,24462.760356
380,181,24293.559311
381,180,24462.760356
381,181,24293.559311
382,180,24462.760356
382,181,24293.559311
383,180,24462.760356
383,181,24293.559311
384,180,24462.760356
384,181,24293.559311
385,180,24462.760356
385,181,24293.559311
386,180,24462.760356
386,181,24293.559311
387,180,24462.760356
387,181,24293.559311
388,180,24462.760356
388,181,24293.559311
389,180,24462.760356
389,181,24293.559311
390,180,24462.760356
390,181,24293.559311
391,180,24462.760356
391,181,24293.559311
392,180,24462.760356
392,181,24293.559311
393,180,24462.760356
393,181,24293.559311
394,180,24462.760356
394,181,24293.559311
395,180,24462.760356
395,181,24293.559311
396,180,24462.760356
396,181,24293.559311
397,180,24462.760356
397,181,24293.559311
398,180,24462.760356
398,181,24293.559311
399,180,24462.760356
399,181,24293.559311
400,180,24462.760356
400,181,24293.559311
401,180,24462.760356
401,181,24293.559311
402,180,24462.760356
402,181,24293.559311
403,180,24462.760356
403,181,24293.559311
404,180,24462.760356
404,181,24293.559311
405,180,24462.760356
405,181,24293.559311
406,180,24462.760356
406,181,24293.559311
407,180,24462.760356
407,181,24293.559311
408,180,24462.760356
408,181,24293.559311
409,180,24462.760356
409,181,24293.559311
410,180,24462.760356
410,181,24293.559311
411,180,24462.760356
411,181,24293.559311
412,180,24462.760356
412,181,24293.559311
413,180,24462.760356
413,181,24293.559311
414,180,24462.760356
414,181,24293.559311
415,180,24462.760356
415,181,24293.559311
416,180,24462.760356
416,181,24293.559311
417,180,24462.760356
417,181,24293.559311
418,180,24462.760356
418,181,24293.559311
419,180,24462.760356
419,181,24293.559311
420,180,24462.760356
420,181,24293.559311
421,180,24462.760356
421,181,24293.559311
422,180,24462.760356
422,181,24293.559311
423,180,24462.760356
423,181,24293.559311
424,180,24462.760356
424,181,24293.559311
425,180,24462.760356
425,181,24293.559311
426,180,24462.760356
426,181,24293.559311
427,180,24462.760356
427,181,24293.559311
428,180,24462.760356
428,181,24293.559311
429,180,24462.760356
429,181,24293.559311
430,180,24462.760356
430,181,24293.559311
431,180,24462.760356
431,181,24293.559311
432,180,24462.760356
432,181,24293.559311
433,180,24462.760356
433,181,24293.559311
434,180,24462.760356
434,181,24293.559311
435,180,24462.760356
435,181,24293.559311
436,180,24462.760356
436,181,24293.559311
437,180,24462.760356
437,181,24293.559311
438,180,24462.760356
438,181,24293.559311
439,180,24462.760356
439,181,24293.559311
440,180,24462.760356
440,181,24293.559311
441,180,24462.760356
441,181,24293.559311
442,180,24462.760356
442,181,24293.559311
443,180,24462.760356
443,181,24293.559311
444,180,24462.760356
444,181,24293.559311
445,180,24462.760356
445,181,24293.559311
446,180,24462.760356
446,181,24293.559311
447,180,24462.760356
447,181,24293.559311
448,180,24462.760356
448,181,24293.559311
449,180,24462.760356
