Iteration,NV,TOC
1,33,2991.952712
1,35,2975.030869
2,33,2991.952712
2,34,2977.152540
2,35,2957.327999
3,33,2991.952712
3,34,2977.152540
3,35,2957.327999
4,32,2970.480970
4,35,2957.327999
5,32,2970.480970
5,35,2957.327999
6,32,2970.480970
6,34,2956.577030
7,32,2963.552971
7,34,2927.975232
8,32,2963.552971
8,34,2927.975232
9,32,2963.552971
9,34,2927.975232
10,32,2963.552971
10,34,2927.975232
11,31,2932.207746
11,34,2927.975232
12,31,2932.207746
12,33,2926.047329
12,35,2922.919781
13,31,2932.207746
13,32,2927.077838
13,33,2918.157178
13,34,2905.448833
14,31,2932.207746
14,32,2927.077838
14,33,2916.218036
14,34,2905.448833
15,31,2932.207746
15,32,2924.323434
15,33,2916.218036
15,34,2905.448833
15,35,2900.575878
16,31,2932.207746
16,32,2924.323434
16,33,2916.218036
16,34,2905.448833
16,35,2899.641629
17,31,2932.207746
17,32,2924.323434
17,33,2916.218036
17,34,2905.448833
17,35,2899.641629
18,31,2932.207746
18,32,2924.323434
18,33,2904.451200
18,34,2891.563013
19,31,2932.207746
19,32,2924.323434
19,33,2904.451200
19,34,2891.563013
20,31,2932.207746
20,32,2924.323434
20,33,2904.451200
20,34,2891.563013
21,31,2932.207746
21,32,2924.104748
21,33,2904.451200
21,34,2891.563013
22,31,2932.207746
22,32,2924.104748
22,33,2904.451200
22,34,2891.563013
23,31,2932.207746
23,32,2924.104748
23,33,2904.451200
23,34,2891.563013
24,31,2932.207746
24,32,2924.104748
24,33,2904.451200
24,34,2891.563013
25,31,2932.207746
25,32,2924.104748
25,33,2904.451200
25,34,2891.563013
26,30,2950.281734
26,31,2932.207746
26,32,2923.363719
26,33,2904.451200
26,34,2891.563013
27,30,2950.281734
27,31,2932.207746
27,32,2923.363719
27,33,2904.451200
27,34,2891.563013
28,30,2950.281734
28,31,2932.207746
28,32,2923.363719
28,33,2904.451200
28,34,2891.563013
29,30,2950.281734
29,31,2932.207746
29,32,2923.363719
29,33,2904.451200
29,34,2891.563013
30,30,2950.281734
30,31,2932.207746
30,32,2923.363719
30,33,2904.451200
30,34,2891.563013
31,30,2950.281734
31,31,2932.207746
31,32,2923.363719
31,33,2904.451200
31,34,2891.563013
32,30,2950.281734
32,31,2932.207746
32,32,2916.228641
32,33,2885.350830
33,30,2950.281734
33,31,2932.207746
33,32,2916.135690
33,33,2885.350830
34,30,2950.281734
34,31,2932.207746
34,32,2916.135690
34,33,2885.350830
35,30,2950.281734
35,31,2932.207746
35,32,2916.135690
35,33,2885.350830
36,30,2950.281734
36,31,2932.207746
36,32,2897.302398
36,33,2885.350830
37,30,2950.281734
37,31,2932.207746
37,32,2897.302398
37,33,2885.350830
38,30,2950.281734
38,31,2932.207746
38,32,2897.138903
38,33,2885.350830
39,30,2950.281734
39,31,2932.207746
39,32,2897.138903
39,33,2885.350830
40,29,2992.586886
40,30,2950.281734
40,31,2932.207746
40,32,2897.138903
40,33,2885.350830
41,29,2992.586886
41,30,2950.281734
41,31,2932.207746
41,32,2897.138903
41,33,2885.350830
42,29,2992.586886
42,30,2950.281734
42,31,2932.207746
42,32,2897.138903
42,33,2885.350830
43,29,2992.586886
43,30,2950.281734
43,31,2932.207746
43,32,2897.138903
43,33,2885.350830
44,29,2992.586886
44,30,2950.281734
44,31,2932.207746
44,32,2897.138903
44,33,2885.350830
45,29,2992.586886
45,30,2950.281734
45,31,2932.207746
45,32,2897.138903
45,33,2885.350830
46,29,2992.586886
46,30,2950.281734
46,31,2932.207746
46,32,2897.138903
46,33,2885.350830
47,29,2992.586886
47,30,2950.281734
47,31,2932.207746
47,32,2897.138903
47,33,2885.350830
48,29,2992.586886
48,30,2950.281734
48,31,2932.207746
48,32,2897.138903
48,33,2885.350830
49,29,2992.586886
49,30,2950.281734
49,31,2913.566513
49,32,2897.138903
49,33,2885.350830
50,29,2992.586886
50,30,2950.281734
50,31,2913.566513
50,32,2897.138903
50,33,2885.350830
51,29,2992.586886
51,30,2950.281734
51,31,2913.566513
51,32,2897.138903
51,33,2885.350830
52,29,2992.586886
52,30,2950.281734
52,31,2913.566513
52,32,2897.138903
52,33,2885.350830
53,29,2992.586886
53,30,2950.281734
53,31,2913.566513
53,32,2897.138903
53,33,2885.350830
54,29,2992.586886
54,30,2950.281734
54,31,2913.566513
54,32,2897.138903
54,33,2885.350830
55,29,2992.586886
55,30,2950.281734
55,31,2913.566513
55,32,2897.138903
55,33,2885.350830
56,29,2992.586886
56,30,2950.281734
56,31,2913.566513
56,32,2897.138903
56,33,2885.350830
57,29,2992.586886
57,30,2950.281734
57,31,2913.566513
57,32,2897.138903
57,33,2885.350830
58,29,2992.586886
58,30,2950.281734
58,31,2906.869342
58,32,2897.138903
58,33,2885.350830
59,29,2992.586886
59,30,2950.281734
59,31,2906.869342
59,32,2897.138903
59,33,2885.350830
60,29,2992.586886
60,30,2950.281734
60,31,2906.869342
60,32,2897.138903
60,33,2885.350830
61,29,2992.586886
61,30,2950.281734
61,31,2906.869342
61,32,2897.138903
61,33,2885.350830
62,29,2992.586886
62,30,2950.281734
62,31,2906.869342
62,32,2897.138903
62,33,2885.350830
63,29,2992.586886
63,30,2950.281734
63,31,2906.869342
63,32,2897.138903
63,33,2885.350830
64,29,2992.586886
64,30,2950.281734
64,31,2906.869342
64,32,2897.138903
64,33,2885.350830
65,29,2992.586886
65,30,2950.281734
65,31,2906.869342
65,32,2897.138903
65,33,2885.350830
66,29,2992.586886
66,30,2950.281734
66,31,2906.869342
66,32,2897.138903
66,33,2885.350830
67,29,2992.586886
67,30,2950.281734
67,31,2906.869342
67,32,2897.138903
67,33,2885.350830
68,29,2992.586886
68,30,2950.281734
68,31,2906.869342
68,32,2897.138903
68,33,2885.350830
69,29,2992.586886
69,30,2950.281734
69,31,2906.869342
69,32,2897.138903
69,33,2885.350830
70,29,2992.586886
70,30,2950.281734
70,31,2906.869342
70,32,2897.138903
70,33,2885.350830
71,29,2992.586886
71,30,2950.281734
71,31,2906.869342
71,32,2897.138903
71,33,2885.350830
72,29,2992.586886
72,30,2950.281734
72,31,2906.869342
72,32,2897.138903
72,33,2885.350830
73,29,2992.586886
73,30,2950.281734
73,31,2906.869342
73,32,2897.138903
73,33,2885.350830
74,29,2992.586886
74,30,2950.281734
74,31,2906.869342
74,32,2897.138903
74,33,2885.350830
75,29,2992.586886
75,30,2950.281734
75,31,2906.869342
75,32,2897.138903
75,33,2885.350830
76,29,2992.586886
76,30,2950.281734
76,31,2906.869342
76,32,2897.138903
76,33,2885.350830
77,29,2992.586886
77,30,2950.281734
77,31,2906.869342
77,32,2897.138903
77,33,2885.350830
78,29,2992.586886
78,30,2950.281734
78,31,2906.869342
78,32,2897.138903
78,33,2885.350830
79,29,2992.586886
79,30,2950.281734
79,31,2906.869342
79,32,2897.138903
79,33,2885.350830
80,29,2992.586886
80,30,2950.281734
80,31,2906.869342
80,32,2897.138903
80,33,2885.350830
81,29,2992.586886
81,30,2950.281734
81,31,2906.869342
81,32,2897.138903
81,33,2885.350830
82,29,2992.586886
82,30,2950.281734
82,31,2906.869342
82,32,2897.138903
82,33,2885.350830
83,29,2992.586886
83,30,2950.281734
83,31,2906.869342
83,32,2897.138903
83,33,2885.350830
84,29,2992.586886
84,30,2950.281734
84,31,2906.869342
84,32,2897.138903
84,33,2885.350830
85,29,2992.586886
85,30,2950.281734
85,31,2906.869342
85,32,2897.138903
85,33,2885.350830
86,29,2992.586886
86,30,2950.281734
86,31,2906.869342
86,32,2897.138903
86,33,2885.350830
87,29,2992.586886
87,30,2950.281734
87,31,2906.869342
87,32,2897.138903
87,33,2885.350830
88,29,2992.586886
88,30,2950.281734
88,31,2906.869342
88,32,2897.138903
88,33,2885.350830
89,29,2992.586886
89,30,2950.281734
89,31,2906.869342
89,32,2897.138903
89,33,2885.350830
90,29,2992.586886
90,30,2950.281734
90,31,2906.869342
90,32,2897.138903
90,33,2885.350830
91,29,2992.586886
91,30,2950.281734
91,31,2906.869342
91,32,2897.138903
91,33,2885.350830
92,29,2992.586886
92,30,2950.281734
92,31,2906.869342
92,32,2897.138903
92,33,2885.350830
93,29,2981.234985
93,30,2950.281734
93,31,2906.869342
93,32,2897.138903
93,33,2885.350830
94,29,2981.234985
94,30,2950.281734
94,31,2906.869342
94,32,2897.138903
94,33,2885.350830
95,29,2981.234985
95,30,2950.281734
95,31,2906.869342
95,32,2897.138903
95,33,2885.350830
96,29,2981.234985
96,30,2950.281734
96,31,2906.869342
96,32,2897.138903
96,33,2885.350830
97,29,2981.234985
97,30,2950.281734
97,31,2906.869342
97,32,2897.138903
97,33,2885.350830
98,29,2981.234985
98,30,2950.281734
98,31,2906.869342
98,32,2897.138903
98,33,2885.350830
99,29,2981.234985
99,30,2950.281734
99,31,2906.869342
99,32,2897.138903
99,33,2885.350830
100,29,2981.234985
100,30,2950.281734
100,31,2906.869342
100,32,2897.138903
100,33,2885.350830
101,29,2981.234985
101,30,2950.281734
101,31,2906.869342
101,32,2897.138903
101,33,2885.350830
102,29,2981.234985
102,30,2950.281734
102,31,2906.869342
102,32,2897.138903
102,33,2885.350830
103,29,2981.234985
103,30,2950.281734
103,31,2906.869342
103,32,2897.138903
103,33,2885.350830
104,29,2981.234985
104,30,2950.281734
104,31,2906.869342
104,32,2897.138903
104,33,2885.350830
105,29,2981.234985
105,30,2950.281734
105,31,2906.869342
105,32,2897.138903
105,33,2885.350830
106,29,2981.234985
106,30,2950.281734
106,31,2906.869342
106,32,2897.138903
106,33,2885.350830
107,29,2981.234985
107,30,2937.097109
107,31,2906.869342
107,32,2897.138903
107,33,2885.350830
108,29,2981.234985
108,30,2937.097109
108,31,2906.869342
108,32,2897.138903
108,33,2885.350830
109,29,2981.234985
109,30,2937.097109
109,31,2906.869342
109,32,2897.138903
109,33,2885.350830
110,29,2981.234985
110,30,2937.097109
110,31,2906.869342
110,32,2897.138903
110,33,2885.350830
111,29,2981.234985
111,30,2937.097109
111,31,2906.869342
111,32,2897.138903
111,33,2885.350830
112,29,2981.234985
112,30,2937.097109
112,31,2906.869342
112,32,2897.138903
112,33,2885.350830
113,29,2981.234985
113,30,2937.097109
113,31,2906.869342
113,32,2897.138903
113,33,2885.350830
114,29,2981.234985
114,30,2937.097109
114,31,2906.869342
114,32,2897.138903
114,33,2885.350830
115,29,2981.234985
115,30,2937.097109
115,31,2906.869342
115,32,2897.138903
115,33,2885.350830
116,29,2981.234985
116,30,2937.097109
116,31,2906.869342
116,32,2897.138903
116,33,2885.350830
117,29,2981.234985
117,30,2937.097109
117,31,2906.869342
117,32,2897.138903
117,33,2885.350830
118,29,2981.234985
118,30,2937.097109
118,31,2906.869342
118,32,2897.138903
118,33,2885.350830
119,29,2981.234985
119,30,2937.097109
119,31,2906.869342
119,32,2897.138903
119,33,2885.350830
120,29,2981.234985
120,30,2937.097109
120,31,2906.869342
120,32,2897.138903
120,33,2885.350830
121,29,2981.234985
121,30,2937.097109
121,31,2906.869342
121,32,2897.138903
121,33,2885.350830
122,29,2981.234985
122,30,2937.097109
122,31,2906.869342
122,32,2897.138903
122,33,2885.350830
123,29,2981.234985
123,30,2937.097109
123,31,2906.869342
123,32,2897.138903
123,33,2885.350830
124,29,2981.234985
124,30,2937.097109
124,31,2906.869342
124,32,2897.138903
124,33,2885.350830
125,29,2981.234985
125,30,2937.097109
125,31,2906.869342
125,32,2897.138903
125,33,2885.350830
126,29,2981.234985
126,30,2937.097109
126,31,2906.869342
126,32,2897.138903
126,33,2885.350830
127,29,2981.234985
127,30,2937.097109
127,31,2906.869342
127,32,2897.138903
127,33,2885.350830
128,29,2981.234985
128,30,2937.097109
128,31,2906.869342
128,32,2897.138903
128,33,2885.350830
129,29,2981.234985
129,30,2937.097109
129,31,2906.869342
129,32,2897.138903
129,33,2885.350830
130,29,2981.234985
130,30,2937.097109
130,31,2906.869342
130,32,2897.138903
130,33,2885.350830
131,29,2981.234985
131,30,2937.097109
131,31,2906.869342
131,32,2897.138903
131,33,2885.350830
132,29,2981.234985
132,30,2937.097109
132,31,2906.869342
132,32,2897.138903
132,33,2885.350830
133,29,2981.234985
133,30,2937.097109
133,31,2906.869342
133,32,2897.138903
133,33,2885.350830
134,29,2981.234985
134,30,2937.097109
134,31,2906.869342
134,32,2897.138903
134,33,2885.350830
135,29,2981.234985
135,30,2937.097109
135,31,2906.869342
135,32,2897.138903
135,33,2885.350830
136,29,2981.234985
136,30,2937.097109
136,31,2906.869342
136,32,2897.138903
136,33,2885.350830
137,29,2981.234985
137,30,2937.097109
137,31,2906.869342
137,32,2897.138903
137,33,2885.350830
138,29,2981.234985
138,30,2937.097109
138,31,2906.869342
138,32,2897.138903
138,33,2885.350830
139,29,2981.234985
139,30,2937.097109
139,31,2906.869342
139,32,2897.138903
139,33,2885.350830
140,29,2981.234985
140,30,2937.097109
140,31,2906.869342
140,32,2897.138903
140,33,2885.350830
141,29,2981.234985
141,30,2937.097109
141,31,2906.869342
141,32,2897.138903
141,33,2885.350830
142,29,2981.234985
142,30,2937.097109
142,31,2906.869342
142,32,2897.138903
142,33,2885.350830
