Iteration,NV,TOC
1,17,2571.692691
1,18,2425.078041
2,17,2394.748214
3,15,2413.720669
3,17,2394.748214
4,15,2413.720669
4,17,2394.748214
5,15,2413.720669
5,17,2394.748214
5,19,2389.861859
6,14,2379.978652
6,15,2357.356211
6,16,2322.663493
7,14,2332.209370
7,15,2318.785947
8,14,2330.792039
8,15,2318.785947
9,14,2330.792039
9,14,2330.792039
9,15,2315.591981
10,14,2328.781593
10,15,2315.591981
11,14,2328.781593
11,15,2311.554851
12,14,2325.239214
12,15,2309.928426
13,13,2295.499479
14,13,2291.822961
15,13,2291.822961
16,13,2291.822961
17,13,2291.822961
17,13,2291.822961
17,13,2291.822961
18,13,2291.822961
18,13,2291.822961
18,13,2291.822961
18,14,2274.996479
19,13,2291.822961
19,13,2291.822961
19,13,2291.822961
19,14,2274.996479
20,13,2291.822961
20,13,2291.822961
20,13,2291.822961
20,14,2274.996479
21,13,2291.822961
21,13,2291.822961
21,13,2291.822961
21,14,2274.996479
22,13,2291.822961
22,13,2291.822961
22,13,2291.822961
22,14,2274.996479
23,13,2291.822961
23,13,2291.822961
23,13,2291.822961
23,14,2274.996479
24,13,2291.822961
24,13,2291.822961
24,13,2291.822961
24,14,2274.996479
25,13,2291.822961
25,13,2291.822961
25,13,2291.822961
25,14,2274.996479
26,13,2291.822961
26,13,2291.822961
26,13,2291.822961
26,14,2274.996479
27,13,2291.822961
27,13,2291.822961
27,13,2291.822961
27,14,2274.996479
27,14,2274.996479
28,13,2291.822961
28,13,2291.822961
28,13,2291.822961
28,14,2274.996479
28,14,2274.996479
29,13,2291.822961
29,13,2291.822961
29,13,2291.822961
29,14,2274.996479
29,14,2274.996479
30,13,2291.822961
30,13,2291.822961
30,13,2291.822961
30,14,2274.996479
30,14,2274.996479
31,13,2291.822961
31,13,2291.822961
31,13,2291.822961
31,14,2274.996479
31,14,2274.996479
32,13,2291.822961
32,13,2291.822961
32,13,2291.822961
32,14,2274.996479
32,14,2274.996479
33,13,2291.822961
33,13,2291.822961
33,13,2291.822961
33,14,2274.996479
33,14,2274.996479
34,13,2291.822961
34,13,2291.822961
34,13,2291.822961
34,14,2274.996479
34,14,2274.996479
35,13,2291.822961
35,13,2291.822961
35,13,2291.822961
35,14,2274.996479
35,14,2274.996479
36,13,2291.822961
36,13,2291.822961
36,13,2291.822961
36,14,2274.996479
36,14,2274.996479
37,13,2291.822961
37,13,2291.822961
37,13,2291.822961
37,14,2274.996479
37,14,2274.996479
38,13,2291.822961
38,13,2291.822961
38,13,2291.822961
38,14,2274.996479
38,14,2274.996479
39,13,2291.822961
39,13,2291.822961
39,13,2291.822961
39,14,2274.996479
39,14,2274.996479
