Individual{TOC=3864.0287755108407, NV=8}
Individual{TOC=3610.292268061067, NV=9}
Individual{TOC=3085.038362187374, NV=10}
Individual{TOC=3012.5778413805942, NV=11}
Individual{TOC=2948.9500409803372, NV=12}
Individual{TOC=2803.2137421000934, NV=14}
Individual{TOC=2753.599183048566, NV=16}
Individual{TOC=2746.8922770108616, NV=17}
Individual{TOC=2700.509017521794, NV=20}
Individual{TOC=2578.3531195756655, NV=22}
Individual{TOC=2563.4038591973745, NV=27}
Individual{TOC=2553.524724078503, NV=31}
runTime = 49777.661014ms
