Individual{TOC=3210.77525498472, NV=12}
Individual{TOC=3070.550017563395, NV=13}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2946.801593388822, NV=14}
Individual{TOC=2882.194293750138, NV=15}
Individual{TOC=2799.89318699751, NV=16}
Individual{TOC=2740.6337929963042, NV=18}
Individual{TOC=2660.5171533591306, NV=20}
Individual{TOC=2643.413601931552, NV=21}
Individual{TOC=2631.8384938492904, NV=22}
Individual{TOC=2621.5198289966206, NV=24}
runTime = 27315.438277ms
