Individual{TOC=3385.9835597886204, NV=8}
Individual{TOC=3271.6650398076604, NV=9}
Individual{TOC=3205.1561732438386, NV=10}
Individual{TOC=3129.112232434337, NV=11}
Individual{TOC=3120.7020599899, NV=12}
Individual{TOC=3069.164991161534, NV=13}
Individual{TOC=2971.606309828084, NV=14}
Individual{TOC=2955.517911335544, NV=18}
Individual{TOC=2952.430721615493, NV=19}
Individual{TOC=2854.932026503978, NV=21}
Individual{TOC=2788.9024025810863, NV=27}
Individual{TOC=2770.491271439495, NV=28}
runTime = 40251.496624ms
