Generation,NV,TOC
1,54,21921.891030
1,58,21336.216347
1,62,20801.760079
1,69,19942.890731
1,77,19359.687876
1,105,19176.325182
1,112,19025.125203
1,117,19000.992199
1,128,17996.950796
2,54,21921.891030
2,58,21336.216347
2,62,20801.760079
2,69,19942.890731
2,73,19361.991675
2,77,19359.687876
2,104,19307.620784
2,105,19176.325182
2,110,18891.974829
2,114,18861.540871
2,116,18662.968724
2,124,18028.446900
2,128,17996.950796
2,134,17749.742114
3,54,21921.891030
3,58,21336.216347
3,61,21283.899633
3,62,20801.760079
3,64,20774.625555
3,67,20674.586441
3,69,19942.890731
3,73,19361.991675
3,77,19359.687876
3,79,19047.242411
3,85,18582.566981
3,92,18384.197237
3,107,18257.339221
3,123,18084.721722
3,124,18028.446900
3,128,17996.950796
3,129,17975.120623
3,131,17667.793035
4,54,21921.891030
4,58,21336.216347
4,61,21283.899633
4,62,20801.760079
4,64,20774.625555
4,65,20491.502827
4,69,19709.846465
4,70,19124.666437
4,79,19047.242411
4,85,18582.566981
4,92,18384.197237
4,95,18243.971310
4,110,17602.270878
5,52,22763.155448
5,54,21921.891030
5,57,21272.147823
5,61,20342.066344
5,69,19709.846465
5,70,19124.666437
5,79,19047.242411
5,85,18582.566981
5,92,18384.197237
5,95,18243.971310
5,99,18100.658769
5,107,17927.099846
5,110,17602.270878
5,123,17464.975014
6,52,22763.155448
6,54,21921.891030
6,57,21272.147823
6,59,20810.687664
6,60,20707.522819
6,61,20342.066344
6,69,19709.846465
6,70,19124.666437
6,79,19047.242411
6,85,18582.566981
6,91,18544.333172
6,92,18384.197237
6,94,18353.048516
6,95,18243.971310
6,99,18100.658769
6,101,17763.876195
6,105,17668.950129
6,110,17489.071607
6,123,17464.975014
7,52,22763.155448
7,53,21995.876471
7,54,21137.221081
7,57,21064.274107
7,59,20750.208203
7,60,20707.522819
7,61,20342.066344
7,64,19615.726343
7,66,19488.328122
7,70,19124.666437
7,79,19047.242411
7,85,18582.566981
7,89,18534.367739
7,92,18384.197237
7,94,18353.048516
7,95,18243.971310
7,99,18100.658769
7,101,17763.876195
7,105,17668.950129
7,106,17423.740589
