Generation,NV,TOC
1,62,29580.355489
1,74,27610.119424
1,78,26678.486170
1,90,26038.128130
1,132,25955.236599
1,136,25847.389836
1,137,25612.552096
1,145,25501.269174
2,62,28311.964336
2,63,27534.541327
2,65,27053.049805
2,78,26678.486170
2,84,26555.830005
2,90,26038.128130
2,119,25725.201711
2,125,25454.684358
2,142,25104.872144
3,62,27877.590031
3,63,27432.815238
3,65,27053.049805
3,78,26678.486170
3,84,26555.830005
3,90,25756.128239
3,106,25061.828585
3,133,25061.615804
3,134,24807.980672
3,140,24623.994680
3,146,24317.243436
4,61,27958.091136
4,62,27877.590031
4,63,27432.815238
4,65,27053.049805
4,78,26678.486170
4,79,26338.162934
4,86,26151.197253
4,90,25546.523524
4,95,25314.203325
4,106,25061.828585
4,133,25061.615804
4,134,24807.980672
4,140,24623.994680
4,146,24317.243436
5,60,28107.887366
5,61,27502.388125
5,63,26881.704389
5,71,26323.090487
5,75,25605.653084
5,81,25072.231743
5,93,24960.634716
5,104,24263.366233
5,119,24111.998997
5,132,23673.217967
6,60,28107.887366
6,61,27017.549080
6,62,26669.009130
6,65,26315.985950
6,70,26213.253325
6,73,25301.852029
6,77,24935.926350
6,79,24792.228964
6,85,24573.387459
6,98,24573.193230
6,103,24544.613510
6,104,24263.366233
6,116,24056.721694
6,121,23942.153623
6,132,23673.217967
6,135,23564.938931
7,60,28107.887366
7,61,27017.549080
7,62,26669.009130
7,65,26315.985950
7,67,25995.379799
7,69,25853.493533
7,70,25655.641030
7,72,25251.648363
7,77,24935.926350
7,78,24755.419698
7,85,24573.387459
7,86,24485.422063
7,98,24132.775654
7,106,23872.381603
7,107,23785.792839
7,112,23740.153316
7,132,23673.217967
7,135,23564.938931
8,57,28530.597131
8,59,28070.127662
8,60,28065.847488
8,61,26119.140139
8,62,25887.789211
8,63,25603.249176
8,66,25238.207764
8,74,24901.664940
8,77,24331.174060
8,95,23734.357864
8,119,23607.182010
8,127,23528.074282
9,57,28530.597131
9,58,28062.066460
9,60,26338.446070
9,61,26119.140139
9,62,25887.789211
9,63,25603.249176
9,65,25238.915217
9,66,25238.207764
9,68,25022.973628
9,71,24683.140970
9,77,24331.174060
9,91,24022.843438
9,93,23791.484803
9,95,23734.357864
9,114,23629.749828
9,119,23607.182010
9,127,23528.074282
9,129,23413.645811
9,133,23181.985735
10,57,27540.090621
10,60,25391.333089
10,64,25215.800443
10,66,25116.819258
10,67,24974.212628
10,68,24786.308512
10,71,24683.140970
10,73,24369.059505
10,75,23475.685616
10,95,23307.530093
10,99,23189.490435
10,103,23060.192604
10,118,22748.428473
11,55,29022.218163
11,57,27540.090621
11,59,24947.510782
11,65,24644.867340
11,69,24552.707515
11,73,24369.059505
11,75,23475.685616
11,83,23273.352383
11,87,23086.058856
11,89,23045.772700
11,97,23037.806581
11,98,22782.170670
11,104,22521.537376
12,55,29022.218163
12,57,27540.090621
12,59,24708.523585
12,65,24644.867340
12,66,23901.168066
12,68,23894.263594
12,69,23784.026460
12,75,23475.685616
12,76,23338.188140
12,83,23235.273808
12,87,23086.058856
12,89,23045.772700
12,95,22500.124398
12,98,22301.361713
12,116,22279.236428
13,55,29022.218163
13,57,27540.090621
13,58,27244.451684
13,59,24708.523585
13,63,24634.560896
13,66,23901.168066
13,68,23825.734101
13,69,23784.026460
13,71,23353.279787
13,76,23338.188140
13,77,23328.589776
13,83,23235.273808
13,85,22767.874826
13,93,22756.942533
13,95,22500.124398
13,98,22301.361713
13,102,22291.590178
13,116,22279.236428
14,55,29022.218163
14,57,27540.090621
14,58,25692.806211
14,59,24708.523585
14,63,24282.350297
14,65,23747.290590
14,69,23524.553027
14,71,23353.279787
14,74,23296.198670
14,76,23120.184657
14,80,22922.025560
14,85,22767.874826
14,93,22756.942533
14,95,22500.124398
14,98,22301.361713
14,102,21983.308620
14,110,21978.029348
15,55,29022.218163
15,57,27540.090621
15,58,25563.849816
15,59,24708.523585
15,60,24692.043097
15,63,24282.350297
15,65,23747.290590
15,69,23524.553027
15,71,23353.279787
15,74,23087.697305
15,75,22853.411893
15,79,22781.119492
15,83,22605.132677
15,90,22034.933752
15,99,21862.963510
15,102,21854.143683
15,109,21842.966058
16,55,29022.218163
16,57,25720.952853
16,58,24799.160040
16,59,24306.957340
16,63,24072.150438
16,65,23283.096267
16,74,23087.697305
16,75,22853.411893
16,79,22781.119492
16,83,22605.132677
16,90,22034.933752
16,99,21862.963510
16,102,21854.143683
16,109,21842.966058
16,113,21575.653145
17,55,29022.218163
17,57,25720.952853
17,58,23686.936269
17,65,23283.096267
17,68,22963.344290
17,71,22929.188399
17,74,22781.864495
17,77,22415.446813
17,78,22385.987810
17,82,22243.478302
17,89,21910.055412
17,99,21816.977234
17,102,21781.024984
17,111,21557.389924
18,55,29022.218163
18,56,25886.957408
18,57,25720.952853
18,58,23686.936269
18,61,23421.374809
18,65,23283.096267
18,67,23187.747495
18,68,22963.344290
18,71,22570.733190
18,77,22415.446813
18,78,22385.987810
18,82,22243.478302
18,89,21910.055412
18,99,21816.977234
18,102,21781.024984
18,111,21557.389924
19,55,29022.218163
19,56,25886.957408
19,57,25301.239724
19,58,23686.936269
19,60,23348.587782
19,62,23327.623261
19,65,23283.096267
19,67,22811.686607
19,71,22570.733190
19,74,22076.584848
19,89,21910.055412
19,99,21816.977234
19,102,21781.024984
19,105,21767.821865
19,111,21557.389924
20,55,29022.218163
20,56,24488.904016
20,57,24269.066952
20,58,23686.936269
20,60,23348.587782
20,62,23287.455619
20,63,23244.402572
20,64,22700.650138
20,68,22085.072814
20,74,22076.584848
20,85,21969.918112
20,89,21910.055412
20,94,21592.254817
20,111,21557.389924
21,55,25785.798778
21,56,24488.904016
21,57,24269.066952
21,58,23686.936269
21,60,23348.587782
21,62,23127.803977
21,64,22700.650138
21,68,22085.072814
21,74,22076.584848
21,85,21969.918112
21,89,21910.055412
21,94,21592.254817
21,96,21588.405249
21,102,21487.881845
22,54,25799.065271
22,55,25785.798778
22,56,24488.904016
22,57,24269.066952
22,58,23686.936269
22,59,23592.153947
22,60,23348.587782
22,62,22877.297067
22,64,22528.834215
22,68,22085.072814
22,74,22076.584848
22,84,21636.878756
22,94,21415.018452
23,54,25799.065271
23,55,25785.798778
23,56,24488.904016
23,57,24269.066952
23,58,23686.936269
23,59,23592.153947
23,60,23348.587782
23,62,22877.297067
23,64,22528.834215
23,67,22442.744523
23,68,22085.072814
23,74,22076.584848
23,79,21949.589846
23,82,21842.964823
23,84,21636.878756
23,86,21413.169438
23,100,21411.090775
24,54,25799.065271
24,55,24813.621339
24,56,23347.287038
24,60,23202.619811
24,61,23049.457373
24,62,22877.297067
24,64,22528.834215
24,66,22335.324099
24,68,21773.122226
24,73,21658.208528
24,81,21474.990014
24,86,21237.564703
24,91,21112.736249
24,94,21079.298300
25,54,25799.065271
25,55,24482.891884
25,56,23023.778529
25,62,22877.297067
25,63,22770.802481
25,64,22528.834215
25,66,22335.324099
25,68,21773.122226
25,73,21658.208528
25,80,21568.088989
25,81,21474.990014
25,85,21441.772862
25,86,21237.564703
25,91,21112.736249
25,94,21079.298300
25,97,20996.663457
26,54,24497.883139
26,55,24482.891884
26,56,23023.778529
26,57,23010.865530
26,59,22912.857802
26,60,22842.809751
26,63,22528.580740
26,66,22335.324099
26,68,21580.987702
26,71,21429.803517
26,80,21317.892044
26,85,20861.096664
26,98,20837.264967
27,54,24497.883139
27,55,24462.024149
27,56,22880.188050
27,57,22849.187228
27,58,22836.547570
27,61,22775.059081
27,62,22559.953151
27,63,22528.580740
27,66,22335.324099
27,67,22304.424261
27,68,21580.987702
27,71,21429.803517
27,80,21317.892044
27,83,21263.201058
27,85,20861.096664
27,98,20837.264967
28,53,25246.949321
28,54,24497.883139
28,55,22616.541464
28,56,22163.948395
28,68,21580.987702
28,71,21279.366981
28,74,21248.063830
28,80,20574.528131
29,52,25229.434697
29,54,24497.883139
29,55,22616.541464
29,56,22163.948395
29,61,22130.697876
29,64,21934.603066
29,68,21580.987702
29,71,21279.366981
29,74,21248.063830
29,78,20819.116955
29,80,20574.528131
29,94,20534.164534
30,52,25229.434697
30,54,22373.065125
30,56,22000.485566
30,64,21790.229637
30,65,21572.756765
30,67,21512.651221
30,70,21196.176939
30,73,21033.251806
30,78,20398.174294
30,93,20240.945354
30,94,19978.909661
31,52,25229.434697
31,54,22373.065125
31,56,21968.077099
31,58,21368.728624
31,70,21196.176939
31,73,21033.251806
31,74,20599.200296
31,78,20398.174294
31,88,20267.381809
31,91,20207.160457
31,93,20080.725829
31,94,19978.909661
32,52,25229.434697
32,53,24100.568724
32,54,22100.539233
32,56,21463.885634
32,57,21284.307124
