Generation,NV,TOC
1,48,19717.427764
1,49,18571.912331
1,50,16560.673064
1,60,14969.631222
1,63,14809.176568
1,68,14648.662314
1,72,14222.020609
1,74,14170.210912
1,75,14135.575484
1,76,14117.412298
1,89,13993.422637
1,93,13865.162862
1,94,13864.132776
1,109,13760.686974
2,48,19717.427764
2,49,18571.912331
2,50,16560.673064
2,60,14969.631222
2,61,14365.579758
2,70,14347.509694
2,72,14222.020609
2,74,14170.210912
2,75,14135.575484
2,76,14117.412298
2,79,14069.482915
2,80,14060.350077
2,82,13897.047023
2,92,13827.202708
2,94,13612.612729
3,46,22631.372717
3,47,18168.475692
3,50,16560.673064
3,55,16390.291787
3,58,15166.357603
3,60,14565.571693
3,61,14365.579758
3,69,14136.476703
3,75,14135.575484
3,76,14117.412298
3,78,13940.430590
3,82,13897.047023
3,91,13832.144117
3,92,13827.202708
3,94,13612.612729
3,107,13612.565785
4,46,16304.328092
4,54,15791.297449
4,55,14411.411629
4,61,14365.579758
4,62,13978.982698
4,78,13940.430590
4,82,13897.047023
4,84,13892.082277
4,90,13796.001118
4,91,13782.386666
4,93,13774.806342
4,94,13612.612729
4,107,13612.565785
5,46,16304.328092
5,52,16284.816252
5,53,16110.108778
5,54,15791.297449
5,55,13923.358185
5,73,13814.849226
5,90,13796.001118
5,91,13782.386666
5,93,13774.806342
5,94,13612.612729
5,107,13612.565785
6,44,16550.540692
6,46,16304.328092
6,50,15391.087607
6,51,15093.527678
6,55,13923.358185
6,56,13717.465199
6,59,13681.187965
6,94,13612.612729
6,107,13612.565785
7,44,16550.540692
7,46,16304.328092
7,49,15687.639227
7,50,15391.087607
7,51,15093.527678
7,55,13923.358185
7,56,13555.284212
7,62,13390.528423
8,44,16409.645482
8,45,15703.738887
8,49,14988.417460
8,52,14252.531163
8,54,13412.783902
8,62,13275.697283
8,64,13155.369043
9,44,16409.645482
9,45,15703.738887
9,49,14988.417460
9,51,13909.755556
9,52,13844.820470
9,53,13787.652042
9,54,13412.783902
9,62,13275.697283
9,64,13155.369043
9,70,13122.623279
10,44,16409.645482
10,45,15703.738887
10,46,15557.134287
10,49,14988.417460
10,51,13909.755556
10,52,13844.820470
10,53,13787.652042
10,54,13412.783902
10,62,13275.697283
10,64,13155.369043
10,70,12993.300170
11,44,16409.645482
11,45,15703.738887
11,46,15557.134287
11,49,14988.417460
11,51,13909.755556
11,52,13844.820470
11,53,13787.652042
11,54,13412.783902
11,59,13390.801274
11,62,13275.697283
11,64,13155.369043
11,66,13083.927606
11,70,12993.300170
12,44,16409.645482
12,45,15703.738887
12,46,15382.766096
12,47,14668.213656
12,51,13909.755556
12,52,13844.820470
12,53,13787.652042
12,54,13412.783902
12,59,13390.801274
12,60,13311.915774
12,62,13275.697283
12,64,13155.369043
12,66,13073.603761
12,70,12993.300170
13,44,16409.645482
13,45,15703.738887
13,46,15256.472388
13,47,14668.213656
13,50,13491.778387
13,52,13318.766821
13,58,13119.177048
13,62,12763.188653
14,44,16409.645482
14,45,15703.738887
14,46,14902.407809
14,47,14668.213656
14,48,14441.829188
14,50,13491.778387
14,52,13318.766821
14,56,13248.917677
14,58,13082.297377
14,59,13082.237894
14,60,13061.512228
14,62,12763.188653
15,43,17108.146854
15,44,16409.645482
15,45,15225.613064
15,46,14902.407809
15,47,14497.575270
15,48,14441.829188
15,49,14064.093803
15,50,13491.778387
15,52,13318.766821
15,56,13140.025089
15,58,13074.249119
15,60,13061.512228
15,62,12763.188653
16,43,17108.146854
16,44,15248.273061
16,45,14966.022231
16,46,14902.407809
16,47,14497.575270
16,48,14441.829188
16,49,14064.093803
16,50,13491.778387
16,51,13448.654575
16,52,13318.766821
16,56,12949.076722
16,62,12763.188653
16,65,12725.303788
17,43,17108.146854
