Generation,NV,TOC
1,6,1786.141969
1,8,1260.488604
1,11,1196.776624
2,6,1459.970087
2,7,1333.961943
2,8,1228.314459
2,9,1183.188821
2,10,1126.306047
3,6,1459.970087
3,7,1214.370785
3,8,1087.967529
4,6,1198.928972
4,7,1160.948837
4,8,1087.967529
5,6,1193.337928
5,7,1143.558968
5,8,1052.998008
6,6,1193.337928
6,7,1114.197432
6,8,1052.998008
7,5,1668.768021
7,6,1193.337928
7,7,1094.830656
7,8,1052.998008
8,5,1414.330719
8,6,1169.870609
8,7,1094.830656
8,8,1052.998008
9,5,1185.274796
9,6,1169.870609
9,7,1034.486113
10,4,1461.994140
10,5,1185.274796
10,6,1136.069608
10,7,1034.486113
11,4,1461.994140
11,5,1185.274796
11,6,1136.069608
11,7,1034.486113
12,4,1461.994140
12,5,1185.274796
12,6,1028.802174
13,4,1461.994140
13,5,1185.274796
13,6,1028.802174
14,4,1392.179497
14,5,1185.274796
14,6,1008.138155
15,4,1369.545874
15,5,1185.274796
15,6,1008.138155
16,4,1369.545874
16,5,1147.506905
16,6,1008.138155
17,4,1369.545874
17,5,1147.506905
17,6,1008.138155
18,4,1358.303301
18,5,1112.709310
18,6,1008.138155
19,4,1358.303301
19,5,1112.709310
19,6,1008.138155
20,4,1292.474247
20,5,1037.924709
20,6,1006.840726
21,4,1292.474247
21,5,1037.924709
21,6,1006.840726
22,4,1204.101132
22,5,1037.924709
22,6,1006.840726
23,4,1204.101132
23,5,1037.924709
23,6,1006.840726
24,4,1189.678725
24,5,1037.924709
24,6,1006.840726
25,4,1189.678725
25,5,1034.336827
25,6,1006.840726
26,4,1189.678725
26,5,1034.336827
26,6,1006.840726
27,4,1189.678725
27,5,1034.336827
27,6,1006.840726
28,4,1189.678725
28,5,1034.336827
28,6,1006.840726
29,4,1163.181296
29,5,1034.336827
29,6,1006.840726
30,4,1163.181296
30,5,1034.336827
30,6,1006.840726
31,4,1163.181296
31,5,1034.336827
31,6,1006.840726
32,4,1163.181296
32,5,1034.336827
32,6,1006.840726
33,4,1163.181296
33,5,1034.336827
33,6,1006.840726
34,4,1163.181296
34,5,1034.336827
34,6,1006.840726
35,4,1163.181296
35,5,1028.141954
35,6,1006.840726
36,4,1163.181296
36,5,1028.141954
36,6,1006.840726
37,4,1163.181296
37,5,1028.141954
37,6,1006.840726
38,4,1163.181296
38,5,1028.141954
38,6,1006.840726
39,4,1163.181296
39,5,1028.141954
39,6,1006.840726
40,4,1163.181296
40,5,1028.141954
40,6,1006.840726
41,4,1163.181296
41,5,1028.141954
41,6,1006.448952
