Generation,NV,TOC
1,11,2854.216885
1,16,2771.381635
1,17,2702.493165
1,18,2541.605021
1,19,2427.436364
2,10,3163.429934
2,11,2854.216885
2,14,2726.560414
2,16,2677.697173
2,17,2548.453057
2,18,2493.668370
2,19,2427.436364
3,10,3163.429934
3,11,2854.216885
3,14,2726.560414
3,16,2509.398065
3,17,2485.098761
3,18,2429.660998
3,19,2401.275941
4,10,3163.429934
4,11,2854.216885
4,14,2726.560414
4,15,2446.813058
4,18,2385.645077
4,19,2375.199946
5,10,3043.456497
5,11,2854.216885
5,12,2720.781622
5,13,2625.382881
5,14,2327.474142
5,15,2324.412348
6,10,3043.456497
6,11,2675.941545
6,13,2625.382881
6,14,2327.474142
6,15,2324.412348
7,10,2805.685966
7,11,2659.676262
7,12,2597.208576
7,13,2531.352266
7,14,2327.474142
7,15,2324.412348
8,10,2598.991014
8,12,2550.368740
8,13,2531.352266
8,14,2327.474142
8,15,2324.412348
9,9,3303.878324
9,10,2598.991014
9,12,2550.368740
9,13,2405.128111
9,14,2327.474142
9,15,2324.412348
9,16,2306.953058
10,9,2778.076627
10,10,2598.991014
10,11,2573.947392
10,12,2550.368740
10,13,2405.128111
10,14,2327.474142
10,15,2324.412348
10,16,2306.953058
11,9,2778.076627
11,10,2598.991014
11,11,2479.900908
11,13,2405.128111
11,14,2327.474142
11,15,2324.412348
11,16,2306.953058
11,18,2298.894530
12,9,2778.076627
12,10,2598.991014
12,11,2479.900908
12,13,2405.128111
12,14,2327.474142
12,15,2324.412348
12,16,2295.905014
13,9,2778.076627
13,10,2547.856245
13,11,2479.900908
13,12,2462.220138
13,13,2372.170077
13,14,2298.917228
13,15,2255.137797
14,8,2834.488946
14,9,2646.718358
14,10,2446.502922
14,11,2432.066594
14,13,2322.234992
14,14,2251.594194
15,8,2712.266506
15,9,2472.606461
15,10,2446.502922
15,11,2432.066594
15,12,2344.948318
15,13,2296.163860
15,14,2251.594194
16,8,2712.266506
16,9,2472.606461
16,10,2446.502922
16,11,2432.066594
16,12,2344.948318
16,13,2296.163860
16,14,2251.594194
17,8,2712.266506
17,9,2472.606461
17,10,2446.502922
17,11,2375.640167
17,12,2344.948318
17,13,2249.138438
18,8,2567.220308
18,9,2472.606461
18,10,2446.502922
18,11,2375.640167
18,12,2247.617678
18,13,2237.276142
19,8,2567.220308
19,9,2472.606461
19,10,2388.096894
19,11,2302.939276
19,12,2247.617678
19,13,2233.535675
20,8,2567.220308
20,9,2472.606461
20,10,2327.288588
20,11,2234.395972
20,12,2218.616367
21,8,2567.220308
21,9,2458.319321
21,10,2327.288588
21,11,2219.006328
21,12,2185.210372
21,13,2177.284346
22,8,2535.543269
22,9,2363.973113
22,10,2327.288588
22,11,2202.756516
22,12,2185.210372
22,13,2177.284346
23,8,2521.410818
23,9,2363.973113
23,10,2327.288588
23,11,2202.756516
23,12,2185.210372
23,13,2177.284346
24,8,2442.269961
24,9,2324.002927
24,11,2189.131757
24,12,2185.210372
24,13,2176.584569
25,8,2442.269961
25,9,2324.002927
25,10,2322.528250
25,11,2189.131757
25,12,2179.829266
25,13,2176.584569
26,8,2442.269961
26,9,2324.002927
26,10,2322.528250
26,11,2141.191050
27,8,2420.757383
27,9,2324.002927
