Generation,NV,TOC
1,18,5729.044464
1,20,5185.092593
1,21,4682.635860
1,25,4147.952956
1,30,4132.205482
1,33,3986.044744
2,18,5729.044464
2,19,5221.666667
2,20,4810.089634
2,21,4682.635860
2,24,4589.969683
2,25,4147.952956
2,29,3905.211229
2,35,3827.290469
2,37,3734.246392
3,18,5729.044464
3,19,5166.694569
3,20,4810.089634
3,21,4682.635860
3,23,4337.541846
3,25,4147.952956
3,28,4012.476596
3,29,3905.211229
3,31,3890.705527
3,35,3827.290469
3,37,3734.246392
4,18,5174.600713
4,19,5166.694569
4,20,4810.089634
4,21,4682.635860
4,22,4166.291287
4,25,4147.952956
4,28,3978.003318
4,29,3905.211229
4,31,3890.705527
4,34,3732.857966
4,39,3713.761642
5,17,5683.910930
5,18,5174.600713
5,19,4908.380417
5,20,4543.607430
5,21,4375.119593
5,22,4166.291287
5,25,3996.811398
5,28,3807.181139
5,30,3774.272957
5,31,3623.193614
5,36,3538.839629
6,17,5015.095126
6,19,4908.380417
6,20,4511.075090
6,21,3980.989908
6,23,3823.864017
6,28,3807.181139
6,30,3670.280401
6,31,3623.193614
6,36,3538.839629
6,40,3536.662641
7,17,4542.815735
7,18,4360.637472
7,20,3945.204747
7,23,3823.864017
7,27,3782.030945
7,30,3670.280401
7,31,3623.193614
7,33,3615.905574
7,36,3538.839629
7,39,3513.729966
8,16,6269.275103
8,17,4542.815735
8,18,4360.637472
8,20,3945.204747
8,22,3835.760491
8,23,3823.864017
8,26,3788.809422
8,27,3782.030945
8,28,3757.850851
8,30,3670.280401
8,31,3501.738035
9,16,6269.275103
9,17,4542.815735
9,18,4360.637472
9,20,3945.204747
9,21,3921.674673
9,22,3835.760491
9,23,3650.159442
9,28,3537.713054
9,30,3508.205207
9,31,3501.738035
9,34,3488.832093
10,16,4802.715116
10,17,4509.170099
10,18,4343.962568
10,19,4274.300089
10,20,3945.204747
10,21,3920.806743
10,22,3835.760491
10,23,3494.241830
10,31,3472.753945
10,33,3446.114327
11,15,4539.776039
11,17,4509.170099
11,18,4343.962568
11,19,4274.300089
11,20,3945.204747
11,21,3670.880953
11,23,3494.241830
11,31,3472.753945
11,33,3446.114327
12,15,4539.776039
12,16,4382.428323
12,17,3683.935994
12,21,3426.341871
12,31,3398.925884
13,15,4095.234563
13,17,3471.219329
13,21,3356.325880
14,15,3984.480029
14,17,3462.314919
14,18,3403.419432
14,21,3326.363339
14,22,3311.144059
15,15,3984.480029
15,16,3874.112664
15,17,3462.314919
15,18,3403.419432
15,21,3326.363339
15,22,3264.224822
16,14,4550.124247
16,15,3984.480029
16,16,3874.112664
16,17,3462.314919
16,18,3237.121875
