Generation,NV,TOC
1,18,11079.095995
1,19,9903.016878
1,20,8699.057211
1,21,6723.075790
1,22,6141.194592
1,24,5970.778521
1,27,5460.985070
1,32,5272.006721
2,18,11079.095995
2,19,9903.016878
2,20,6871.440119
2,21,6582.343761
2,22,6141.194592
2,24,5970.778521
2,27,5433.612588
2,32,5272.006721
2,38,5027.726066
3,18,11079.095995
3,19,9903.016878
3,20,6871.440119
3,21,6493.134350
3,22,6141.194592
3,23,6067.744193
3,24,5970.778521
3,27,5433.612588
3,32,5272.006721
3,37,5185.710885
3,38,5027.726066
3,55,4935.781161
4,18,11079.095995
4,19,8861.745200
4,20,6871.440119
4,21,6103.659425
4,23,6067.744193
4,24,5452.346945
4,27,5147.770453
4,33,5035.148518
4,38,5027.726066
4,43,4971.040740
4,49,4956.133761
4,54,4901.122708
5,18,8086.011010
5,20,6697.051498
5,21,6103.659425
5,23,6067.744193
5,24,5170.433788
5,27,5147.770453
5,33,5035.148518
5,38,4889.237645
5,50,4843.620556
6,18,7923.536158
6,20,6697.051498
6,21,6103.659425
6,23,6067.744193
6,24,5170.433788
6,27,5147.770453
6,33,5035.148518
6,38,4889.237645
6,44,4857.424817
6,50,4843.620556
7,18,6781.222652
7,20,6697.051498
7,21,5732.412835
7,24,5170.433788
7,25,5077.447309
7,28,5069.131806
7,33,5035.148518
7,38,4889.237645
7,44,4857.424817
7,50,4843.620556
7,51,4830.046774
8,18,6781.222652
8,20,6697.051498
8,21,5732.412835
8,24,5170.433788
8,25,5077.447309
8,28,5069.131806
8,31,5062.770075
8,32,4981.772410
8,33,4967.947078
8,38,4889.237645
8,44,4809.276652
9,17,6757.109986
9,20,5659.169178
9,24,5085.099751
9,25,5077.447309
9,27,5018.239969
9,29,4802.949811
9,38,4730.935265
10,17,6757.109986
10,20,5659.169178
10,24,5085.099751
10,25,5077.447309
10,27,5018.239969
10,29,4802.949811
10,38,4730.935265
11,17,6757.109986
11,19,6434.214103
11,20,5659.169178
11,24,5085.099751
11,25,5077.447309
11,26,4922.750372
11,27,4885.518479
11,29,4802.949811
11,38,4730.935265
12,17,6757.109986
12,19,6434.214103
12,20,5659.169178
12,23,5006.573164
12,26,4922.750372
