Generation,NV,TOC
1,59,28493.940756
1,60,27574.313821
1,61,27063.193819
1,67,26599.402182
1,72,25418.495443
1,77,25111.294687
1,83,24746.549598
1,105,23887.290314
1,106,23282.906137
1,112,22815.725330
1,116,22811.667305
2,59,28493.940756
2,60,27574.313821
2,61,27063.193819
2,67,26599.402182
2,72,25418.495443
2,77,25111.294687
2,80,24797.498384
2,83,24746.549598
2,85,24398.919507
2,87,24339.333368
2,89,24242.364879
2,103,23946.186419
2,105,22740.109458
2,126,22551.748892
3,58,27619.477049
3,60,27574.313821
3,61,27063.193819
3,64,26929.543623
3,65,26828.510355
3,67,26599.402182
3,69,24895.122947
3,74,24474.692452
3,75,23638.437694
3,105,22740.109458
3,107,22679.480978
3,126,22551.748892
3,127,22540.314324
4,57,28727.658600
4,58,27619.477049
4,60,27574.313821
4,61,27063.193819
4,63,26992.961839
4,64,26929.543623
4,65,26828.510355
4,67,26599.402182
4,68,26381.830453
4,69,24895.122947
4,74,24474.692452
4,75,23638.437694
4,97,23362.589568
4,104,23281.403410
4,105,22740.109458
4,107,22679.480978
4,117,22274.299562
4,126,22037.407669
5,56,27190.873441
5,60,27164.118100
5,61,27063.193819
5,63,26503.181610
5,68,26235.245080
5,69,24895.122947
5,74,24474.692452
5,75,23638.437694
5,94,23552.038468
5,95,23510.584700
5,97,23362.589568
5,98,23245.156286
5,99,23028.147505
5,105,22740.109458
5,107,22679.480978
5,113,22400.322562
5,117,22274.299562
5,123,22234.725876
5,124,22049.297952
5,126,22019.178404
6,55,28297.662611
6,56,27190.873441
6,58,27167.705379
6,60,27164.118100
6,61,27063.193819
6,63,26503.181610
6,66,26286.290375
6,67,25677.042897
6,69,24895.122947
6,70,23617.326954
6,77,23439.544207
6,97,23362.589568
6,98,23245.156286
6,99,23028.147505
6,102,22759.842160
6,105,22740.109458
6,107,22679.480978
6,112,22661.697792
6,113,22400.322562
6,115,22073.534203
6,122,22055.313663
6,124,22049.297952
6,126,21604.023687
7,55,28297.662611
7,56,27190.873441
7,58,27167.705379
7,59,26462.304426
7,60,26355.588648
7,66,25120.156403
7,68,24737.069351
7,69,24132.697000
7,70,23617.326954
7,75,23230.787079
7,84,23048.165321
7,85,22384.590313
7,103,21857.107135
7,106,21769.074978
7,124,21573.648156
7,128,21491.226969
8,54,28029.542409
8,56,27190.873441
8,57,26492.790969
8,59,26462.304426
8,60,26355.588648
8,62,26112.720938
8,64,25815.211816
8,65,24640.445633
8,69,24132.697000
8,70,23617.326954
8,75,23230.787079
8,84,23048.165321
8,85,22384.590313
8,103,21857.107135
8,106,21769.074978
8,124,21538.734145
8,128,21491.226969
8,131,21207.162263
9,54,27984.235365
9,56,27190.873441
9,57,26492.790969
9,58,26236.787679
9,62,26112.720938
9,64,25815.211816
9,65,24640.445633
9,69,24132.697000
9,70,23617.326954
9,75,23230.787079
9,81,23222.908946
9,84,23048.165321
9,85,22384.590313
9,103,21857.107135
9,106,21769.074978
9,113,21567.953746
9,117,21486.879409
9,118,21426.632999
9,126,21287.086934
9,131,21207.162263
9,133,21083.652599
10,54,27984.235365
10,56,26471.152680
10,58,26124.501037
10,59,25459.262094
10,65,24451.580931
10,69,24055.729304
10,70,23617.326954
10,75,23037.800967
10,79,22882.068152
10,85,22384.590313
10,87,22384.521625
10,101,22329.146816
10,102,22311.095651
10,103,21857.107135
10,106,21769.074978
10,109,21414.105651
10,120,21041.848194
10,128,20794.937461
10,132,20717.105640
11,54,27984.235365
11,56,26296.247177
11,58,25420.656060
11,65,23462.523886
11,71,23083.405555
11,72,22653.090708
11,77,22284.833144
11,81,22235.377494
11,83,21615.176488
11,90,20686.900467
11,93,20571.098828
12,54,27984.235365
12,55,25655.027223
12,57,24063.048175
12,63,23846.948618
12,64,22635.958399
12,67,22618.106944
12,70,21505.555427
12,83,21502.626248
12,89,20286.586616
13,54,27984.235365
13,55,25655.027223
13,57,24063.048175
13,63,23846.948618
13,64,22635.958399
13,67,22618.106944
13,70,21505.555427
13,77,20625.517545
13,82,20451.270507
13,89,20286.586616
13,91,20235.417761
13,116,19950.932100
14,54,27984.235365
14,55,25655.027223
14,57,24063.048175
14,63,23846.948618
14,64,22349.859439
14,70,21505.555427
14,77,20581.952447
14,82,20451.270507
14,87,20376.839052
14,89,20286.586616
14,91,20235.417761
14,93,20015.062678
14,115,19930.757076
15,54,26551.847774
15,55,25655.027223
15,56,24573.185598
15,57,24063.048175
15,59,23609.333472
15,63,22279.049931
15,64,22269.974028
15,67,21954.602676
15,70,21505.555427
15,77,20581.952447
15,80,20563.109657
15,82,20451.270507
15,87,20376.839052
15,89,20286.586616
15,90,20062.656737
15,93,20015.062678
15,104,20008.221424
15,108,19807.904259
16,54,26551.847774
16,55,25655.027223
16,56,24573.185598
16,57,24063.048175
16,58,23055.633780
16,62,22994.773254
16,63,22279.049931
16,64,21626.472328
16,70,21505.555427
16,77,20581.952447
16,80,20563.109657
16,82,20340.268978
16,89,20286.586616
16,90,20062.656737
16,93,20015.062678
16,104,20008.221424
16,105,19940.220708
16,108,19807.904259
16,128,19736.275415
17,54,26551.847774
17,55,25655.027223
17,56,24573.185598
17,57,24063.048175
17,58,22544.517812
17,63,22279.049931
17,64,21626.472328
17,66,21502.381765
17,77,20581.952447
17,80,20563.109657
17,81,20493.114046
17,82,20340.268978
17,85,20209.720413
17,90,20062.656737
17,93,20015.062678
17,104,20008.221424
17,105,19940.220708
17,108,19807.904259
17,116,19499.583260
18,54,26551.847774
18,55,24228.028791
18,57,23483.646418
18,58,22524.632051
18,61,21674.057402
18,64,21626.472328
18,66,21502.381765
18,74,21372.923398
18,75,21126.455377
18,77,20581.952447
18,80,20563.109657
18,81,20493.114046
18,82,20340.268978
18,85,20209.720413
18,90,20062.656737
18,93,20015.062678
18,96,19796.868949
18,102,19672.091409
18,104,19642.239269
18,111,19306.875494
19,54,26457.492709
19,55,24228.028791
19,56,23259.340872
19,58,22524.632051
19,59,22357.591016
19,61,21674.057402
19,62,21489.037220
19,64,20934.881821
19,77,20581.952447
19,80,20563.109657
19,81,20493.114046
19,82,20340.268978
19,85,20209.720413
19,90,20062.656737
19,93,20015.062678
19,96,19796.868949
19,102,19672.091409
19,104,19642.239269
19,111,19306.875494
20,54,25394.770490
20,55,24228.028791
20,56,23259.340872
20,58,22524.632051
20,59,22357.591016
20,61,21674.057402
20,62,21343.030544
20,64,20934.881821
20,74,20888.736402
20,77,20581.952447
20,80,20563.109657
20,81,20493.114046
20,82,20340.268978
20,84,20066.853365
20,90,20062.656737
20,93,20015.062678
20,96,19796.868949
20,102,19672.091409
20,104,19642.239269
20,111,19306.875494
21,52,28351.904186
21,53,28162.216549
21,54,25359.601005
21,55,23292.467072
21,56,21742.837380
21,61,21674.057402
21,62,21343.030544
21,64,20934.881821
21,65,20753.852840
21,68,19916.191453
21,84,19896.726459
21,95,19497.946750
21,97,19359.418147
21,109,19055.043381
22,52,27426.101554
22,54,25359.601005
22,55,22955.766453
22,56,21742.837380
22,61,21674.057402
22,62,21343.030544
22,63,21312.119288
22,64,20934.881821
22,65,20753.852840
22,66,20603.393262
22,68,19916.191453
22,84,19896.726459
22,86,19209.619522
22,109,19055.043381
23,52,27426.101554
23,54,25359.601005
23,55,22955.766453
23,56,21742.837380
23,61,21674.057402
23,62,21343.030544
23,63,21312.119288
23,64,20934.881821
23,65,20398.022357
23,66,20123.435951
23,68,19916.191453
23,84,19896.726459
23,85,19230.305175
23,86,19209.619522
23,91,19176.230658
23,102,19032.011306
23,105,19015.087926
24,52,27426.101554
24,54,25359.601005
24,55,22955.766453
24,56,21742.837380
24,61,21674.057402
24,62,21343.030544
24,63,21312.119288
24,64,20934.881821
24,65,20064.242809
24,68,19916.191453
24,71,19634.592893
24,85,19230.305175
24,86,19209.619522
24,91,19176.230658
24,93,19011.842750
24,95,18698.986470
25,52,27426.101554
25,54,25359.601005
25,55,21724.454086
25,61,21478.674260
25,62,21343.030544
25,63,21312.119288
25,64,20934.881821
25,65,20064.242809
25,68,19916.191453
25,71,19634.592893
25,73,19395.542915
25,85,19112.780762
25,93,19011.842750
25,95,18698.986470
26,52,27426.101554
26,54,24556.314317
26,55,21724.454086
26,61,21478.674260
