Generation,NV,TOC
1,9,4680.837668
1,10,4432.977208
1,11,3995.261375
1,12,3560.583046
1,13,3532.005610
1,15,3299.780864
1,17,3260.694144
1,18,3094.124581
1,19,3074.378433
1,20,2994.269560
1,21,2978.578150
1,22,2910.367428
1,23,2899.412110
1,27,2878.696544
1,28,2832.681052
1,30,2810.841872
1,37,2805.401195
1,39,2793.712226
2,9,4680.837668
2,10,4207.246775
2,11,3995.261375
2,12,3560.583046
2,13,3532.005610
2,15,3299.780864
2,17,3260.694144
2,18,3094.124581
2,19,3074.378433
2,20,2994.269560
2,21,2978.578150
2,22,2874.631264
2,23,2794.647281
2,39,2793.712226
3,9,4680.837668
3,10,4134.401202
3,11,3982.422459
3,12,3560.583046
3,13,3532.005610
3,15,3299.780864
3,17,3260.694144
3,18,3094.124581
3,19,3074.378433
3,20,2994.269560
3,21,2978.578150
3,22,2874.631264
3,23,2794.647281
3,39,2793.712226
4,9,4680.837668
4,10,4125.835368
4,11,3982.422459
4,12,3560.583046
4,13,3532.005610
4,15,3299.780864
4,17,3260.694144
4,18,3094.124581
4,19,3041.443941
4,20,2909.893053
4,21,2900.359908
4,22,2874.631264
4,23,2794.647281
4,39,2793.712226
5,7,4969.500837
5,8,4926.046805
5,9,4680.837668
5,10,4040.114300
5,11,3982.422459
5,12,3434.173990
5,15,3299.780864
5,16,3092.070513
5,18,2937.947393
5,20,2852.217488
5,21,2830.288909
5,23,2794.647281
5,39,2793.712226
6,7,4969.500837
6,8,4883.169320
6,9,4058.952247
6,10,4040.114300
6,11,3912.451458
6,12,3434.173990
6,14,3315.444283
6,15,3299.780864
6,16,3092.070513
6,18,2937.947393
6,19,2868.972798
6,20,2852.217488
6,21,2830.288909
6,23,2794.647281
6,24,2783.932906
7,7,4969.500837
7,8,4681.918308
7,9,4058.952247
7,10,4040.114300
7,11,3912.451458
7,12,3434.173990
7,14,3315.444283
7,15,3299.780864
7,16,3092.070513
7,17,3050.833483
7,18,2937.947393
7,19,2868.972798
7,20,2852.217488
7,21,2830.288909
7,22,2828.933823
7,23,2794.647281
7,24,2783.932906
7,25,2780.991881
7,28,2775.283570
8,7,4969.500837
8,8,4346.301705
8,9,4022.072906
8,11,3912.451458
8,12,3434.173990
8,14,3315.444283
8,15,3276.965506
8,16,2934.249822
8,19,2868.972798
8,20,2852.217488
8,21,2783.298095
8,25,2780.991881
8,28,2775.283570
9,7,4969.500837
9,8,4346.301705
9,9,3983.169331
9,10,3878.109386
9,11,3363.765277
9,14,3080.954973
9,16,2934.249822
9,17,2748.304572
10,7,4969.500837
10,8,4292.035534
