Generation,NV,TOC
1,7,2034.755053
1,8,1976.007418
1,9,1949.506729
2,7,2004.357310
2,8,1976.007418
2,9,1947.396808
3,7,1997.975269
3,8,1929.895633
4,7,1938.011412
4,8,1922.432604
4,9,1916.872309
5,6,2481.299275
5,7,1938.011412
5,8,1922.432604
5,9,1916.872309
6,6,2257.732041
6,7,1937.247697
6,8,1922.432604
6,9,1916.872309
7,5,2412.761977
7,6,2215.756922
7,7,1937.247697
7,8,1922.432604
7,9,1916.872309
7,10,1910.272177
8,5,2412.761977
8,6,2006.847171
8,7,1937.247697
8,8,1922.432604
8,9,1916.872309
8,10,1910.272177
9,5,2206.564714
9,6,2006.847171
9,7,1937.247697
9,8,1922.432604
9,9,1916.872309
9,10,1910.272177
10,5,2206.564714
10,6,1957.532576
10,7,1937.247697
10,8,1922.432604
10,9,1916.872309
10,10,1910.272177
11,5,2154.303513
11,6,1957.532576
11,7,1937.247697
11,8,1922.432604
11,9,1916.872309
11,10,1910.272177
12,5,2154.303513
12,6,1957.532576
12,7,1935.646177
12,8,1916.430796
12,10,1910.272177
13,5,2093.803754
13,6,1957.532576
13,7,1928.460650
13,8,1885.491351
14,5,2093.803754
14,6,1957.532576
14,7,1922.885899
14,8,1885.491351
15,5,2093.803754
15,6,1957.532576
15,7,1922.885899
15,8,1885.491351
16,5,2051.800995
16,6,1952.500619
16,7,1910.707584
16,8,1885.491351
17,4,2341.270393
17,5,2042.757435
17,6,1897.796159
17,8,1885.491351
18,4,2240.669475
18,5,2000.242712
18,6,1892.785764
18,8,1872.581592
19,4,2240.669475
19,5,2000.242712
19,6,1892.785764
19,8,1872.581592
20,4,2240.669475
20,5,2000.242712
20,6,1892.785764
20,7,1886.818759
20,8,1872.581592
21,4,2240.669475
21,5,1974.165722
21,6,1879.113561
21,8,1872.581592
22,4,2240.669475
22,5,1974.165722
22,6,1879.113561
22,8,1872.581592
23,4,2181.213538
23,5,1961.864824
23,6,1879.113561
23,8,1872.581592
24,4,2181.213538
24,5,1961.864824
24,6,1879.084846
24,7,1852.596505
25,4,2181.213538
25,5,1940.400536
25,6,1866.252936
25,7,1852.596505
26,4,2181.213538
26,5,1935.698439
26,6,1850.406910
27,4,2181.213538
27,5,1935.698439
27,6,1850.406910
28,4,2086.367423
28,5,1927.613808
28,6,1835.075068
29,4,2086.367423
29,5,1922.248996
29,6,1835.075068
30,4,2086.367423
30,5,1838.589506
30,6,1835.075068
31,4,2086.367423
31,5,1829.471154
32,4,2086.367423
32,5,1829.471154
33,4,1983.440329
33,5,1824.192051
34,4,1983.440329
34,5,1824.067042
34,6,1819.564594
35,4,1983.440329
35,5,1810.761995
36,4,1983.440329
36,5,1810.761995
37,4,1983.440329
37,5,1810.761995
