Generation,NV,TOC
1,7,3780.833678
1,8,3599.419254
1,9,3379.765489
1,10,3234.673188
1,11,2808.355777
1,13,2756.569989
1,15,2508.712977
1,16,2354.366666
1,23,2263.804303
2,7,3780.833678
2,8,3329.307748
2,9,3310.809260
2,10,3081.164198
2,11,2808.355777
2,12,2711.423497
2,14,2542.033336
2,15,2505.274488
2,16,2354.366666
2,17,2274.698120
2,21,2139.114736
2,25,2138.807155
3,7,3780.833678
3,8,3329.307748
3,9,3310.809260
3,10,2799.193230
3,12,2711.423497
3,13,2508.035267
3,15,2307.737375
3,17,2274.698120
3,21,2139.114736
3,22,2093.978806
4,7,3780.833678
4,8,2897.450524
4,9,2814.995448
4,10,2765.024965
4,11,2749.122895
4,12,2651.356288
4,13,2508.035267
4,15,2307.737375
4,16,2238.832353
4,20,2090.894712
5,7,3652.378468
5,8,2897.450524
5,9,2759.855244
5,11,2736.052090
5,12,2383.592998
5,14,2247.019631
5,16,2238.832353
5,19,2140.291860
5,20,2090.894712
6,7,3099.391256
6,8,2897.450524
6,9,2759.855244
6,10,2708.281009
6,11,2621.505684
6,12,2372.035444
6,13,2350.165370
6,14,2217.420550
6,16,2196.785973
6,18,2192.498536
6,19,2075.912123
7,7,3004.571628
7,8,2694.581329
7,10,2527.429774
7,11,2309.919995
7,12,2264.756160
7,14,2147.133829
7,16,2137.527348
7,18,2050.789663
8,7,3004.571628
8,8,2694.581329
8,10,2527.429774
8,11,2309.919995
8,12,2264.756160
8,14,2147.133829
8,16,2137.527348
8,18,2050.789663
9,7,3004.571628
9,8,2666.860773
9,10,2475.311483
9,11,2309.919995
9,12,2264.756160
9,13,2258.012832
9,14,2147.133829
9,16,2137.527348
9,18,2050.789663
10,7,2980.999277
10,8,2412.128363
10,11,2309.919995
10,12,2264.756160
10,13,2258.012832
10,14,2147.133829
10,16,2137.527348
10,18,2050.789663
11,7,2980.999277
11,8,2386.278941
11,11,2309.919995
11,12,2264.756160
11,13,2258.012832
11,14,2147.133829
11,16,2137.527348
11,18,2050.789663
12,7,2836.210162
12,8,2341.280829
12,10,2308.179989
12,11,2286.519948
12,12,2099.669288
12,18,2050.789663
13,7,2836.210162
13,8,2341.280829
13,10,2236.969540
13,12,2099.669288
13,18,2050.789663
14,7,2836.210162
14,8,2341.280829
14,9,2320.890631
14,10,2236.969540
14,12,2099.669288
14,17,2075.296416
14,18,2050.789663
15,7,2431.079456
15,8,2338.154740
15,9,2317.046812
15,10,2236.969540
15,12,2099.669288
15,16,2029.556940
16,7,2431.079456
16,8,2221.948226
16,12,2099.669288
16,16,2029.556940
17,7,2431.079456
17,8,2213.982942
17,12,2099.669288
17,16,2029.556940
18,7,2431.079456
18,8,2213.982942
18,11,2165.872369
18,12,2099.669288
18,16,2029.556940
19,7,2423.454506
19,8,2213.124959
19,11,2125.153084
19,12,2071.110197
19,13,2014.341477
20,7,2423.454506
20,8,2213.124959
20,11,2125.153084
20,12,2071.110197
20,13,2014.341477
21,7,2423.454506
21,8,2213.124959
21,9,2202.978425
21,11,2125.153084
21,12,2071.110197
21,13,2014.341477
22,7,2423.454506
22,8,2213.124959
22,9,2202.978425
22,11,2125.153084
22,12,2071.110197
22,13,2014.341477
23,7,2423.454506
23,8,2213.124959
23,9,2151.564614
23,11,2026.001472
23,13,2014.341477
24,7,2211.917719
24,8,2189.414536
24,9,2150.930026
24,10,2111.932048
24,11,2017.917516
24,12,2009.122315
25,7,2211.917719
25,8,2189.414536
25,9,2150.930026
25,10,2015.301093
25,12,2009.122315
25,16,1978.444331
26,7,2211.917719
26,8,2189.414536
26,9,2150.930026
26,10,2015.301093
26,12,2009.122315
26,15,2006.034152
26,16,1978.444331
27,6,2983.604347
27,7,2211.917719
27,8,2169.876385
27,9,2150.930026
27,10,2015.301093
27,12,2009.122315
27,15,2006.034152
27,16,1978.444331
27,17,1975.475348
28,6,2983.604347
28,7,2211.917719
28,8,2169.876385
28,9,2150.930026
28,10,2015.301093
28,12,2009.122315
28,15,1904.415823
29,6,2983.604347
29,7,2211.917719
29,8,2169.876385
29,9,2150.930026
29,10,2015.301093
29,11,1970.784920
29,15,1904.415823
30,6,2983.604347
30,7,2211.917719
30,8,2169.876385
30,9,2150.930026
30,10,2015.301093
30,11,1970.784920
30,15,1904.415823
31,6,2983.604347
31,7,2211.917719
31,8,2169.876385
31,9,2150.930026
31,10,2015.301093
31,11,1970.784920
31,15,1904.415823
32,6,2685.525899
32,7,2193.225643
32,8,2165.223528
32,9,2127.203883
32,10,2015.301093
32,11,1970.784920
32,12,1947.704150
32,15,1904.415823
33,6,2685.525899
33,7,2193.225643
33,8,2165.223528
33,9,2127.203883
33,10,2015.301093
33,11,1970.784920
33,12,1947.704150
33,15,1904.415823
34,6,2685.525899
34,7,2193.225643
34,8,2165.223528
34,9,2127.203883
34,10,2015.301093
34,11,1970.784920
34,12,1947.704150
34,15,1904.415823
35,6,2685.525899
35,7,2193.225643
35,8,2165.223528
35,9,2066.647243
35,10,2015.301093
35,11,1970.784920
35,12,1947.704150
35,15,1904.415823
36,6,2685.525899
36,7,2193.225643
36,8,2165.223528
36,9,2066.647243
36,10,2015.301093
36,11,1970.784920
36,12,1947.704150
36,15,1904.415823
37,6,2541.023712
37,7,2095.018285
37,9,2066.647243
37,10,2007.821711
37,11,1970.784920
37,12,1936.051209
37,14,1896.585055
38,6,2526.288184
38,7,2095.018285
38,9,2066.647243
38,10,2007.821711
38,11,1970.784920
38,12,1936.051209
38,14,1896.585055
39,5,3000.314537
39,6,2499.016306
39,7,2095.018285
39,9,2066.647243
39,10,2007.821711
39,11,1970.784920
39,12,1936.051209
39,14,1896.585055
40,5,3000.314537
40,6,2438.835527
40,7,2095.018285
40,9,2066.647243
40,10,2007.821711
40,11,1870.717863
41,5,3000.314537
41,6,2438.835527
41,7,2095.018285
41,8,1866.369768
42,5,3000.314537
42,6,2308.551656
42,7,2052.472352
42,8,1866.369768
43,5,2798.545819
43,6,2308.551656
43,7,2052.472352
43,8,1866.369768
44,5,2798.545819
44,6,2308.551656
44,7,2052.472352
44,8,1866.369768
45,5,2583.926567
45,6,2248.052228
45,7,2052.472352
45,8,1866.369768
46,5,2457.825024
46,6,2248.052228
46,7,2052.472352
46,8,1866.369768
47,5,2263.550738
47,6,2202.751331
47,7,2029.493533
47,8,1866.369768
47,16,1862.352629
48,5,2263.550738
48,6,2202.751331
48,7,2029.493533
48,8,1866.369768
48,16,1862.352629
49,5,2263.550738
49,6,2202.751331
49,7,2029.493533
49,8,1866.369768
49,12,1844.836331
50,5,2252.244238
50,6,2202.751331
50,7,2029.493533
50,8,1866.369768
50,12,1843.848891
51,5,2252.244238
51,6,2145.359454
51,7,1959.004659
51,8,1866.369768
51,11,1825.929896
52,5,2174.875625
52,6,2136.948300
52,7,1959.004659
52,8,1866.369768
52,9,1848.755965
52,10,1825.794797
53,5,2174.875625
53,6,2136.948300
53,7,1959.004659
53,8,1866.369768
53,9,1848.755965
53,10,1822.534118
54,5,2108.958229
54,7,1865.106996
54,9,1848.755965
54,10,1822.534118
55,5,2108.958229
55,7,1865.106996
55,9,1848.755965
55,10,1822.534118
56,5,2108.958229
56,6,1990.244113
56,7,1865.106996
56,9,1830.857992
56,10,1822.534118
57,5,2054.813941
57,6,1917.480693
57,7,1865.106996
57,9,1816.925349
58,5,2054.813941
58,6,1917.480693
58,7,1865.106996
58,8,1856.337603
58,9,1816.925349
59,5,2054.813941
59,6,1917.480693
59,7,1865.106996
59,8,1856.337603
59,9,1816.925349
59,10,1815.053832
60,5,2054.813941
60,6,1917.480693
60,7,1865.106996
60,8,1856.337603
60,9,1816.925349
60,10,1815.053832
61,5,2054.813941
61,6,1917.480693
61,7,1865.106996
61,8,1856.337603
61,9,1816.925349
61,10,1815.053832
62,5,2049.893869
62,6,1917.480693
62,7,1858.561382
62,8,1856.337603
62,9,1816.925349
62,10,1793.930161
63,5,2049.893869
63,6,1917.480693
63,7,1812.616395
63,10,1793.930161
64,5,1924.218708
64,6,1917.480693
64,7,1812.616395
64,8,1807.436328
64,10,1793.930161
65,5,1924.218708
65,6,1917.480693
65,7,1812.616395
65,8,1807.436328
65,10,1793.930161
66,5,1875.418476
66,7,1812.616395
66,8,1807.436328
66,10,1793.930161
67,5,1875.276764
67,7,1812.616395
67,8,1799.034452
67,10,1793.930161
68,5,1875.276764
68,7,1812.616395
68,8,1799.034452
68,10,1793.930161
69,5,1875.276764
69,6,1857.792356
69,7,1812.616395
69,8,1799.034452
69,10,1793.930161
70,5,1875.276764
70,6,1857.792356
70,7,1812.616395
70,8,1799.034452
70,10,1793.930161
71,5,1875.276764
71,6,1857.792356
71,7,1812.616395
71,8,1799.034452
71,10,1793.930161
72,5,1875.276764
72,6,1857.792356
72,7,1802.121234
72,8,1799.034452
72,10,1789.860917
73,5,1875.276764
