Generation,NV,TOC
1,5,1985.995794
1,6,1720.043292
1,7,1578.240240
1,8,1567.036555
1,9,1416.973967
1,10,1319.908929
1,13,1305.430253
1,15,1275.424796
2,5,1895.265371
2,6,1720.043292
2,7,1578.240240
2,8,1567.036555
2,9,1416.973967
2,10,1319.908929
2,11,1270.321384
3,5,1895.265371
3,6,1720.043292
3,7,1578.240240
3,8,1459.768793
3,9,1416.973967
3,10,1278.467419
3,11,1270.321384
3,13,1267.452932
3,14,1249.274503
4,5,1895.265371
4,6,1639.520266
4,7,1559.485599
4,8,1459.768793
4,9,1416.973967
4,10,1278.467419
4,11,1263.346515
4,14,1249.274503
5,5,1522.761802
5,7,1398.690925
5,9,1248.314983
5,10,1233.665275
5,11,1218.993516
5,12,1209.188731
6,5,1522.761802
6,6,1385.669227
6,7,1358.400086
6,8,1355.132917
6,9,1248.314983
6,10,1210.830832
6,12,1209.188731
7,4,1842.527260
7,5,1522.761802
7,6,1385.669227
7,7,1358.400086
7,8,1355.132917
7,9,1248.314983
7,10,1210.830832
7,11,1204.237411
8,4,1842.527260
8,5,1522.761802
8,6,1375.623607
8,7,1358.400086
8,8,1355.132917
8,9,1248.314983
8,10,1210.830832
8,11,1204.237411
9,4,1842.527260
9,5,1522.761802
9,6,1375.623607
9,7,1358.400086
9,8,1345.616651
9,9,1248.314983
9,10,1210.830832
9,11,1204.237411
9,13,1187.542974
10,4,1842.527260
10,5,1473.984227
10,6,1375.623607
10,7,1355.731746
10,8,1245.560840
10,9,1227.127328
10,10,1210.830832
10,11,1204.237411
10,13,1187.542974
11,4,1799.769245
11,5,1473.984227
11,6,1375.623607
11,7,1281.581175
11,8,1245.560840
11,9,1227.127328
11,10,1210.830832
11,11,1204.237411
11,13,1187.542974
12,4,1799.769245
12,5,1473.984227
12,6,1375.623607
12,7,1262.763897
12,8,1245.560840
12,9,1227.127328
12,10,1209.010397
12,11,1184.481284
13,4,1609.041673
13,5,1473.984227
13,6,1375.623607
13,7,1262.763897
