Generation,NV,TOC
1,8,2699.867500
1,9,1924.101236
1,10,1708.343081
1,12,1673.604786
1,13,1604.948847
2,8,2473.198627
2,9,1772.089713
2,10,1636.685846
2,12,1614.315390
2,13,1591.322242
3,8,2473.198627
3,9,1772.089713
3,10,1597.377856
3,13,1591.322242
3,14,1579.104185
4,8,1872.221983
4,9,1717.762849
4,10,1597.377856
4,11,1573.435604
5,8,1872.221983
5,9,1717.762849
5,10,1545.969793
6,7,2012.766725
6,8,1872.221983
6,9,1543.742271
6,12,1531.042438
7,7,2012.766725
7,8,1720.864482
7,9,1543.742271
7,11,1540.903041
7,12,1531.042438
8,7,1908.933362
8,8,1488.954030
9,6,1923.429350
9,7,1764.501976
9,8,1473.922653
10,6,1923.429350
10,7,1735.882412
10,8,1473.922653
11,6,1770.237681
11,7,1735.882412
11,8,1454.155790
12,5,1885.713596
12,6,1770.237681
12,7,1492.026177
12,8,1454.155790
13,5,1875.940302
13,6,1770.237681
13,7,1492.026177
13,8,1442.644973
14,5,1875.940302
14,6,1591.606336
14,7,1480.620432
14,8,1442.644973
15,5,1875.940302
15,6,1571.891296
15,7,1480.620432
15,8,1442.644973
16,5,1875.940302
16,6,1571.891296
16,7,1439.265163
17,5,1875.940302
17,6,1571.891296
17,7,1439.265163
18,5,1875.940302
18,6,1571.891296
18,7,1439.265163
19,5,1875.940302
19,6,1571.891296
19,7,1439.265163
19,9,1437.303757
20,5,1793.510167
20,6,1547.977998
20,7,1439.265163
20,9,1437.303757
21,5,1793.510167
21,6,1547.977998
21,7,1439.265163
21,9,1437.303757
22,5,1793.510167
22,6,1547.977998
22,7,1439.265163
22,9,1437.303757
23,5,1756.212999
23,6,1501.148167
23,7,1422.703725
23,8,1414.186076
24,5,1756.212999
24,6,1501.148167
24,7,1422.703725
24,8,1414.186076
25,5,1655.124068
25,6,1500.706534
25,7,1422.703725
25,8,1414.186076
26,5,1655.124068
26,6,1500.706534
26,7,1422.703725
26,8,1414.186076
27,5,1655.124068
27,6,1493.601539
27,7,1422.703725
27,8,1414.186076
28,5,1655.124068
28,6,1493.601539
28,7,1422.703725
28,8,1413.098490
29,5,1655.124068
29,6,1476.523820
29,7,1422.703725
29,8,1413.098490
30,5,1655.124068
30,6,1476.523820
30,7,1422.703725
30,8,1413.098490
31,5,1643.694201
31,6,1433.859936
31,7,1413.591751
31,8,1410.405013
32,5,1621.719237
32,6,1433.859936
32,7,1413.591751
32,8,1410.405013
33,4,1875.594016
33,5,1621.719237
33,6,1433.859936
33,7,1413.591751
33,8,1410.405013
34,4,1875.594016
34,5,1621.719237
34,6,1433.859936
34,7,1413.591751
34,8,1406.249340
35,4,1875.594016
35,5,1601.537624
35,6,1433.859936
35,7,1413.591751
35,8,1406.249340
36,4,1875.594016
36,5,1601.537624
36,6,1433.859936
36,7,1413.591751
36,8,1406.249340
37,4,1875.594016
37,5,1601.537624
37,6,1433.859936
37,7,1413.591751
37,8,1406.249340
38,4,1875.594016
38,5,1601.537624
38,6,1433.859936
38,7,1411.447617
38,8,1406.249340
39,4,1875.594016
39,5,1601.537624
39,6,1433.859936
39,7,1411.447617
39,8,1403.487148
40,4,1875.594016
40,5,1601.537624
40,6,1433.859936
40,7,1411.447617
40,8,1403.487148
41,4,1875.594016
41,5,1601.537624
41,6,1433.859936
41,7,1411.447617
41,8,1398.548753
42,4,1875.594016
42,5,1601.537624
42,6,1433.859936
42,7,1411.447617
42,8,1398.548753
43,4,1875.594016
43,5,1601.537624
43,6,1433.859936
43,7,1410.349214
43,8,1388.470603
44,4,1875.594016
44,5,1601.537624
44,6,1433.859936
44,7,1410.349214
44,8,1388.470603
45,4,1875.594016
45,5,1601.537624
45,6,1433.859936
45,7,1410.349214
45,8,1388.470603
46,4,1875.594016
46,5,1583.466777
46,6,1433.859936
46,7,1410.349214
46,8,1388.470603
47,4,1875.594016
47,5,1583.145375
47,6,1433.859936
47,7,1410.349214
47,8,1388.470603
48,4,1875.594016
48,5,1583.145375
48,6,1433.859936
48,7,1410.349214
48,8,1388.470603
49,4,1875.594016
49,5,1550.905169
49,6,1433.859936
49,7,1410.349214
49,8,1388.470603
50,4,1875.594016
50,5,1550.905169
50,6,1433.859936
50,7,1410.349214
50,8,1388.470603
51,4,1875.594016
51,5,1550.905169
51,6,1433.859936
51,7,1410.349214
51,8,1388.470603
52,4,1875.594016
52,5,1550.905169
52,6,1433.859936
52,7,1410.349214
52,8,1388.470603
53,4,1875.594016
53,5,1533.305568
53,6,1399.381724
53,8,1388.470603
54,4,1875.594016
54,5,1533.305568
54,6,1399.381724
54,7,1396.181949
54,8,1388.470603
55,4,1875.594016
55,5,1533.305568
55,6,1399.381724
55,7,1396.181949
55,8,1388.470603
56,4,1875.594016
56,5,1533.305568
56,6,1399.381724
56,7,1396.181949
56,8,1388.470603
57,4,1875.594016
57,5,1533.305568
57,6,1399.381724
57,7,1395.504625
57,8,1388.470603
58,4,1875.594016
58,5,1533.305568
58,6,1399.381724
58,7,1395.494747
58,8,1388.470603
59,4,1875.594016
59,5,1533.305568
59,6,1399.381724
59,7,1395.494747
59,8,1388.470603
60,4,1875.594016
60,5,1533.305568
60,6,1399.381724
60,7,1395.494747
60,8,1388.470603
61,4,1875.594016
61,5,1533.305568
61,6,1399.381724
61,7,1395.494747
61,8,1388.470603
62,4,1875.594016
62,5,1533.305568
62,6,1399.381724
62,7,1395.494747
62,8,1388.470603
63,4,1875.594016
63,5,1533.305568
63,6,1399.381724
63,7,1395.494747
63,8,1385.838893
64,4,1875.594016
64,5,1533.305568
64,6,1399.381724
64,7,1395.494747
64,8,1385.838893
65,4,1875.594016
65,5,1533.305568
65,6,1399.381724
65,7,1395.494747
65,8,1385.838893
66,4,1875.594016
66,5,1523.279859
66,6,1399.381724
66,7,1395.494747
66,8,1385.838893
67,4,1875.594016
67,5,1523.279859
67,6,1399.381724
67,7,1395.494747
67,8,1385.838893
68,4,1875.594016
68,5,1523.279859
68,6,1399.381724
68,7,1395.494747
68,8,1383.272130
69,4,1875.594016
69,5,1523.279859
69,6,1399.381724
69,7,1387.354561
69,8,1383.272130
70,4,1875.594016
70,5,1523.279859
70,6,1399.381724
70,7,1387.354561
70,8,1383.272130
71,4,1875.594016
71,5,1523.279859
71,6,1399.381724
71,7,1387.354561
71,8,1383.272130
72,4,1875.594016
72,5,1523.279859
72,6,1399.381724
72,7,1387.354561
72,8,1383.272130
73,4,1875.594016
73,5,1523.279859
73,6,1399.381724
73,7,1387.354561
73,8,1378.526714
74,4,1875.594016
74,5,1523.279859
74,6,1399.381724
74,7,1387.354561
74,8,1378.526714
75,4,1875.594016
75,5,1523.279859
75,6,1399.381724
75,7,1387.354561
75,8,1378.526714
76,4,1875.594016
76,5,1523.279859
76,6,1399.381724
76,7,1387.354561
76,8,1378.526714
77,4,1875.594016
77,5,1523.279859
77,6,1399.381724
77,7,1387.354561
77,8,1378.526714
78,4,1875.594016
78,5,1523.279859
78,6,1388.148984
78,7,1384.740028
78,8,1376.187983
79,4,1875.594016
79,5,1523.279859
79,6,1388.148984
79,7,1384.740028
79,8,1376.187983
80,4,1875.594016
80,5,1523.279859
80,6,1388.148984
80,7,1384.740028
80,8,1376.187983
81,4,1875.594016
81,5,1523.279859
81,6,1388.148984
81,7,1384.740028
81,8,1376.187983
82,4,1875.594016
82,5,1523.279859
82,6,1388.148984
82,7,1384.740028
82,8,1376.187983
83,4,1870.766442
83,5,1523.279859
83,6,1383.829695
83,8,1376.187983
84,4,1862.048744
84,5,1523.279859
84,6,1383.829695
84,8,1376.187983
85,4,1862.048744
85,5,1523.279859
85,6,1383.829695
85,8,1376.187983
86,4,1862.048744
86,5,1523.279859
86,6,1383.829695
86,8,1376.187983
87,4,1862.048744
87,5,1523.279859
87,6,1383.829695
87,8,1376.187983
88,4,1862.048744
88,5,1523.279859
88,6,1372.394922
89,4,1854.487836
89,5,1523.279859
89,6,1372.394922
90,4,1854.487836
90,5,1523.279859
90,6,1372.394922
91,4,1854.487836
91,5,1523.279859
91,6,1372.394922
92,4,1854.487836
92,5,1523.279859
92,6,1372.394922
93,4,1854.487836
93,5,1523.279859
93,6,1372.394922
94,4,1854.487836
94,5,1523.279859
94,6,1372.394922
95,4,1854.487836
95,5,1523.279859
95,6,1372.394922
96,4,1854.487836
96,5,1523.279859
96,6,1372.394922
97,4,1854.487836
97,5,1523.279859
97,6,1372.394922
98,4,1854.487836
98,5,1523.279859
98,6,1372.394922
98,7,1368.439865
99,4,1854.487836
99,5,1523.279859
99,6,1372.394922
99,7,1368.439865
100,4,1854.487836
100,5,1523.279859
100,6,1372.394922
100,7,1368.439865
101,4,1854.487836
101,5,1523.279859
101,6,1372.394922
101,7,1368.439865
102,4,1853.502978
102,5,1523.279859
102,6,1372.394922
102,7,1368.439865
103,4,1853.502978
103,5,1523.279859
103,6,1361.854284
104,4,1852.884218
104,5,1523.279859
104,6,1361.854284
105,4,1852.884218
105,5,1523.279859
105,6,1361.854284
106,4,1852.884218
106,5,1523.279859
106,6,1361.854284
107,4,1852.161143
107,5,1523.279859
107,6,1361.854284
108,4,1836.679112
108,5,1523.279859
108,6,1361.854284
109,4,1836.679112
109,5,1523.279859
109,6,1361.854284
110,4,1836.679112
110,5,1523.279859
110,6,1360.062033
111,4,1836.679112
111,5,1523.279859
111,6,1360.062033
112,4,1836.679112
112,5,1523.279859
112,6,1360.062033
113,4,1796.969117
113,5,1523.279859
113,6,1360.062033
114,4,1796.969117
114,5,1523.279859
114,6,1360.062033
115,4,1796.969117
115,5,1523.279859
